Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
atlas-release-0.7.1-rc3,org.apache.atlas.falcon.hook,FalconHook,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
atlas-release-0.7.1-rc3,org.apache.atlas.falcon.hook,FalconHook,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: LOG; CONF_PREFIX; MIN_THREADS; MAX_THREADS; KEEP_ALIVE_TIME; QUEUE_SIZE; CONF_SYNC; HOOK_NUM_RETRIES; WAIT_TIME; executor; minThreadsDefault; maxThreadsDefault; keepAliveTimeDefault; queueSizeDefault; sync; STORE
atlas-release-0.7.1-rc3,org.apache.atlas.falcon.hook,FalconHookIT,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: LOG; CLUSTER_RESOURCE; FEED_RESOURCE; FEED_HDFS_RESOURCE; FEED_REPLICATION_RESOURCE; PROCESS_RESOURCE; atlasClient; STORE
atlas-release-0.7.1-rc3,org.apache.atlas.falcon.model,FalconDataModelGenerator,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: LOG; FREQUENCY; classTypeDefinitions; COLO; TAGS; GROUPS; PIPELINES; WFPROPERTIES; RUNSON; STOREDIN
atlas-release-0.7.1-rc3,org.apache.atlas.falcon.service,AtlasService,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: LOG; publisher; SERVICE_NAME
atlas-release-0.7.1-rc3,org.apache.atlas.falcon.service,AtlasService,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
atlas-release-0.7.1-rc3,org.apache.atlas.fs.model,FSDataModelGenerator,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
atlas-release-0.7.1-rc3,org.apache.atlas.fs.model,HDFSModelTest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: LOG; ATLAS_URL; metadataService; graphProvider
atlas-release-0.7.1-rc3,org.apache.atlas.hive.bridge,HiveMetaStoreBridge,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: DEFAULT_DGI_URL; HIVE_CLUSTER_NAME; DEFAULT_CLUSTER_NAME; DESCRIPTION_ATTR; TEMP_TABLE_PREFIX; clusterName; MILLIS_CONVERT_FACTOR; ATLAS_ENDPOINT; LOG; hiveClient; atlasClient
atlas-release-0.7.1-rc3,org.apache.atlas.hive.bridge,HiveMetaStoreBridge,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: HiveMetaStoreBridge; HiveHook
atlas-release-0.7.1-rc3,org.apache.atlas.hive.bridge,HiveMetaStoreBridge,Insufficient Modularization,The tool detected the smell in this class because the class contains large number of methods. Total methods in the class: 35 methods
atlas-release-0.7.1-rc3,org.apache.atlas.hive.bridge,HiveLiteralRewriterTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
atlas-release-0.7.1-rc3,org.apache.atlas.hive.bridge,HiveMetaStoreBridgeTest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: TEST_DB_NAME; CLUSTER_NAME; TEST_TABLE_NAME; hiveClient; atlasClient; attrName; attrValue
atlas-release-0.7.1-rc3,org.apache.atlas.hive.hook,HiveHook,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: LOG; CONF_PREFIX; MIN_THREADS; MAX_THREADS; KEEP_ALIVE_TIME; CONF_SYNC; QUEUE_SIZE; HOOK_NUM_RETRIES; SEP; IO_SEP; OPERATION_MAP; WAIT_TIME; executor; minThreadsDefault; maxThreadsDefault; keepAliveTimeDefault; queueSizeDefault; hiveConf; inputs; outputs; user; ugi; operation; hookType; jsonPlan; queryId; queryStr; queryStartTime; messages; queryType; entityComparator
atlas-release-0.7.1-rc3,org.apache.atlas.hive.hook,HiveHook,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: HiveMetaStoreBridge; HiveHook
atlas-release-0.7.1-rc3,org.apache.atlas.hive.hook,HiveHook,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 31 public methods
atlas-release-0.7.1-rc3,org.apache.atlas.hive.hook,HiveEventContext,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 24 public methods
atlas-release-0.7.1-rc3,org.apache.atlas.hive.hook,EntityComparator,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
atlas-release-0.7.1-rc3,org.apache.atlas.hive.hook,HiveHookIT,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 63 public methods
atlas-release-0.7.1-rc3,org.apache.atlas.hive.hook,HiveHook,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
atlas-release-0.7.1-rc3,org.apache.atlas.hive.model,HiveDataModelGenerator,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: LOG; STRING_MAP_TYPE; classTypeDefinitions; enumTypeDefinitionMap; structTypeDefinitionMap; COMMENT; PARAMETERS; COLUMNS; POSITION; PART_COLS; TABLE_ALIAS_LIST; STORAGE_NUM_BUCKETS; STORAGE_IS_STORED_AS_SUB_DIRS; TABLE; DB; STORAGE_DESC; STORAGE_DESC_INPUT_FMT; STORAGE_DESC_OUTPUT_FMT; LOCATION; TABLE_TYPE_ATTR; CREATE_TIME; LAST_ACCESS_TIME
atlas-release-0.7.1-rc3,org.apache.atlas.hive.rewrite,LiteralRewriter,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: LITERAL_TOKENS
atlas-release-0.7.1-rc3,org.apache.atlas.hive,HiveITBase,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
atlas-release-0.7.1-rc3,org.apache.atlas.hive,HiveITBase,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: LOG; DGI_URL; CLUSTER_NAME; DEFAULT_DB; PART_FILE; driver; atlasClient; hiveMetaStoreBridge; ss; conf; INPUTS; OUTPUTS; driverWithoutContext
atlas-release-0.7.1-rc3,org.apache.atlas.sqoop.hook,SqoopHook,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: LOG; CONF_PREFIX; HOOK_NUM_RETRIES; ATLAS_CLUSTER_NAME; DEFAULT_CLUSTER_NAME
