Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell
atlas-release-0.7.1-rc3,org.apache.atlas.falcon.bridge,FalconBridge,createFeedCreationEntity,Complex Method,Cyclomatic complexity of the method is 11
atlas-release-0.7.1-rc3,org.apache.atlas.falcon.bridge,FalconBridge,createProcessEntity,Complex Method,Cyclomatic complexity of the method is 13
atlas-release-0.7.1-rc3,org.apache.atlas.falcon.bridge,FalconBridge,createProcessEntity,Long Statement,The length of the statement "processEntity.set(AtlasClient.REFERENCEABLE_ATTRIBUTE_NAME`getProcessQualifiedName(process.getName()`cluster.getName()));" is 121.
atlas-release-0.7.1-rc3,org.apache.atlas.falcon.bridge,FalconBridge,createProcessEntity,Long Statement,The length of the statement "processEntity.set(FalconDataModelGenerator.WFPROPERTIES`getProcessEntityWFProperties(process.getWorkflow()`process.getName()));" is 127.
atlas-release-0.7.1-rc3,org.apache.atlas.falcon.bridge,FalconBridge,createHiveTableInstance,Long Statement,The length of the statement "tableRef.set(AtlasClient.REFERENCEABLE_ATTRIBUTE_NAME`HiveMetaStoreBridge.getTableQualifiedName(clusterName`dbName`tableName));" is 127.
atlas-release-0.7.1-rc3,org.apache.atlas.falcon.bridge,FalconBridge,getFeedDataSetReference,Long Statement,The length of the statement "feedDatasetRef.set(AtlasClient.REFERENCEABLE_ATTRIBUTE_NAME`getFeedQualifiedName(feed.getName()`(String)clusterReference.get(AtlasClient.REFERENCEABLE_ATTRIBUTE_NAME)));" is 169.
atlas-release-0.7.1-rc3,org.apache.atlas.falcon.bridge,FalconBridge,getProcessEntityWFProperties,Long Statement,The length of the statement "wfProperties.put(WorkflowExecutionArgs.USER_WORKFLOW_NAME.getName()`ProcessHelper.getProcessWorkflowName(workflow.getName()`processName));" is 138.
atlas-release-0.7.1-rc3,org.apache.atlas.falcon.hook,FalconHook,createEntities,Missing default,The following switch statement is missing a default case: switch (event.getOperation()) {
atlas-release-0.7.1-rc3,org.apache.atlas.falcon.hook,FalconHook,getOperation,Missing default,The following switch statement is missing a default case: switch (op) {
atlas-release-0.7.1-rc3,org.apache.atlas.falcon.hook,FalconHookIT,setUp,Long Statement,The length of the statement "atlasClient=new AtlasClient(atlasProperties.getStringArray(HiveMetaStoreBridge.ATLAS_ENDPOINT)`new String[]{"admin"`"admin"});" is 126.
atlas-release-0.7.1-rc3,org.apache.atlas.falcon.hook,FalconHookIT,random,Magic Number,The method contains a magic number: 10
