Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path
atlas-release-0.7.1-rc3,org.apache.atlas.falcon.bridge,FalconBridge,1,0,15,6,250,48,0,0,0.13333333333333333,3,8,E:\SamirDataSet\atlas-release-0.7.1-rc3\atlas-release-0.7.1-rc3\addons\falcon-bridge\src\main\java\org\apache\atlas\falcon\bridge\FalconBridge.java
atlas-release-0.7.1-rc3,org.apache.atlas.falcon.event,FalconEvent,3,0,4,4,23,4,0,0,0.0,4,0,E:\SamirDataSet\atlas-release-0.7.1-rc3\atlas-release-0.7.1-rc3\addons\falcon-bridge\src\main\java\org\apache\atlas\falcon\event\FalconEvent.java
atlas-release-0.7.1-rc3,org.apache.atlas.falcon.hook,FalconHook,16,4,7,3,130,21,0,0,0.42857142857142855,0,4,E:\SamirDataSet\atlas-release-0.7.1-rc3\atlas-release-0.7.1-rc3\addons\falcon-bridge\src\main\java\org\apache\atlas\falcon\hook\FalconHook.java
atlas-release-0.7.1-rc3,org.apache.atlas.falcon.hook,FalconHookIT,8,6,21,5,235,31,0,0,0.09523809523809523,0,11,E:\SamirDataSet\atlas-release-0.7.1-rc3\atlas-release-0.7.1-rc3\addons\falcon-bridge\src\test\java\org\apache\atlas\falcon\hook\FalconHookIT.java
atlas-release-0.7.1-rc3,org.apache.atlas.falcon.hook,Predicate,0,0,1,0,8,1,0,0,-1.0,1,0,E:\SamirDataSet\atlas-release-0.7.1-rc3\atlas-release-0.7.1-rc3\addons\falcon-bridge\src\test\java\org\apache\atlas\falcon\hook\FalconHookIT.java
atlas-release-0.7.1-rc3,org.apache.atlas.falcon.model,FalconDataModelGenerator,10,8,13,5,93,18,0,0,0.0,3,8,E:\SamirDataSet\atlas-release-0.7.1-rc3\atlas-release-0.7.1-rc3\addons\falcon-bridge\src\main\java\org\apache\atlas\falcon\model\FalconDataModelGenerator.java
atlas-release-0.7.1-rc3,org.apache.atlas.falcon.publisher,FalconEventPublisher,1,0,3,2,15,3,0,0,-1.0,1,2,E:\SamirDataSet\atlas-release-0.7.1-rc3\atlas-release-0.7.1-rc3\addons\falcon-bridge\src\main\java\org\apache\atlas\falcon\publisher\FalconEventPublisher.java
atlas-release-0.7.1-rc3,org.apache.atlas.falcon.publisher,Data,1,0,2,2,9,2,0,0,0.0,2,1,E:\SamirDataSet\atlas-release-0.7.1-rc3\atlas-release-0.7.1-rc3\addons\falcon-bridge\src\main\java\org\apache\atlas\falcon\publisher\FalconEventPublisher.java
atlas-release-0.7.1-rc3,org.apache.atlas.falcon.service,AtlasService,3,1,8,7,58,11,0,0,0.625,1,3,E:\SamirDataSet\atlas-release-0.7.1-rc3\atlas-release-0.7.1-rc3\addons\falcon-bridge\src\main\java\org\apache\atlas\falcon\service\AtlasService.java
atlas-release-0.7.1-rc3,org.apache.atlas.falcon.service,AtlasService,6,0,11,8,155,29,0,0,0.18181818181818182,0,1,E:\SamirDataSet\atlas-release-0.7.1-rc3\atlas-release-0.7.1-rc3\addons\falcon-bridge-shim\src\main\java\org\apache\atlas\falcon\service\AtlasService.java
atlas-release-0.7.1-rc3,org.apache.atlas.falcon.Util,EventUtil,0,0,3,2,29,5,0,0,-1.0,2,0,E:\SamirDataSet\atlas-release-0.7.1-rc3\atlas-release-0.7.1-rc3\addons\falcon-bridge\src\main\java\org\apache\atlas\falcon\Util\EventUtil.java
