Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell
attic-aurora-rel-0.10.0,org.apache.aurora.common.args,Args,fromConfiguration,Long Statement,The length of the statement "throw new IllegalArgumentException(String.format("Found %d fields marked for @Positional Args after applying filter - " + "only 1 is allowed:\n\t%s"`positionalFields.size()`Joiner.on("\n\t").join(positionalFields)));" is 216.
attic-aurora-rel-0.10.0,org.apache.aurora.common.args,Args,fromConfiguration,Long Statement,The length of the statement "Optional<? extends PositionalInfo<?>> positionalInfo=Optional.fromNullable(Iterables.getOnlyElement(Iterables.transform(positionalFields`TO_POSITIONAL_INFO)`null));" is 164.
attic-aurora-rel-0.10.0,org.apache.aurora.common.args,Args,fromConfiguration,Long Statement,The length of the statement "Iterable<? extends OptionInfo<?>> optionInfos=Iterables.transform(filterFields(configuration.optionInfo()`filter)`TO_OPTION_INFO);" is 130.
attic-aurora-rel-0.10.0,org.apache.aurora.common.args,Args,from,Long Statement,The length of the statement "final ImmutableSet.Builder<PositionalInfo<?>> positionalInfos=ImmutableSet.<PositionalInfo<?>>builder().addAll(staticInfo.getPositionalInfo().asSet());" is 151.
attic-aurora-rel-0.10.0,org.apache.aurora.common.args,Args,from,Long Statement,The length of the statement "final ImmutableSet.Builder<OptionInfo<?>> optionInfos=ImmutableSet.<OptionInfo<?>>builder().addAll(staticInfo.getOptionInfos());" is 128.
attic-aurora-rel-0.10.0,org.apache.aurora.common.args,Args,from,Long Statement,The length of the statement "throw new IllegalArgumentException("An Arg cannot be annotated with both @CmdLine and @Positional` found bad Arg " + "field: " + field);" is 136.
attic-aurora-rel-0.10.0,org.apache.aurora.common.args,ArgScanner,stripQuotes,Magic Number,The method contains a magic number: 2
attic-aurora-rel-0.10.0,org.apache.aurora.common.args,ArgScanner,mapArguments,Magic Number,The method contains a magic number: 2
attic-aurora-rel-0.10.0,org.apache.aurora.common.args,ArgScanner,getNoCollisions,Long Statement,The length of the statement "Iterable<String> argShortNegNames=Iterables.transform(Iterables.filter(optionInfos`IS_BOOLEAN)`GET_OPTION_INFO_NEGATED_NAME);" is 125.
attic-aurora-rel-0.10.0,org.apache.aurora.common.args,ArgScanner,process,Complex Method,Cyclomatic complexity of the method is 9
attic-aurora-rel-0.10.0,org.apache.aurora.common.args,ArgScanner,process,Long Identifier,The length of the field GET_CANONICAL_NEGATED_ARG_NAME is 30.
attic-aurora-rel-0.10.0,org.apache.aurora.common.args,ArgScanner,process,Long Parameter List,The method has 5 parameters. 
attic-aurora-rel-0.10.0,org.apache.aurora.common.args,ArgScanner,process,Long Statement,The length of the statement "checkArgument(positionalInfoOptional.isPresent() || positionalArgs.isEmpty()`"Positional arguments have been supplied but there is no Arg annotated to received them.");" is 168.
attic-aurora-rel-0.10.0,org.apache.aurora.common.args,ArgScanner,process,Long Statement,The length of the statement "final Map<String`OptionInfo<?>> argsByName=ImmutableMap.<String`OptionInfo<?>>builder().putAll(Maps.uniqueIndex(Iterables.filter(optionInfos`Predicates.compose(Predicates.in(argAllShortNamesNoCollisions)`GET_OPTION_INFO_NAME))`GET_OPTION_INFO_NAME)).putAll(Maps.uniqueIndex(optionInfos`GET_CANONICAL_ARG_NAME)).putAll(Maps.uniqueIndex(Iterables.filter(Iterables.filter(optionInfos`IS_BOOLEAN)`Predicates.compose(Predicates.in(argAllShortNamesNoCollisions)`GET_OPTION_INFO_NEGATED_NAME))`GET_OPTION_INFO_NEGATED_NAME)).putAll(Maps.uniqueIndex(Iterables.filter(optionInfos`IS_BOOLEAN)`GET_CANONICAL_NEGATED_ARG_NAME)).build();" is 624.
attic-aurora-rel-0.10.0,org.apache.aurora.common.args,ArgScanner,process,Long Statement,The length of the statement "commandLineArgumentInfos.add(String.format("%s (%s): %s"`anArgumentInfo.getName()`anArgumentInfo.getCanonicalName()`arg.uncheckedGet()));" is 137.
attic-aurora-rel-0.10.0,org.apache.aurora.common.args,ArgScanner,process,Long Statement,The length of the statement "ImmutableMultimap<String`String> warningMessages=ImmutableMultimap.<String`String>builder().putAll("Unrecognized arguments"`Sets.difference(args.keySet()`argsByName.keySet())).putAll("Failed to parse"`argsFailedToParse).putAll("Value did not meet constraints"`argsConstraintsFailed).build();" is 291.
attic-aurora-rel-0.10.0,org.apache.aurora.common.args,ArgScanner,printHelp,Complex Method,Cyclomatic complexity of the method is 8
attic-aurora-rel-0.10.0,org.apache.aurora.common.args,ArgScanner,printHelp,Long Statement,The length of the statement "infoLog(String.format("%s to print this help message"`Joiner.on(" or ").join(Iterables.transform(ArgumentInfo.HELP_ARGS`ARG_NAME_TO_FLAG))));" is 141.
attic-aurora-rel-0.10.0,org.apache.aurora.common.args,ArgScanner,printHelp,Long Statement,The length of the statement "infoLog(String.format("%s%s\n\t%s\n\t(%s)"`defaultValue != null ? "default " + defaultValue : ""`Iterables.isEmpty(constraints) ? "" : " [" + Joiner.on("` ").join(constraints) + "]"`positionalInfo.getHelp()`positionalInfo.getCanonicalName()));" is 243.
attic-aurora-rel-0.10.0,org.apache.aurora.common.args,ArgScanner,printHelp,Long Statement,The length of the statement "infoLog(String.format("\n" + "For arguments that support @argfile format: @argfile is a text file that contains " + "cmdline argument values. For example: -%s=@/tmp/%s_value.txt. The format "+ "of the argfile content should be exactly the same as it would be specified on the "+ "cmdline."`firstArgFileArgumentName.get()`firstArgFileArgumentName.get()));" is 354.
attic-aurora-rel-0.10.0,org.apache.aurora.common.args,ArgScanner,formatHelp,Long Statement,The length of the statement "return String.format("-%s%s%s\n\t%s\n\t(%s)"`argumentInfo.getName()`defaultValue != null ? "=" + defaultValue : ""`Iterables.isEmpty(constraints) ? "" : " [" + Joiner.on("` ").join(constraints) + "]"`argumentInfo.getHelp()`argumentInfo.getCanonicalName());" is 256.
attic-aurora-rel-0.10.0,org.apache.aurora.common.args,ArgumentInfo,getArgForField,Long Statement,The length of the statement "Preconditions.checkArgument(field.getType() == Arg.class`"Field is annotated for argument parsing but is not of Arg type: " + field);" is 133.
