Project Name,Package Name,Type Name,Method Name,LOC,CC,PC
0.18.0,org.apache.aurora.common.application,Lifecycle,Lifecycle,3,1,1
0.18.0,org.apache.aurora.common.application,Lifecycle,isAlive,5,1,0
0.18.0,org.apache.aurora.common.application,Lifecycle,awaitShutdown,15,2,0
0.18.0,org.apache.aurora.common.application,Lifecycle,shutdown,10,2,0
0.18.0,org.apache.aurora.common.application,ShutdownRegistry,addAction,0,1,1
0.18.0,org.apache.aurora.common.application,ShutdownRegistry,addAction,4,1,1
0.18.0,org.apache.aurora.common.application,ShutdownRegistry,execute,22,3,0
0.18.0,org.apache.aurora.common.application,ShutdownRegistryImpl,addAction,4,1,1
0.18.0,org.apache.aurora.common.application,ShutdownRegistryImpl,execute,22,3,0
0.18.0,org.apache.aurora.common.args,ArgFilters,ArgFilters,2,1,0
0.18.0,org.apache.aurora.common.args,ArgFilters,selectPackage,4,1,1
0.18.0,org.apache.aurora.common.args,ArgFilters,selectAllPackagesUnderHere,8,1,1
0.18.0,org.apache.aurora.common.args,ArgFilters,selectClass,4,1,1
0.18.0,org.apache.aurora.common.args,ArgFilters,selectClasses,5,1,1
0.18.0,org.apache.aurora.common.args,ArgFilters,selectCmdLineArg,7,1,2
0.18.0,org.apache.aurora.common.args,Args,ArgsInfo,4,1,2
0.18.0,org.apache.aurora.common.args,Args,getConfiguration,3,1,0
0.18.0,org.apache.aurora.common.args,Args,getOptionInfos,3,1,0
0.18.0,org.apache.aurora.common.args,Args,fromConfiguration,4,1,2
0.18.0,org.apache.aurora.common.args,Args,filterFields,3,1,2
0.18.0,org.apache.aurora.common.args,Args,from,3,1,1
0.18.0,org.apache.aurora.common.args,Args,from,3,1,2
0.18.0,org.apache.aurora.common.args,Args,from,3,1,1
0.18.0,org.apache.aurora.common.args,Args,from,16,4,2
0.18.0,org.apache.aurora.common.args,Args,Args,2,1,0
0.18.0,org.apache.aurora.common.args,ArgsInfo,ArgsInfo,4,1,2
0.18.0,org.apache.aurora.common.args,ArgsInfo,getConfiguration,3,1,0
0.18.0,org.apache.aurora.common.args,ArgsInfo,getOptionInfos,3,1,0
0.18.0,org.apache.aurora.common.args,ArgScanner,ArgScanner,3,1,0
0.18.0,org.apache.aurora.common.args,ArgScanner,ArgScanner,3,1,1
0.18.0,org.apache.aurora.common.args,ArgScanner,parse,3,1,1
0.18.0,org.apache.aurora.common.args,ArgScanner,parse,7,1,2
0.18.0,org.apache.aurora.common.args,ArgScanner,parse,8,1,2
0.18.0,org.apache.aurora.common.args,ArgScanner,load,8,1,0
0.18.0,org.apache.aurora.common.args,ArgScanner,joinKeysToValues,33,7,1
0.18.0,org.apache.aurora.common.args,ArgScanner,stripQuotes,4,1,1
0.18.0,org.apache.aurora.common.args,ArgScanner,mapArguments,17,3,1
0.18.0,org.apache.aurora.common.args,ArgScanner,dropCollisions,11,3,1
0.18.0,org.apache.aurora.common.args,ArgScanner,getNoCollisions,11,2,1
0.18.0,org.apache.aurora.common.args,ArgScanner,process,50,7,5
0.18.0,org.apache.aurora.common.args,ArgScanner,printHelp,29,5,2
0.18.0,org.apache.aurora.common.args,ArgScanner,formatHelp,3,1,3
0.18.0,org.apache.aurora.common.args,ArgScanner,infoLog,3,1,1
0.18.0,org.apache.aurora.common.args,ArgScanner,ArgScanException,3,1,1
0.18.0,org.apache.aurora.common.args,ArgScanException,ArgScanException,3,1,1
0.18.0,org.apache.aurora.common.args,ArgumentInfo,getArgForField,11,1,2
0.18.0,org.apache.aurora.common.args,ArgumentInfo,ArgumentInfo,8,1,6
