Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path
attic-aurora-rel-0.9.0,org.apache.aurora.benchmark,BenchmarkSettings,8,0,10,0,68,10,0,0,0.0,9,1,C:\sources\attic-aurora-rel-0.9.0\src\jmh\java\org\apache\aurora\benchmark\BenchmarkSettings.java
attic-aurora-rel-0.9.0,org.apache.aurora.benchmark,Builder,4,0,5,0,25,5,0,0,0.0,0,1,C:\sources\attic-aurora-rel-0.9.0\src\jmh\java\org\apache\aurora\benchmark\BenchmarkSettings.java
attic-aurora-rel-0.9.0,org.apache.aurora.benchmark,Hosts,4,0,3,0,31,5,0,0,0.6666666666666666,6,0,C:\sources\attic-aurora-rel-0.9.0\src\jmh\java\org\apache\aurora\benchmark\Hosts.java
attic-aurora-rel-0.9.0,org.apache.aurora.benchmark,Builder,4,0,2,0,24,4,0,0,0.0,0,0,C:\sources\attic-aurora-rel-0.9.0\src\jmh\java\org\apache\aurora\benchmark\Hosts.java
attic-aurora-rel-0.9.0,org.apache.aurora.benchmark,JobUpdates,3,0,4,0,42,7,0,0,0.5,3,0,C:\sources\attic-aurora-rel-0.9.0\src\jmh\java\org\apache\aurora\benchmark\JobUpdates.java
attic-aurora-rel-0.9.0,org.apache.aurora.benchmark,Builder,3,0,4,0,37,7,0,0,0.5,0,0,C:\sources\attic-aurora-rel-0.9.0\src\jmh\java\org\apache\aurora\benchmark\JobUpdates.java
attic-aurora-rel-0.9.0,org.apache.aurora.benchmark,Offers,6,0,7,0,58,9,0,0,0.42857142857142855,2,1,C:\sources\attic-aurora-rel-0.9.0\src\jmh\java\org\apache\aurora\benchmark\Offers.java
attic-aurora-rel-0.9.0,org.apache.aurora.benchmark,Builder,6,0,5,0,41,6,0,0,0.0,0,0,C:\sources\attic-aurora-rel-0.9.0\src\jmh\java\org\apache\aurora\benchmark\Offers.java
attic-aurora-rel-0.9.0,org.apache.aurora.benchmark,SchedulingBenchmarks,10,1,20,6,169,24,0,0,0.45,0,18,C:\sources\attic-aurora-rel-0.9.0\src\jmh\java\org\apache\aurora\benchmark\SchedulingBenchmarks.java
attic-aurora-rel-0.9.0,org.apache.aurora.benchmark,AbstractBase,9,0,14,5,119,18,5,0,0.21428571428571427,0,17,C:\sources\attic-aurora-rel-0.9.0\src\jmh\java\org\apache\aurora\benchmark\SchedulingBenchmarks.java
attic-aurora-rel-0.9.0,org.apache.aurora.benchmark,InsufficientResourcesSchedulingBenchmark,0,0,1,0,8,1,0,1,-1.0,0,3,C:\sources\attic-aurora-rel-0.9.0\src\jmh\java\org\apache\aurora\benchmark\SchedulingBenchmarks.java
attic-aurora-rel-0.9.0,org.apache.aurora.benchmark,ValueConstraintMismatchSchedulingBenchmark,0,0,1,0,8,1,0,1,-1.0,0,3,C:\sources\attic-aurora-rel-0.9.0\src\jmh\java\org\apache\aurora\benchmark\SchedulingBenchmarks.java
attic-aurora-rel-0.9.0,org.apache.aurora.benchmark,LimitConstraintMismatchSchedulingBenchmark,0,0,1,0,8,1,0,1,-1.0,0,3,C:\sources\attic-aurora-rel-0.9.0\src\jmh\java\org\apache\aurora\benchmark\SchedulingBenchmarks.java
attic-aurora-rel-0.9.0,org.apache.aurora.benchmark,ClusterFullUtilizationBenchmark,0,0,1,0,8,1,0,1,-1.0,0,3,C:\sources\attic-aurora-rel-0.9.0\src\jmh\java\org\apache\aurora\benchmark\SchedulingBenchmarks.java
attic-aurora-rel-0.9.0,org.apache.aurora.benchmark,PreemptorSlotSearchBenchmark,1,1,2,1,13,2,0,1,1.0,0,3,C:\sources\attic-aurora-rel-0.9.0\src\jmh\java\org\apache\aurora\benchmark\SchedulingBenchmarks.java
attic-aurora-rel-0.9.0,org.apache.aurora.benchmark,SnapshotBenchmarks,3,0,6,3,46,7,0,0,0.3333333333333333,2,5,C:\sources\attic-aurora-rel-0.9.0\src\jmh\java\org\apache\aurora\benchmark\SnapshotBenchmarks.java
