Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path
1.5.1,org.apache.batik.apps.jsvg,JSVG,1,0,4,4,38,7,0,0,0.75,1,2,c:\sources\batik\1.5.1\contrib\jsvg\JSVG.java
1.5.1,org.apache.tools.ant.taskdefs.optional,RasterizerTask,20,0,29,21,501,68,0,0,0.10344827586206896,0,6,c:\sources\batik\1.5.1\contrib\rasterizertask\sources\org\apache\tools\ant\taskdefs\optional\RasterizerTask.java
1.5.1,org.apache.tools.ant.taskdefs.optional,ValidImageTypes,0,0,1,1,14,1,0,0,-1.0,1,1,c:\sources\batik\1.5.1\contrib\rasterizertask\sources\org\apache\tools\ant\taskdefs\optional\RasterizerTask.java
1.5.1,org.apache.tools.ant.taskdefs.optional,ValidMediaTypes,0,0,1,1,14,1,0,0,-1.0,1,0,c:\sources\batik\1.5.1\contrib\rasterizertask\sources\org\apache\tools\ant\taskdefs\optional\RasterizerTask.java
1.5.1,org.apache.tools.ant.taskdefs.optional,RasterizerTaskSVGConverterController,1,0,6,5,39,7,0,0,0.8333333333333334,1,2,c:\sources\batik\1.5.1\contrib\rasterizertask\sources\org\apache\tools\ant\taskdefs\optional\RasterizerTaskSVGConverterController.java
1.5.1,org.test,ScrollExample,0,0,3,2,48,5,0,0,-1.0,1,1,c:\sources\batik\1.5.1\contrib\scroll\ScrollExample.java
1.5.1,org.apache.batik.apps.tiledTranscoder,TiledImageTranscoder,0,0,3,1,48,4,0,0,-1.0,1,3,c:\sources\batik\1.5.1\contrib\tiledTranscoder\TiledImageTranscoder.java
1.5.1,com.test.script,EventListenerInitializerImpl,0,0,2,2,20,2,0,0,-1.0,0,1,c:\sources\batik\1.5.1\samples\tests\resources\java\sources\com\test\script\EventListenerInitializerImpl.java
1.5.1,com.untrusted.script,UntrustedScriptHandler,6,3,2,2,142,17,0,0,0.0,0,1,c:\sources\batik\1.5.1\samples\tests\resources\java\sources\com\untrusted\script\UntrustedScriptHandler.java
1.5.1,org.apache.batik.apps.rasterizer,DefaultSVGConverterController,0,0,4,4,36,4,0,1,-1.0,1,2,c:\sources\batik\1.5.1\sources\org\apache\batik\apps\rasterizer\DefaultSVGConverterController.java
1.5.1,org.apache.batik.apps.rasterizer,DestinationType,19,16,7,5,87,15,0,0,0.0,13,1,c:\sources\batik\1.5.1\sources\org\apache\batik\apps\rasterizer\DestinationType.java
1.5.1,org.apache.batik.apps.rasterizer,Main,54,51,72,66,636,100,0,1,0.9166666666666666,4,8,c:\sources\batik\1.5.1\sources\org\apache\batik\apps\rasterizer\Main.java
1.5.1,org.apache.batik.apps.rasterizer,OptionHandler,0,0,3,0,17,3,1,0,-1.0,1,1,c:\sources\batik\1.5.1\sources\org\apache\batik\apps\rasterizer\Main.java
1.5.1,org.apache.batik.apps.rasterizer,AbstractOptionHandler,0,0,2,2,13,3,2,1,-1.0,0,1,c:\sources\batik\1.5.1\sources\org\apache\batik\apps\rasterizer\Main.java
1.5.1,org.apache.batik.apps.rasterizer,NoValueOptionHandler,0,0,3,3,12,3,0,2,-1.0,0,1,c:\sources\batik\1.5.1\sources\org\apache\batik\apps\rasterizer\Main.java
1.5.1,org.apache.batik.apps.rasterizer,SingleValueOptionHandler,0,0,3,3,12,3,3,2,-1.0,0,1,c:\sources\batik\1.5.1\sources\org\apache\batik\apps\rasterizer\Main.java
1.5.1,org.apache.batik.apps.rasterizer,FloatOptionHandler,0,0,2,2,14,2,0,3,-1.0,0,1,c:\sources\batik\1.5.1\sources\org\apache\batik\apps\rasterizer\Main.java
1.5.1,org.apache.batik.apps.rasterizer,RectangleOptionHandler,0,0,3,3,41,8,0,3,-1.0,0,1,c:\sources\batik\1.5.1\sources\org\apache\batik\apps\rasterizer\Main.java
1.5.1,org.apache.batik.apps.rasterizer,ColorOptionHandler,0,0,3,3,42,7,0,3,-1.0,0,1,c:\sources\batik\1.5.1\sources\org\apache\batik\apps\rasterizer\Main.java
1.5.1,org.apache.batik.apps.rasterizer,Messages,2,0,6,5,50,6,0,0,0.3333333333333333,3,2,c:\sources\batik\1.5.1\sources\org\apache\batik\apps\rasterizer\Messages.java
1.5.1,org.apache.batik.apps.rasterizer,SVGConverter,42,12,57,49,704,114,0,0,0.07017543859649122,20,13,c:\sources\batik\1.5.1\sources\org\apache\batik\apps\rasterizer\SVGConverter.java
1.5.1,org.apache.batik.apps.rasterizer,SVGFileFilter,1,1,1,1,12,2,0,0,0.0,0,0,c:\sources\batik\1.5.1\sources\org\apache\batik\apps\rasterizer\SVGConverter.java
1.5.1,org.apache.batik.apps.rasterizer,SVGConverterController,0,0,4,4,28,4,4,0,-1.0,1,2,c:\sources\batik\1.5.1\sources\org\apache\batik\apps\rasterizer\SVGConverterController.java
1.5.1,org.apache.batik.apps.rasterizer,SVGConverterException,3,0,7,7,42,7,0,0,0.0,2,1,c:\sources\batik\1.5.1\sources\org\apache\batik\apps\rasterizer\SVGConverterException.java
1.5.1,org.apache.batik.apps.rasterizer,SVGConverterFileSource,2,0,10,10,59,14,0,1,0.0,6,0,c:\sources\batik\1.5.1\sources\org\apache\batik\apps\rasterizer\SVGConverterFileSource.java
1.5.1,org.apache.batik.apps.rasterizer,SVGConverterSource,0,0,5,5,27,5,2,0,-1.0,8,0,c:\sources\batik\1.5.1\sources\org\apache\batik\apps\rasterizer\SVGConverterSource.java
1.5.1,org.apache.batik.apps.rasterizer,SVGConverterURLSource,5,1,8,8,50,12,0,1,0.25,1,2,c:\sources\batik\1.5.1\sources\org\apache\batik\apps\rasterizer\SVGConverterURLSource.java
1.5.1,org.apache.batik.apps.rasterizer,MainTest,1,0,31,30,478,91,0,0,0.967741935483871,0,6,c:\sources\batik\1.5.1\test-sources\org\apache\batik\apps\rasterizer\MainTest.java
1.5.1,org.apache.batik.apps.rasterizer,MainIllegalArgTest,7,4,5,4,45,9,0,0,0.4,1,2,c:\sources\batik\1.5.1\test-sources\org\apache\batik\apps\rasterizer\MainTest.java
1.5.1,org.apache.batik.apps.rasterizer,MainConfigErrorTest,10,7,5,4,55,11,0,0,0.4,1,2,c:\sources\batik\1.5.1\test-sources\org\apache\batik\apps\rasterizer\MainTest.java
1.5.1,org.apache.batik.apps.rasterizer,MainConfigTest,6,0,7,6,41,8,0,0,0.42857142857142855,1,3,c:\sources\batik\1.5.1\test-sources\org\apache\batik\apps\rasterizer\MainTest.java
1.5.1,org.apache.batik.apps.rasterizer,SVGConverterTest,0,0,34,5,306,34,0,0,-1.0,0,15,c:\sources\batik\1.5.1\test-sources\org\apache\batik\apps\rasterizer\SVGConverterTest.java
1.5.1,org.apache.batik.apps.rasterizer,AbstractConfigTest,33,27,11,6,186,24,4,1,0.2727272727272727,0,4,c:\sources\batik\1.5.1\test-sources\org\apache\batik\apps\rasterizer\SVGConverterTest.java
