Project Name,Package Name,Type Name,Method Name,LOC,CC,PC
1.5,org.apache.tools.ant.taskdefs.optional,RasterizerTask,RasterizerTask,3,1,0
1.5,org.apache.tools.ant.taskdefs.optional,RasterizerTask,setResult,3,1,1
1.5,org.apache.tools.ant.taskdefs.optional,RasterizerTask,setHeight,3,1,1
1.5,org.apache.tools.ant.taskdefs.optional,RasterizerTask,setWidth,3,1,1
1.5,org.apache.tools.ant.taskdefs.optional,RasterizerTask,setMaxheight,3,1,1
1.5,org.apache.tools.ant.taskdefs.optional,RasterizerTask,setMaxwidth,3,1,1
1.5,org.apache.tools.ant.taskdefs.optional,RasterizerTask,setQuality,3,1,1
1.5,org.apache.tools.ant.taskdefs.optional,RasterizerTask,setArea,3,1,1
1.5,org.apache.tools.ant.taskdefs.optional,RasterizerTask,setBg,3,1,1
1.5,org.apache.tools.ant.taskdefs.optional,RasterizerTask,setMedia,3,1,1
1.5,org.apache.tools.ant.taskdefs.optional,RasterizerTask,setDpi,3,1,1
1.5,org.apache.tools.ant.taskdefs.optional,RasterizerTask,setLang,3,1,1
1.5,org.apache.tools.ant.taskdefs.optional,RasterizerTask,setClassname,3,1,1
1.5,org.apache.tools.ant.taskdefs.optional,RasterizerTask,setSrc,3,1,1
1.5,org.apache.tools.ant.taskdefs.optional,RasterizerTask,setDest,3,1,1
1.5,org.apache.tools.ant.taskdefs.optional,RasterizerTask,setSrcdir,3,1,1
1.5,org.apache.tools.ant.taskdefs.optional,RasterizerTask,setDestdir,3,1,1
1.5,org.apache.tools.ant.taskdefs.optional,RasterizerTask,addFileset,3,1,1
1.5,org.apache.tools.ant.taskdefs.optional,RasterizerTask,execute,39,6,0
1.5,org.apache.tools.ant.taskdefs.optional,RasterizerTask,setRasterizingParameters,58,18,0
1.5,org.apache.tools.ant.taskdefs.optional,RasterizerTask,getSourceFiles,27,6,0
1.5,org.apache.tools.ant.taskdefs.optional,RasterizerTask,getResultType,15,5,1
1.5,org.apache.tools.ant.taskdefs.optional,RasterizerTask,allowedToSetQuality,6,2,1
1.5,org.apache.tools.ant.taskdefs.optional,RasterizerTask,getQuality,6,2,1
1.5,org.apache.tools.ant.taskdefs.optional,RasterizerTask,getAreaOfInterest,24,3,1
1.5,org.apache.tools.ant.taskdefs.optional,RasterizerTask,getBackgroundColor,29,4,1
1.5,org.apache.tools.ant.taskdefs.optional,RasterizerTask,getParserClassName,9,2,1
1.5,org.apache.tools.ant.taskdefs.optional,RasterizerTask,getValues,3,1,0
1.5,org.apache.tools.ant.taskdefs.optional,RasterizerTask,getValues,3,1,0
1.5,org.apache.tools.ant.taskdefs.optional,ValidImageTypes,getValues,3,1,0
1.5,org.apache.tools.ant.taskdefs.optional,ValidMediaTypes,getValues,3,1,0
1.5,org.apache.tools.ant.taskdefs.optional,RasterizerTaskSVGConverterController,RasterizerTaskSVGConverterController,2,1,0
1.5,org.apache.tools.ant.taskdefs.optional,RasterizerTaskSVGConverterController,RasterizerTaskSVGConverterController,3,1,1
1.5,org.apache.tools.ant.taskdefs.optional,RasterizerTaskSVGConverterController,proceedWithComputedTask,3,1,4
1.5,org.apache.tools.ant.taskdefs.optional,RasterizerTaskSVGConverterController,proceedWithSourceTranscoding,3,1,2
1.5,org.apache.tools.ant.taskdefs.optional,RasterizerTaskSVGConverterController,proceedOnSourceTranscodingFailure,6,2,3
1.5,org.apache.tools.ant.taskdefs.optional,RasterizerTaskSVGConverterController,onSourceTranscodingSuccess,2,1,2
1.5,org.apache.batik.apps.tiledTranscoder,TiledImageTranscoder,TiledImageTranscoder,2,1,0
1.5,org.apache.batik.apps.tiledTranscoder,TiledImageTranscoder,transcode,20,2,3
1.5,org.apache.batik.apps.tiledTranscoder,TiledImageTranscoder,main,14,1,1
1.5,com.test.script,EventListenerInitializerImpl,initializeEventListeners,9,1,1
1.5,com.test.script,EventListenerInitializerImpl,handleEvent,3,1,1
1.5,com.untrusted.script,UntrustedScriptHandler,run,109,10,2
1.5,com.untrusted.script,UntrustedScriptHandler,handleEvent,51,7,1
1.5,org.apache.batik.apps.rasterizer,DefaultSVGConverterController,proceedWithComputedTask,3,1,4
1.5,org.apache.batik.apps.rasterizer,DefaultSVGConverterController,proceedWithSourceTranscoding,4,1,2
1.5,org.apache.batik.apps.rasterizer,DefaultSVGConverterController,proceedOnSourceTranscodingFailure,3,1,3
1.5,org.apache.batik.apps.rasterizer,DefaultSVGConverterController,onSourceTranscodingSuccess,2,1,2
1.5,org.apache.batik.apps.rasterizer,DestinationType,DestinationType,5,1,3
1.5,org.apache.batik.apps.rasterizer,DestinationType,getExtension,3,1,0
1.5,org.apache.batik.apps.rasterizer,DestinationType,toString,3,1,0
1.5,org.apache.batik.apps.rasterizer,DestinationType,toInt,3,1,0
1.5,org.apache.batik.apps.rasterizer,DestinationType,getTranscoder,20,5,0
1.5,org.apache.batik.apps.rasterizer,DestinationType,getValues,3,1,0
1.5,org.apache.batik.apps.rasterizer,DestinationType,readResolve,14,5,0
1.5,org.apache.batik.apps.rasterizer,Main,handleOption,0,1,2
1.5,org.apache.batik.apps.rasterizer,Main,getOptionValuesLength,0,1,0
1.5,org.apache.batik.apps.rasterizer,Main,getOptionDescription,0,1,0
1.5,org.apache.batik.apps.rasterizer,Main,handleOption,7,2,2
1.5,org.apache.batik.apps.rasterizer,Main,safeHandleOption,0,1,2
1.5,org.apache.batik.apps.rasterizer,Main,safeHandleOption,3,1,2
1.5,org.apache.batik.apps.rasterizer,Main,getOptionValuesLength,3,1,0
1.5,org.apache.batik.apps.rasterizer,Main,handleOption,0,1,1
1.5,org.apache.batik.apps.rasterizer,Main,safeHandleOption,3,1,2
1.5,org.apache.batik.apps.rasterizer,Main,getOptionValuesLength,3,1,0
1.5,org.apache.batik.apps.rasterizer,Main,handleOption,0,1,2
1.5,org.apache.batik.apps.rasterizer,Main,handleOption,8,1,2
1.5,org.apache.batik.apps.rasterizer,Main,handleOption,0,1,2
1.5,org.apache.batik.apps.rasterizer,Main,handleOption,7,2,2
1.5,org.apache.batik.apps.rasterizer,Main,handleOption,0,1,2
1.5,org.apache.batik.apps.rasterizer,Main,parseRect,28,5,1
1.5,org.apache.batik.apps.rasterizer,Main,handleOption,7,2,2
1.5,org.apache.batik.apps.rasterizer,Main,handleOption,0,1,2
1.5,org.apache.batik.apps.rasterizer,Main,parseARGB,25,4,1
1.5,org.apache.batik.apps.rasterizer,Main,handleOption,3,1,2
1.5,org.apache.batik.apps.rasterizer,Main,getOptionDescription,3,1,0
1.5,org.apache.batik.apps.rasterizer,Main,handleOption,7,2,2
1.5,org.apache.batik.apps.rasterizer,Main,getOptionDescription,3,1,0
1.5,org.apache.batik.apps.rasterizer,Main,handleOption,6,2,2
1.5,org.apache.batik.apps.rasterizer,Main,getOptionDescription,3,1,0
1.5,org.apache.batik.apps.rasterizer,Main,handleOption,6,2,2
1.5,org.apache.batik.apps.rasterizer,Main,getOptionDescription,3,1,0
1.5,org.apache.batik.apps.rasterizer,Main,handleOption,6,2,2
1.5,org.apache.batik.apps.rasterizer,Main,getOptionDescription,3,1,0
1.5,org.apache.batik.apps.rasterizer,Main,handleOption,6,2,2
1.5,org.apache.batik.apps.rasterizer,Main,getOptionDescription,3,1,0
1.5,org.apache.batik.apps.rasterizer,Main,handleOption,3,1,2
1.5,org.apache.batik.apps.rasterizer,Main,getOptionDescription,3,1,0
1.5,org.apache.batik.apps.rasterizer,Main,handleOption,3,1,2
1.5,org.apache.batik.apps.rasterizer,Main,getOptionDescription,3,1,0
1.5,org.apache.batik.apps.rasterizer,Main,handleOption,3,1,2
1.5,org.apache.batik.apps.rasterizer,Main,getOptionDescription,3,1,0
1.5,org.apache.batik.apps.rasterizer,Main,handleOption,3,1,2
1.5,org.apache.batik.apps.rasterizer,Main,getOptionDescription,3,1,0
1.5,org.apache.batik.apps.rasterizer,Main,handleOption,3,1,2
1.5,org.apache.batik.apps.rasterizer,Main,getOptionDescription,3,1,0
1.5,org.apache.batik.apps.rasterizer,Main,handleOption,3,1,2
1.5,org.apache.batik.apps.rasterizer,Main,getOptionDescription,3,1,0
1.5,org.apache.batik.apps.rasterizer,Main,handleOption,3,1,2
1.5,org.apache.batik.apps.rasterizer,Main,getOptionDescription,3,1,0
1.5,org.apache.batik.apps.rasterizer,Main,handleOption,6,2,2
1.5,org.apache.batik.apps.rasterizer,Main,getOptionDescription,3,1,0
1.5,org.apache.batik.apps.rasterizer,Main,handleOption,6,2,2
1.5,org.apache.batik.apps.rasterizer,Main,getOptionDescription,3,1,0
1.5,org.apache.batik.apps.rasterizer,Main,handleOption,4,2,2
1.5,org.apache.batik.apps.rasterizer,Main,getOptionDescription,3,1,0
1.5,org.apache.batik.apps.rasterizer,Main,handleOption,3,1,1
1.5,org.apache.batik.apps.rasterizer,Main,getOptionDescription,3,1,0
1.5,org.apache.batik.apps.rasterizer,Main,handleOption,3,1,1
1.5,org.apache.batik.apps.rasterizer,Main,getOptionDescription,3,1,0
1.5,org.apache.batik.apps.rasterizer,Main,handleOption,3,1,2
1.5,org.apache.batik.apps.rasterizer,Main,getOptionDescription,3,1,0
1.5,org.apache.batik.apps.rasterizer,Main,handleOption,3,1,1
1.5,org.apache.batik.apps.rasterizer,Main,getOptionDescription,3,1,0
1.5,org.apache.batik.apps.rasterizer,Main,handleOption,3,1,1
1.5,org.apache.batik.apps.rasterizer,Main,getOptionDescription,3,1,0
1.5,org.apache.batik.apps.rasterizer,Main,Main,6,2,1
1.5,org.apache.batik.apps.rasterizer,Main,error,3,1,2
1.5,org.apache.batik.apps.rasterizer,Main,execute,53,6,0
1.5,org.apache.batik.apps.rasterizer,Main,toString,8,2,1
1.5,org.apache.batik.apps.rasterizer,Main,validateConverterConfig,2,1,1
1.5,org.apache.batik.apps.rasterizer,Main,expandSources,20,4,1
1.5,org.apache.batik.apps.rasterizer,Main,main,4,1,1
1.5,org.apache.batik.apps.rasterizer,Main,proceedWithComputedTask,4,1,4
1.5,org.apache.batik.apps.rasterizer,Main,proceedWithSourceTranscoding,4,1,2
1.5,org.apache.batik.apps.rasterizer,Main,proceedOnSourceTranscodingFailure,4,1,3
1.5,org.apache.batik.apps.rasterizer,Main,onSourceTranscodingSuccess,3,1,2
1.5,org.apache.batik.apps.rasterizer,OptionHandler,handleOption,0,1,2
1.5,org.apache.batik.apps.rasterizer,OptionHandler,getOptionValuesLength,0,1,0
1.5,org.apache.batik.apps.rasterizer,OptionHandler,getOptionDescription,0,1,0
1.5,org.apache.batik.apps.rasterizer,AbstractOptionHandler,handleOption,7,2,2
1.5,org.apache.batik.apps.rasterizer,AbstractOptionHandler,safeHandleOption,0,1,2
1.5,org.apache.batik.apps.rasterizer,NoValueOptionHandler,safeHandleOption,3,1,2
1.5,org.apache.batik.apps.rasterizer,NoValueOptionHandler,getOptionValuesLength,3,1,0
1.5,org.apache.batik.apps.rasterizer,NoValueOptionHandler,handleOption,0,1,1
1.5,org.apache.batik.apps.rasterizer,SingleValueOptionHandler,safeHandleOption,3,1,2
1.5,org.apache.batik.apps.rasterizer,SingleValueOptionHandler,getOptionValuesLength,3,1,0
1.5,org.apache.batik.apps.rasterizer,SingleValueOptionHandler,handleOption,0,1,2
1.5,org.apache.batik.apps.rasterizer,FloatOptionHandler,handleOption,8,1,2
1.5,org.apache.batik.apps.rasterizer,FloatOptionHandler,handleOption,0,1,2
1.5,org.apache.batik.apps.rasterizer,RectangleOptionHandler,handleOption,7,2,2
1.5,org.apache.batik.apps.rasterizer,RectangleOptionHandler,handleOption,0,1,2
1.5,org.apache.batik.apps.rasterizer,RectangleOptionHandler,parseRect,28,5,1
1.5,org.apache.batik.apps.rasterizer,ColorOptionHandler,handleOption,7,2,2
1.5,org.apache.batik.apps.rasterizer,ColorOptionHandler,handleOption,0,1,2
1.5,org.apache.batik.apps.rasterizer,ColorOptionHandler,parseARGB,25,4,1
1.5,org.apache.batik.apps.rasterizer,Messages,Messages,2,1,0
1.5,org.apache.batik.apps.rasterizer,Messages,setLocale,3,1,1
1.5,org.apache.batik.apps.rasterizer,Messages,getLocale,3,1,0
1.5,org.apache.batik.apps.rasterizer,Messages,formatMessage,3,1,2
1.5,org.apache.batik.apps.rasterizer,Messages,get,3,1,1
1.5,org.apache.batik.apps.rasterizer,Messages,get,9,1,2
1.5,org.apache.batik.apps.rasterizer,SVGConverter,SVGConverter,3,1,0
1.5,org.apache.batik.apps.rasterizer,SVGConverter,SVGConverter,6,2,1
1.5,org.apache.batik.apps.rasterizer,SVGConverter,setDestinationType,6,2,1
1.5,org.apache.batik.apps.rasterizer,SVGConverter,getDestinationType,3,1,0
1.5,org.apache.batik.apps.rasterizer,SVGConverter,setHeight,3,1,1
1.5,org.apache.batik.apps.rasterizer,SVGConverter,getHeight,3,1,0
1.5,org.apache.batik.apps.rasterizer,SVGConverter,setWidth,3,1,1
1.5,org.apache.batik.apps.rasterizer,SVGConverter,getWidth,3,1,0
1.5,org.apache.batik.apps.rasterizer,SVGConverter,setMaxHeight,3,1,1
1.5,org.apache.batik.apps.rasterizer,SVGConverter,getMaxHeight,3,1,0
1.5,org.apache.batik.apps.rasterizer,SVGConverter,setMaxWidth,3,1,1
1.5,org.apache.batik.apps.rasterizer,SVGConverter,getMaxWidth,3,1,0
1.5,org.apache.batik.apps.rasterizer,SVGConverter,setQuality,6,2,1
1.5,org.apache.batik.apps.rasterizer,SVGConverter,getQuality,3,1,0
1.5,org.apache.batik.apps.rasterizer,SVGConverter,setIndexed,3,1,1
1.5,org.apache.batik.apps.rasterizer,SVGConverter,getIndexed,3,1,0
1.5,org.apache.batik.apps.rasterizer,SVGConverter,setLanguage,3,1,1
1.5,org.apache.batik.apps.rasterizer,SVGConverter,getLanguage,3,1,0
1.5,org.apache.batik.apps.rasterizer,SVGConverter,setUserStylesheet,3,1,1
1.5,org.apache.batik.apps.rasterizer,SVGConverter,getUserStylesheet,3,1,0
1.5,org.apache.batik.apps.rasterizer,SVGConverter,setPixelUnitToMillimeter,3,1,1
1.5,org.apache.batik.apps.rasterizer,SVGConverter,getPixelUnitToMillimeter,3,1,0
1.5,org.apache.batik.apps.rasterizer,SVGConverter,setArea,3,1,1
1.5,org.apache.batik.apps.rasterizer,SVGConverter,getArea,3,1,0
1.5,org.apache.batik.apps.rasterizer,SVGConverter,setSources,16,5,1
1.5,org.apache.batik.apps.rasterizer,SVGConverter,getSources,3,1,0
1.5,org.apache.batik.apps.rasterizer,SVGConverter,setDst,3,1,1
1.5,org.apache.batik.apps.rasterizer,SVGConverter,getDst,3,1,0
1.5,org.apache.batik.apps.rasterizer,SVGConverter,setBackgroundColor,3,1,1
1.5,org.apache.batik.apps.rasterizer,SVGConverter,getBackgroundColor,3,1,0
1.5,org.apache.batik.apps.rasterizer,SVGConverter,setMediaType,3,1,1
1.5,org.apache.batik.apps.rasterizer,SVGConverter,getMediaType,3,1,0
1.5,org.apache.batik.apps.rasterizer,SVGConverter,setDefaultFontFamily,3,1,1
1.5,org.apache.batik.apps.rasterizer,SVGConverter,getDefaultFontFamily,3,1,0
1.5,org.apache.batik.apps.rasterizer,SVGConverter,setAlternateStylesheet,3,1,1
1.5,org.apache.batik.apps.rasterizer,SVGConverter,getAlternateStylesheet,3,1,0
1.5,org.apache.batik.apps.rasterizer,SVGConverter,setValidate,3,1,1
1.5,org.apache.batik.apps.rasterizer,SVGConverter,getValidate,3,1,0
1.5,org.apache.batik.apps.rasterizer,SVGConverter,setExecuteOnload,3,1,1
1.5,org.apache.batik.apps.rasterizer,SVGConverter,getExecuteOnload,3,1,0
1.5,org.apache.batik.apps.rasterizer,SVGConverter,setAllowedScriptTypes,3,1,1
1.5,org.apache.batik.apps.rasterizer,SVGConverter,getAllowedScriptTypes,3,1,0
1.5,org.apache.batik.apps.rasterizer,SVGConverter,setConstrainScriptOrigin,3,1,1
1.5,org.apache.batik.apps.rasterizer,SVGConverter,getConstrainScriptOrigin,3,1,0
1.5,org.apache.batik.apps.rasterizer,SVGConverter,setSecurityOff,3,1,1
1.5,org.apache.batik.apps.rasterizer,SVGConverter,getSecurityOff,3,1,0
1.5,org.apache.batik.apps.rasterizer,SVGConverter,isFile,11,3,1
1.5,org.apache.batik.apps.rasterizer,SVGConverter,execute,26,5,0
1.5,org.apache.batik.apps.rasterizer,SVGConverter,computeDstFiles,27,6,1
1.5,org.apache.batik.apps.rasterizer,SVGConverter,computeSources,25,5,0
1.5,org.apache.batik.apps.rasterizer,SVGConverter,getFileNRef,11,3,1
1.5,org.apache.batik.apps.rasterizer,SVGConverter,computeTranscodingHints,58,19,0
1.5,org.apache.batik.apps.rasterizer,SVGConverter,transcode,71,8,3
1.5,org.apache.batik.apps.rasterizer,SVGConverter,getDestinationFile,15,2,1
1.5,org.apache.batik.apps.rasterizer,SVGConverter,createOutputDir,19,5,1
1.5,org.apache.batik.apps.rasterizer,SVGConverter,isWriteable,16,3,1
1.5,org.apache.batik.apps.rasterizer,SVGConverter,accept,6,2,1
1.5,org.apache.batik.apps.rasterizer,SVGFileFilter,accept,6,2,1
1.5,org.apache.batik.apps.rasterizer,SVGConverterController,proceedWithComputedTask,0,1,4
1.5,org.apache.batik.apps.rasterizer,SVGConverterController,proceedWithSourceTranscoding,0,1,2
1.5,org.apache.batik.apps.rasterizer,SVGConverterController,proceedOnSourceTranscodingFailure,0,1,3
1.5,org.apache.batik.apps.rasterizer,SVGConverterController,onSourceTranscodingSuccess,0,1,2
1.5,org.apache.batik.apps.rasterizer,SVGConverterException,SVGConverterException,3,1,1
1.5,org.apache.batik.apps.rasterizer,SVGConverterException,SVGConverterException,3,1,2
1.5,org.apache.batik.apps.rasterizer,SVGConverterException,SVGConverterException,5,1,3
1.5,org.apache.batik.apps.rasterizer,SVGConverterException,SVGConverterException,3,1,2
1.5,org.apache.batik.apps.rasterizer,SVGConverterException,isFatal,3,1,0
1.5,org.apache.batik.apps.rasterizer,SVGConverterException,getMessage,3,1,0
1.5,org.apache.batik.apps.rasterizer,SVGConverterException,getErrorCode,3,1,0
1.5,org.apache.batik.apps.rasterizer,SVGConverterFileSource,SVGConverterFileSource,3,1,1
1.5,org.apache.batik.apps.rasterizer,SVGConverterFileSource,SVGConverterFileSource,4,1,2
1.5,org.apache.batik.apps.rasterizer,SVGConverterFileSource,getName,7,2,0
1.5,org.apache.batik.apps.rasterizer,SVGConverterFileSource,getFile,3,1,0
1.5,org.apache.batik.apps.rasterizer,SVGConverterFileSource,toString,3,1,0
1.5,org.apache.batik.apps.rasterizer,SVGConverterFileSource,getURI,12,2,0
1.5,org.apache.batik.apps.rasterizer,SVGConverterFileSource,equals,6,2,1
1.5,org.apache.batik.apps.rasterizer,SVGConverterFileSource,openStream,3,1,0
1.5,org.apache.batik.apps.rasterizer,SVGConverterFileSource,isSameAs,6,2,1
1.5,org.apache.batik.apps.rasterizer,SVGConverterFileSource,isReadable,3,1,0
1.5,org.apache.batik.apps.rasterizer,SVGConverterSource,getName,0,1,0
1.5,org.apache.batik.apps.rasterizer,SVGConverterSource,openStream,0,1,0
1.5,org.apache.batik.apps.rasterizer,SVGConverterSource,isSameAs,0,1,1
1.5,org.apache.batik.apps.rasterizer,SVGConverterSource,isReadable,0,1,0
1.5,org.apache.batik.apps.rasterizer,SVGConverterSource,getURI,0,1,0
1.5,org.apache.batik.apps.rasterizer,SVGConverterURLSource,SVGConverterURLSource,16,4,1
1.5,org.apache.batik.apps.rasterizer,SVGConverterURLSource,toString,3,1,0
1.5,org.apache.batik.apps.rasterizer,SVGConverterURLSource,getURI,3,1,0
1.5,org.apache.batik.apps.rasterizer,SVGConverterURLSource,equals,6,2,1
1.5,org.apache.batik.apps.rasterizer,SVGConverterURLSource,openStream,3,1,0
1.5,org.apache.batik.apps.rasterizer,SVGConverterURLSource,isSameAs,3,1,1
1.5,org.apache.batik.apps.rasterizer,SVGConverterURLSource,isReadable,3,1,0
1.5,org.apache.batik.apps.rasterizer,SVGConverterURLSource,getName,3,1,0
1.5,org.apache.batik.apps.rasterizer,MainTest,MainTest,471,31,0
1.5,org.apache.batik.apps.rasterizer,MainTest,validate,9,2,1
1.5,org.apache.batik.apps.rasterizer,MainTest,validate,10,3,1
1.5,org.apache.batik.apps.rasterizer,MainTest,validate,9,2,1
1.5,org.apache.batik.apps.rasterizer,MainTest,validate,9,2,1
1.5,org.apache.batik.apps.rasterizer,MainTest,validate,9,2,1
1.5,org.apache.batik.apps.rasterizer,MainTest,validate,9,2,1
1.5,org.apache.batik.apps.rasterizer,MainTest,validate,9,2,1
1.5,org.apache.batik.apps.rasterizer,MainTest,validate,9,2,1
1.5,org.apache.batik.apps.rasterizer,MainTest,validate,9,2,1
1.5,org.apache.batik.apps.rasterizer,MainTest,validate,9,2,1
1.5,org.apache.batik.apps.rasterizer,MainTest,validate,9,2,1
1.5,org.apache.batik.apps.rasterizer,MainTest,validate,9,2,1
1.5,org.apache.batik.apps.rasterizer,MainTest,validate,10,2,1
1.5,org.apache.batik.apps.rasterizer,MainTest,toString,8,2,1
1.5,org.apache.batik.apps.rasterizer,MainTest,validate,10,2,1
1.5,org.apache.batik.apps.rasterizer,MainTest,toString,8,2,1
1.5,org.apache.batik.apps.rasterizer,MainTest,validate,10,2,1
1.5,org.apache.batik.apps.rasterizer,MainTest,validate,10,2,1
1.5,org.apache.batik.apps.rasterizer,MainTest,makeArgsArray,3,1,1
1.5,org.apache.batik.apps.rasterizer,MainTest,validate,10,2,1
1.5,org.apache.batik.apps.rasterizer,MainTest,validate,8,2,1
1.5,org.apache.batik.apps.rasterizer,MainTest,validate,8,2,1
1.5,org.apache.batik.apps.rasterizer,MainTest,validate,8,2,1
1.5,org.apache.batik.apps.rasterizer,MainTest,validate,8,2,1
1.5,org.apache.batik.apps.rasterizer,MainTest,validate,8,2,1
1.5,org.apache.batik.apps.rasterizer,MainTest,validate,8,2,1
1.5,org.apache.batik.apps.rasterizer,MainTest,validate,8,2,1
1.5,org.apache.batik.apps.rasterizer,MainTest,validate,8,2,1
1.5,org.apache.batik.apps.rasterizer,MainTest,validate,8,2,1
1.5,org.apache.batik.apps.rasterizer,MainTest,validate,8,2,1
1.5,org.apache.batik.apps.rasterizer,MainIllegalArgTest,MainIllegalArgTest,4,1,2
1.5,org.apache.batik.apps.rasterizer,MainIllegalArgTest,getName,3,1,0
1.5,org.apache.batik.apps.rasterizer,MainIllegalArgTest,runImpl,21,3,0
1.5,org.apache.batik.apps.rasterizer,MainIllegalArgTest,error,10,2,2
1.5,org.apache.batik.apps.rasterizer,MainIllegalArgTest,makeArgsArray,8,2,1
1.5,org.apache.batik.apps.rasterizer,MainConfigErrorTest,MainConfigErrorTest,4,1,2
1.5,org.apache.batik.apps.rasterizer,MainConfigErrorTest,getName,3,1,0
1.5,org.apache.batik.apps.rasterizer,MainConfigErrorTest,runImpl,28,4,0
1.5,org.apache.batik.apps.rasterizer,MainConfigErrorTest,error,17,3,2
1.5,org.apache.batik.apps.rasterizer,MainConfigErrorTest,makeArgsArray,8,2,1
1.5,org.apache.batik.apps.rasterizer,MainConfigTest,reportError,7,1,3
1.5,org.apache.batik.apps.rasterizer,MainConfigTest,MainConfigTest,3,1,1
1.5,org.apache.batik.apps.rasterizer,MainConfigTest,getName,3,1,0
1.5,org.apache.batik.apps.rasterizer,MainConfigTest,runImpl,11,1,0
1.5,org.apache.batik.apps.rasterizer,MainConfigTest,validateConverterConfig,3,1,1
1.5,org.apache.batik.apps.rasterizer,MainConfigTest,validate,0,1,1
1.5,org.apache.batik.apps.rasterizer,MainConfigTest,makeArgsArray,8,2,1
1.5,org.apache.batik.apps.rasterizer,SVGConverterTest,SVGConverterTest,299,1,0
1.5,org.apache.batik.apps.rasterizer,SVGConverterTest,deltaConfigure,3,1,1
1.5,org.apache.batik.apps.rasterizer,SVGConverterTest,deltaConfigure,3,1,1
1.5,org.apache.batik.apps.rasterizer,SVGConverterTest,deltaConfigure,3,1,1
1.5,org.apache.batik.apps.rasterizer,SVGConverterTest,deltaConfigure,3,1,1
1.5,org.apache.batik.apps.rasterizer,SVGConverterTest,deltaConfigure,3,1,1
1.5,org.apache.batik.apps.rasterizer,SVGConverterTest,deltaConfigure,3,1,1
1.5,org.apache.batik.apps.rasterizer,SVGConverterTest,deltaConfigure,3,1,1
1.5,org.apache.batik.apps.rasterizer,SVGConverterTest,deltaConfigure,3,1,1
1.5,org.apache.batik.apps.rasterizer,SVGConverterTest,deltaConfigure,3,1,1
1.5,org.apache.batik.apps.rasterizer,SVGConverterTest,deltaConfigure,3,1,1
1.5,org.apache.batik.apps.rasterizer,SVGConverterTest,deltaConfigure,3,1,1
1.5,org.apache.batik.apps.rasterizer,SVGConverterTest,deltaConfigure,3,1,1
1.5,org.apache.batik.apps.rasterizer,SVGConverterTest,deltaConfigure,3,1,1
1.5,org.apache.batik.apps.rasterizer,SVGConverterTest,deltaConfigure,3,1,1
1.5,org.apache.batik.apps.rasterizer,SVGConverterTest,deltaConfigure,3,1,1
1.5,org.apache.batik.apps.rasterizer,SVGConverterTest,setSources,3,1,1
1.5,org.apache.batik.apps.rasterizer,SVGConverterTest,setDestination,3,1,1
1.5,org.apache.batik.apps.rasterizer,SVGConverterTest,setDestination,3,1,1
1.5,org.apache.batik.apps.rasterizer,SVGConverterTest,configure,6,1,1
1.5,org.apache.batik.apps.rasterizer,SVGConverterTest,configure,4,1,1
1.5,org.apache.batik.apps.rasterizer,SVGConverterTest,configure,3,1,1
1.5,org.apache.batik.apps.rasterizer,SVGConverterTest,configure,3,1,1
1.5,org.apache.batik.apps.rasterizer,SVGConverterTest,configure,12,1,1
1.5,org.apache.batik.apps.rasterizer,SVGConverterTest,configure,4,1,1
1.5,org.apache.batik.apps.rasterizer,SVGConverterTest,configure,4,1,1
1.5,org.apache.batik.apps.rasterizer,SVGConverterTest,proceedWithSourceTranscoding,11,1,2
1.5,org.apache.batik.apps.rasterizer,SVGConverterTest,canRead,4,1,0
