Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell
xmlgraphics-batik-batik-1_6,org.apache.batik.apps.jsvg,JSVG,JSVG,Long Statement,The length of the statement "* This method is called when the component knows the desired size of the window (based on width/height of outermost SVG element). We override it to immediately pack this frame." is 176.
xmlgraphics-batik-batik-1_6,org.apache.tools.ant.taskdefs.optional,RasterizerTask,execute,Long Statement,The length of the statement "log("Rasterizing " + sources.length + (sources.length == 1 ? " image " : " images ")+ "from SVG to "+ this.resultType.toString()+ ".");" is 135.
xmlgraphics-batik-batik-1_6,org.apache.tools.ant.taskdefs.optional,RasterizerTask,setRasterizingParameters,Complex Method,Cyclomatic complexity of the method is 18
xmlgraphics-batik-batik-1_6,org.apache.tools.ant.taskdefs.optional,RasterizerTask,setRasterizingParameters,Magic Number,The method contains a magic number: 25.4f
xmlgraphics-batik-batik-1_6,org.apache.tools.ant.taskdefs.optional,RasterizerTask,getAreaOfInterest,Complex Conditional,The conditional expression (x < 0) || (y < 0) || (width < 0)|| (height < 0) is complex.
xmlgraphics-batik-batik-1_6,org.apache.tools.ant.taskdefs.optional,RasterizerTask,getAreaOfInterest,Magic Number,The method contains a magic number: 4
xmlgraphics-batik-batik-1_6,org.apache.tools.ant.taskdefs.optional,RasterizerTask,getBackgroundColor,Complex Conditional,The conditional expression (a < 0) || (a > 255) || (r < 0)|| (r > 255)|| (g < 0)|| (g > 255)|| (b < 0)|| (b > 255) is complex.
xmlgraphics-batik-batik-1_6,org.apache.tools.ant.taskdefs.optional,RasterizerTask,getBackgroundColor,Magic Number,The method contains a magic number: 3
xmlgraphics-batik-batik-1_6,org.apache.tools.ant.taskdefs.optional,RasterizerTask,getBackgroundColor,Magic Number,The method contains a magic number: 255
xmlgraphics-batik-batik-1_6,org.apache.tools.ant.taskdefs.optional,RasterizerTask,getBackgroundColor,Magic Number,The method contains a magic number: 4
xmlgraphics-batik-batik-1_6,org.apache.tools.ant.taskdefs.optional,RasterizerTask,getBackgroundColor,Magic Number,The method contains a magic number: 255
xmlgraphics-batik-batik-1_6,org.apache.tools.ant.taskdefs.optional,RasterizerTask,getBackgroundColor,Magic Number,The method contains a magic number: 255
xmlgraphics-batik-batik-1_6,org.apache.tools.ant.taskdefs.optional,RasterizerTask,getBackgroundColor,Magic Number,The method contains a magic number: 255
xmlgraphics-batik-batik-1_6,org.apache.tools.ant.taskdefs.optional,RasterizerTask,getBackgroundColor,Magic Number,The method contains a magic number: 255
xmlgraphics-batik-batik-1_6,org.apache.tools.ant.taskdefs.optional,RasterizerTaskSVGConverterController,proceedOnSourceTranscodingFailure,Long Statement,The length of the statement "executingTask.log("Unable to rasterize image '" + source.getName() + "' to '"+ dest.getAbsolutePath()+ "': "+ errorCode);" is 121.
xmlgraphics-batik-batik-1_6,org.test,ScrollExample,ScrollExample,Magic Number,The method contains a magic number: 500
xmlgraphics-batik-batik-1_6,org.test,ScrollExample,ScrollExample,Magic Number,The method contains a magic number: 500
xmlgraphics-batik-batik-1_6,org.apache.batik.apps.tiledTranscoder,TiledImageTranscoder,transcode,Magic Number,The method contains a magic number: 100000
xmlgraphics-batik-batik-1_6,org.apache.batik.apps.tiledTranscoder,TiledImageTranscoder,main,Magic Number,The method contains a magic number: 10240
xmlgraphics-batik-batik-1_6,com.untrusted.script,UntrustedScriptHandler,run,Complex Conditional,The conditional expression docURL != null && docURL.getHost() != null && !"".equals(docURL.getHost()) is complex.
xmlgraphics-batik-batik-1_6,com.untrusted.script,UntrustedScriptHandler,run,Complex Method,Cyclomatic complexity of the method is 10
xmlgraphics-batik-batik-1_6,com.untrusted.script,UntrustedScriptHandler,run,Long Method,The method has 109 lines of code.
xmlgraphics-batik-batik-1_6,com.untrusted.script,UntrustedScriptHandler,run,Magic Number,The method contains a magic number: 3
xmlgraphics-batik-batik-1_6,com.untrusted.script,UntrustedScriptHandler,run,Magic Number,The method contains a magic number: 2
xmlgraphics-batik-batik-1_6,com.untrusted.script,UntrustedScriptHandler,run,Magic Number,The method contains a magic number: 3
xmlgraphics-batik-batik-1_6,com.untrusted.script,UntrustedScriptHandler,run,Magic Number,The method contains a magic number: 2
xmlgraphics-batik-batik-1_6,com.untrusted.script,UntrustedScriptHandler,run,Magic Number,The method contains a magic number: 2
xmlgraphics-batik-batik-1_6,com.untrusted.script,UntrustedScriptHandler,run,Magic Number,The method contains a magic number: 3
xmlgraphics-batik-batik-1_6,com.untrusted.script,UntrustedScriptHandler,run,Magic Number,The method contains a magic number: 85
xmlgraphics-batik-batik-1_6,com.untrusted.script,UntrustedScriptHandler,run,Magic Number,The method contains a magic number: 20
xmlgraphics-batik-batik-1_6,com.untrusted.script,UntrustedScriptHandler,run,Magic Number,The method contains a magic number: 70
