Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
1.8,org.apache.tools.ant.taskdefs.optional,RasterizerTask,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
1.8,org.apache.tools.ant.taskdefs.optional,RasterizerTask,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 21 public methods
1.8,(default package),AppletDemo,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
1.8,com.test.script,EventListenerInitializerImpl,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
1.8,com.untrusted.script,UntrustedScriptHandler,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
1.8,com.untrusted.script,UntrustedScriptHandler,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: svgNS; testedPath; testedHost; basePermissions; permissions; statusRects
1.8,org.apache.batik.anim,AbstractAnimation,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: CALC_MODE_DISCRETE; CALC_MODE_LINEAR; CALC_MODE_PACED; CALC_MODE_SPLINE; timedElement; animatableElement; lowerAnimation; higherAnimation; isDirty; isActive; isFrozen; beginTime; value; composedValue; usesUnderlyingValue; toAnimation
1.8,org.apache.batik.anim,AnimationEngine,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: ANIM_TYPE_XML; ANIM_TYPE_CSS; ANIM_TYPE_OTHER; document; timedDocumentRoot; pauseTime; targets; animations; targetListener; MAP_ENTRY_ARRAY; xmlAnimations; cssAnimations; otherAnimations; animation; lowestAnimation; shouldUpdate; listenerRegistered; target; type; attributeNamespaceURI; attributeLocalName
1.8,org.apache.batik.anim,TargetInfo,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: xmlAnimations; cssAnimations; otherAnimations
1.8,org.apache.batik.anim,TargetInfo,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: xmlAnimations; cssAnimations; otherAnimations
1.8,org.apache.batik.anim,Sandwich,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: animation; lowestAnimation; shouldUpdate; listenerRegistered
1.8,org.apache.batik.anim,Sandwich,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: animation; lowestAnimation; shouldUpdate; listenerRegistered
1.8,org.apache.batik.anim,AnimationInfo,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: target; type; attributeNamespaceURI; attributeLocalName
1.8,org.apache.batik.anim,AnimationInfo,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: target; type; attributeNamespaceURI; attributeLocalName
1.8,org.apache.batik.anim,AnimationException,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
1.8,org.apache.batik.anim,ColorAnimation,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
1.8,org.apache.batik.anim,ColorAnimation,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): SimpleAnimation
1.8,org.apache.batik.anim,InterpolatingAnimation,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractAnimation
1.8,org.apache.batik.anim,MotionAnimation,Imperative Abstraction,The tool detected the smell in this class because it looks like that an operation is turned into a class. This class contains only the following public method: MotionAnimation
1.8,org.apache.batik.anim,MotionAnimation,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): InterpolatingAnimation
1.8,org.apache.batik.anim,SetAnimation,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
1.8,org.apache.batik.anim,SetAnimation,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractAnimation
1.8,org.apache.batik.anim,SimpleAnimation,Imperative Abstraction,The tool detected the smell in this class because it looks like that an operation is turned into a class. This class contains only the following public method: SimpleAnimation
1.8,org.apache.batik.anim,SimpleAnimation,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): InterpolatingAnimation
1.8,org.apache.batik.anim,TransformAnimation,Imperative Abstraction,The tool detected the smell in this class because it looks like that an operation is turned into a class. This class contains only the following public method: TransformAnimation
1.8,org.apache.batik.anim,TransformAnimation,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
1.8,org.apache.batik.anim,TransformAnimation,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): SimpleAnimation
1.8,org.apache.batik.anim.dom,AbstractElement,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: AbstractElement; AttributeInitializer
1.8,org.apache.batik.anim.dom,AbstractSVGAnimatedLength,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: HORIZONTAL_LENGTH; VERTICAL_LENGTH; OTHER_LENGTH; direction; baseVal; animVal; changing; nonNegative; valid; missing
1.8,org.apache.batik.anim.dom,AbstractSVGAnimatedLength,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractSVGAnimatedValue
1.8,org.apache.batik.anim.dom,AbstractSVGAnimatedLength,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 20 public methods
1.8,org.apache.batik.anim.dom,BaseSVGLength,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractSVGLength
1.8,org.apache.batik.anim.dom,AbstractSVGAnimatedValue,Wide Hierarchy,The tool detected the smell in this class because the number of children for the class is large. This class has following sub-classes: AbstractSVGAnimatedLength; SVGOMAnimatedBoolean; SVGOMAnimatedEnumeration; SVGOMAnimatedInteger; SVGOMAnimatedLengthList; SVGOMAnimatedMarkerOrientValue; SVGOMAnimatedNumber; SVGOMAnimatedNumberList; SVGOMAnimatedPathData; SVGOMAnimatedPoints; SVGOMAnimatedPreserveAspectRatio; SVGOMAnimatedRect; SVGOMAnimatedString; SVGOMAnimatedTransformList
1.8,org.apache.batik.anim.dom,AbstractSVGLength,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: HORIZONTAL_LENGTH; VERTICAL_LENGTH; OTHER_LENGTH; unitType; value; direction; context; UNITS
