Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path
1.8,org.apache.batik.apps.jsvg,JSVG,1,0,4,4,38,7,0,0,0.75,1,2,c:\sources\batik\1.8\contrib\jsvg\JSVG.java
1.8,org.apache.tools.ant.taskdefs.optional,RasterizerTask,20,0,29,21,501,68,0,0,0.10344827586206896,0,6,c:\sources\batik\1.8\contrib\rasterizertask\sources\org\apache\tools\ant\taskdefs\optional\RasterizerTask.java
1.8,org.apache.tools.ant.taskdefs.optional,ValidImageTypes,0,0,1,1,14,1,0,0,-1.0,1,1,c:\sources\batik\1.8\contrib\rasterizertask\sources\org\apache\tools\ant\taskdefs\optional\RasterizerTask.java
1.8,org.apache.tools.ant.taskdefs.optional,ValidMediaTypes,0,0,1,1,14,1,0,0,-1.0,1,0,c:\sources\batik\1.8\contrib\rasterizertask\sources\org\apache\tools\ant\taskdefs\optional\RasterizerTask.java
1.8,org.apache.tools.ant.taskdefs.optional,RasterizerTaskSVGConverterController,1,0,6,5,39,7,0,0,0.8333333333333334,1,2,c:\sources\batik\1.8\contrib\rasterizertask\sources\org\apache\tools\ant\taskdefs\optional\RasterizerTaskSVGConverterController.java
1.8,org.test,ScrollExample,0,0,3,2,48,5,0,0,-1.0,1,1,c:\sources\batik\1.8\contrib\scroll\ScrollExample.java
1.8,org.apache.batik.apps.tiledTranscoder,TiledImageTranscoder,0,0,3,1,48,4,0,0,-1.0,1,3,c:\sources\batik\1.8\contrib\tiledTranscoder\TiledImageTranscoder.java
1.8,(default package),AppletDemo,3,0,6,6,87,24,0,0,0.0,0,3,c:\sources\batik\1.8\documentation-sources\content\demo\AppletDemo.java
1.8,com.test.script,EventListenerInitializerImpl,0,0,2,2,20,2,0,0,-1.0,0,1,c:\sources\batik\1.8\samples\tests\resources\java\sources\com\test\script\EventListenerInitializerImpl.java
1.8,com.untrusted.script,UntrustedScriptHandler,6,3,3,3,144,18,0,0,0.6666666666666666,0,4,c:\sources\batik\1.8\samples\tests\resources\java\sources\com\untrusted\script\UntrustedScriptHandler.java
1.8,org.apache.batik.anim,AbstractAnimation,16,4,10,5,141,16,2,0,0.3,5,4,c:\sources\batik\1.8\sources\org\apache\batik\anim\AbstractAnimation.java
1.8,org.apache.batik.anim,AnimationEngine,21,14,25,17,544,76,0,0,0.12,3,11,c:\sources\batik\1.8\sources\org\apache\batik\anim\AnimationEngine.java
1.8,org.apache.batik.anim,Listener,0,0,1,1,18,2,0,0,-1.0,1,3,c:\sources\batik\1.8\sources\org\apache\batik\anim\AnimationEngine.java
1.8,org.apache.batik.anim,TargetInfo,3,3,0,0,17,0,0,0,-1.0,1,1,c:\sources\batik\1.8\sources\org\apache\batik\anim\AnimationEngine.java
1.8,org.apache.batik.anim,Sandwich,4,4,0,0,21,0,0,0,-1.0,2,1,c:\sources\batik\1.8\sources\org\apache\batik\anim\AnimationEngine.java
