Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
sdks,org.apache.beam.codestyle,CodeStyleTestClass,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sdks,org.apache.beam.sdk.coders,AtomicCoder,Wide Hierarchy,The tool detected the smell in this class because the number of children for the class is large. This class has following sub-classes: BigDecimalCoder; BigEndianIntegerCoder; BigEndianLongCoder; BigEndianShortCoder; BigIntegerCoder; BitSetCoder; BooleanCoder; ByteArrayCoder; ByteCoder; DoubleCoder; DurationCoder; FloatCoder; InstantCoder; StringUtf8Coder; TextualIntegerCoder; VarIntCoder; VoidCoder; MyValueCoder; EntireStreamExpectingCoder
sdks,org.apache.beam.sdk.coders,AvroCoder,Insufficient Modularization,The tool detected the smell in this class because the class contains large number of methods. Total methods in the class: 37 methods
sdks,org.apache.beam.sdk.coders,SerializableSchemaString,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: SerializableSchemaString; SerializableSchemaSupplier
sdks,org.apache.beam.sdk.coders,BooleanCoder,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AtomicCoder
sdks,org.apache.beam.sdk.coders,Coder,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: OUTER; NESTED; isWholeStream; coder; reasons
sdks,org.apache.beam.sdk.coders,Coder,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: Coder; NonDeterministicException
sdks,org.apache.beam.sdk.coders,Coder,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 24 public methods
sdks,org.apache.beam.sdk.coders,Context,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: OUTER; NESTED; isWholeStream
sdks,org.apache.beam.sdk.coders,CoderRegistry,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: TypeDescriptors; Contextful; Requirements; DoFn; DisplayData; Path; Objects; ValueProvider; NestedValueProvider; Deserializer; ProxyInvocationHandler; PipelineOptionsDisplayData; DisplayDataValue; Arrays; RuntimeValueProvider; PipelineOptionsFactory; Builder; PipelineOptionsValidator; Cache; Lists; PipelineRunner; Pipeline; TransformHierarchy; Node; PTransform; PCollection; WindowingStrategy; WindowFn; IncompatibleWindowException; CoderRegistry; Metadata; MetadataCoder; ResourceIdCoder; FileSystems; ReadableFileCoder; FileIO; ReadMatches; ToReadableFileFn; ReadableFile; ParDo; SingleOutput; MultiOutput; DoFnSignature; PCollectionTuple; PValueBase; NameUtils; PValue; Builder; DoFnSignatures; ErrorReporter; ParameterDescription; StateSpec; StateBinder; Combine; GlobalCombineFn; Globally; ApproximateUnique; PerKey; ApproximateUniqueCombineFn; LargestUnique; Iterables; SimpleFunction; FlatMapElements; Fn; ContextFromProcessContext; SerializableCoder; SerializableCoderProvider; GroupedValues; CombineWithContext; CombineFnBase; AbstractGlobalCombineFn; AppliedCombineFn; BinaryCombineIntegerFn; FromIntegerCodingFunction; BinaryCombineLongFn; FromLongCodingFunction; BinaryCombineDoubleFn; FromDoubleCodingFunction; GloballyAsSingletonView; VoidKeyToMultimapMaterialization; PCollectionViews; SimplePCollectionView; SingletonViewFn; IterableViewFn; CreatePCollectionView; HasDisplayData; IterableCombineFn; SimpleCombineFn; PerKeyWithHotKeyFanout; CombineFnWithContext; Window; MapElements; Flatten; PCollections; PCollectionList; TaggedPValue; WithKeys; Values; PBegin; Read; MatchConfiguration; ReadAll; ReadAllViaFileBasedSource; SplitIntoRangesFn; ReadFileRangesFn; FileBasedSource; Mode; AvroSource; AvroMetadata; AvroBlock; AvroReader; FileBasedReader; FilePatternReader; BoundedSource; Source; CompressedSource; CompressedReader; Reshuffle; ViaRandomKey; ReifyTimestamps; InValues; RemoveWildcard; Reify; Create; OfValueProvider; TimestampedValues; ExtractTimestampsFromValues; GroupByKey; AvroIO; TypedWrite; FilenamePolicy; DynamicAvroDestinations; OutputPrefixToResourceId; FileBasedSink; DynamicDestinations; SideInputAccessorViaProcessContext; WriteOperation; Writer; FileResult; FileResultCoder; WriteFiles; WriteUnshardedBundlesToTempFiles; WriteUnshardedTempFilesWithSpillingFn; WriterKey; WriteShardsIntoTempFilesFn; WriteShardedBundlesToTempFiles; GatherResults; GatherBundlesPerWindowFn; View; AsSingleton; SingletonCombineFn; AsList; AsIterable; AsMap; AsMultimap; FinalizeTempFileBundles; FinalizeFn; WriteFilesResult; AvroSink; AvroWriteOperation; AvroWriter; DefaultFilenamePolicy; ParamsCoder; Params; Write; PDone; CreateParseSourceFn; ConstantAvroDestination; Cases; Sink; MatchFn; MatchPollFn; Watch; Growth; WatchGrowthFn; GrowthTracker; GrowthState; GrowthStateCoder; Builder; ViaFileBasedSink; DynamicDestinationsAdapter; POutput; ReplacementOutput; PipelineVisitor; AppliedPTransform; Defaults; PTransformOverride; PTransformMatcher; PTransformOverrideFactory; PTransformReplacement; ValidateVisitor; UnstableNameToMessage; TransformToMessage; InternalBuilder; Item; Identifier
