Project Name,Package Name,Type Name,Method Name,LOC,CC,PC
sdks,org.apache.beam.codestyle,CodeStyleTestClass,withSideInputs,3,1,1
sdks,org.apache.beam.codestyle,CodeStyleTestClass,MyClass,2,1,0
sdks,org.apache.beam.codestyle,CodeStyleTestClass,myMethod,3,1,1
sdks,org.apache.beam.codestyle,MyClass,MyClass,2,1,0
sdks,org.apache.beam.codestyle,MyClass,myMethod,3,1,1
sdks,org.apache.beam.sdk.coders,AtomicCoder,verifyDeterministic,2,1,0
sdks,org.apache.beam.sdk.coders,AtomicCoder,getCoderArguments,3,1,0
sdks,org.apache.beam.sdk.coders,AtomicCoder,getComponents,3,1,0
sdks,org.apache.beam.sdk.coders,AtomicCoder,equals,3,1,1
sdks,org.apache.beam.sdk.coders,AtomicCoder,hashCode,3,1,0
sdks,org.apache.beam.sdk.coders,AvroCoder,of,4,1,1
sdks,org.apache.beam.sdk.coders,AvroCoder,of,3,1,1
sdks,org.apache.beam.sdk.coders,AvroCoder,of,3,1,1
sdks,org.apache.beam.sdk.coders,AvroCoder,of,3,1,2
sdks,org.apache.beam.sdk.coders,AvroCoder,getCoderProvider,3,1,0
sdks,org.apache.beam.sdk.coders,AvroCoder,coderFor,8,1,2
sdks,org.apache.beam.sdk.coders,AvroCoder,SerializableSchemaString,3,1,1
sdks,org.apache.beam.sdk.coders,AvroCoder,readResolve,3,1,0
sdks,org.apache.beam.sdk.coders,AvroCoder,SerializableSchemaSupplier,3,1,1
sdks,org.apache.beam.sdk.coders,AvroCoder,writeReplace,3,1,0
sdks,org.apache.beam.sdk.coders,AvroCoder,get,3,1,0
sdks,org.apache.beam.sdk.coders,AvroCoder,SerializableReflectDataSupplier,3,1,1
sdks,org.apache.beam.sdk.coders,AvroCoder,get,3,1,0
sdks,org.apache.beam.sdk.coders,AvroCoder,AvroCoder,23,1,2
sdks,org.apache.beam.sdk.coders,AvroCoder,initialValue,3,1,0
sdks,org.apache.beam.sdk.coders,AvroCoder,initialValue,3,1,0
sdks,org.apache.beam.sdk.coders,AvroCoder,getType,3,1,0
sdks,org.apache.beam.sdk.coders,AvroCoder,encode,5,1,2
sdks,org.apache.beam.sdk.coders,AvroCoder,decode,5,1,1
sdks,org.apache.beam.sdk.coders,AvroCoder,verifyDeterministic,5,2,0
sdks,org.apache.beam.sdk.coders,AvroCoder,getSchema,3,1,0
sdks,org.apache.beam.sdk.coders,AvroCoder,getEncodedTypeDescriptor,3,1,0
sdks,org.apache.beam.sdk.coders,AvroCoder,reportError,4,1,3
sdks,org.apache.beam.sdk.coders,AvroCoder,isSubtypeOf,8,3,2
sdks,org.apache.beam.sdk.coders,AvroCoder,AvroDeterminismChecker,2,1,0
sdks,org.apache.beam.sdk.coders,AvroCoder,check,4,1,2
sdks,org.apache.beam.sdk.coders,AvroCoder,recurse,17,4,3
sdks,org.apache.beam.sdk.coders,AvroCoder,doCheck,39,16,3
sdks,org.apache.beam.sdk.coders,AvroCoder,checkString,5,2,2
sdks,org.apache.beam.sdk.coders,AvroCoder,checkUnion,17,4,3
sdks,org.apache.beam.sdk.coders,AvroCoder,checkRecord,17,4,2
sdks,org.apache.beam.sdk.coders,AvroCoder,checkIndexedRecord,54,20,3
