Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path
sdks,org.apache.beam.codestyle,CodeStyleTestClass,1,0,3,2,19,3,0,0,1.0,0,1,c:\sources\beam\2.9.0\sdks\java\build-tools\src\test\java\org\apache\beam\codestyle\CodeStyleTestClass.java
sdks,org.apache.beam.codestyle,MyClass,1,0,2,1,11,2,0,0,1.0,1,0,c:\sources\beam\2.9.0\sdks\java\build-tools\src\test\java\org\apache\beam\codestyle\CodeStyleTestClass.java
sdks,org.apache.beam.sdk.coders,AtomicCoder,0,0,5,5,40,5,19,2,-1.0,1,0,c:\sources\beam\2.9.0\sdks\java\core\src\main\java\org\apache\beam\sdk\coders\AtomicCoder.java
sdks,org.apache.beam.sdk.coders,AvroCoder,21,0,37,19,415,95,0,2,0.13513513513513514,27,10,c:\sources\beam\2.9.0\sdks\java\core\src\main\java\org\apache\beam\sdk\coders\AvroCoder.java
sdks,org.apache.beam.sdk.coders,AvroCoderProvider,0,0,1,1,13,1,0,1,-1.0,1,2,c:\sources\beam\2.9.0\sdks\java\core\src\main\java\org\apache\beam\sdk\coders\AvroCoder.java
sdks,org.apache.beam.sdk.coders,SerializableSchemaString,1,0,2,0,12,2,0,0,0.0,2,1,c:\sources\beam\2.9.0\sdks\java\core\src\main\java\org\apache\beam\sdk\coders\AvroCoder.java
sdks,org.apache.beam.sdk.coders,SerializableSchemaSupplier,1,0,3,1,15,3,0,0,0.0,2,1,c:\sources\beam\2.9.0\sdks\java\core\src\main\java\org\apache\beam\sdk\coders\AvroCoder.java
sdks,org.apache.beam.sdk.coders,SerializableReflectDataSupplier,1,0,2,1,12,2,0,0,0.0,1,0,c:\sources\beam\2.9.0\sdks\java\core\src\main\java\org\apache\beam\sdk\coders\AvroCoder.java
sdks,org.apache.beam.sdk.coders,AvroDeterminismChecker,5,0,13,1,243,68,0,0,0.23076923076923078,2,2,c:\sources\beam\2.9.0\sdks\java\core\src\main\java\org\apache\beam\sdk\coders\AvroCoder.java
sdks,org.apache.beam.sdk.coders,BigDecimalCoder,3,0,10,8,55,10,0,3,0.5,4,4,c:\sources\beam\2.9.0\sdks\java\core\src\main\java\org\apache\beam\sdk\coders\BigDecimalCoder.java
sdks,org.apache.beam.sdk.coders,BigEndianIntegerCoder,2,0,9,7,57,11,0,3,1.0,33,3,c:\sources\beam\2.9.0\sdks\java\core\src\main\java\org\apache\beam\sdk\coders\BigEndianIntegerCoder.java
sdks,org.apache.beam.sdk.coders,BigEndianLongCoder,2,0,9,7,57,11,0,3,1.0,12,3,c:\sources\beam\2.9.0\sdks\java\core\src\main\java\org\apache\beam\sdk\coders\BigEndianLongCoder.java
sdks,org.apache.beam.sdk.coders,BigEndianShortCoder,2,0,9,7,57,11,0,3,1.0,1,3,c:\sources\beam\2.9.0\sdks\java\core\src\main\java\org\apache\beam\sdk\coders\BigEndianShortCoder.java
sdks,org.apache.beam.sdk.coders,BigIntegerCoder,2,0,10,8,50,10,0,3,0.5,3,3,c:\sources\beam\2.9.0\sdks\java\core\src\main\java\org\apache\beam\sdk\coders\BigIntegerCoder.java
sdks,org.apache.beam.sdk.coders,BitSetCoder,2,0,8,7,33,9,0,3,0.5,4,4,c:\sources\beam\2.9.0\sdks\java\core\src\main\java\org\apache\beam\sdk\coders\BitSetCoder.java
sdks,org.apache.beam.sdk.coders,BooleanCoder,2,0,6,5,28,6,0,3,0.8333333333333334,3,2,c:\sources\beam\2.9.0\sdks\java\core\src\main\java\org\apache\beam\sdk\coders\BooleanCoder.java
sdks,org.apache.beam.sdk.coders,ByteArrayCoder,2,0,12,10,88,19,0,3,0.8333333333333334,32,7,c:\sources\beam\2.9.0\sdks\java\core\src\main\java\org\apache\beam\sdk\coders\ByteArrayCoder.java
sdks,org.apache.beam.sdk.coders,ByteCoder,2,0,9,7,64,12,0,3,1.0,4,3,c:\sources\beam\2.9.0\sdks\java\core\src\main\java\org\apache\beam\sdk\coders\ByteCoder.java
sdks,org.apache.beam.sdk.coders,CannotProvideCoderException,1,0,8,8,61,10,0,0,0.625,17,0,c:\sources\beam\2.9.0\sdks\java\core\src\main\java\org\apache\beam\sdk\coders\CannotProvideCoderException.java
sdks,org.apache.beam.sdk.coders,Coder,5,3,25,24,185,28,2,0,0.32,358,6,c:\sources\beam\2.9.0\sdks\java\core\src\main\java\org\apache\beam\sdk\coders\Coder.java
sdks,org.apache.beam.sdk.coders,Context,3,3,5,5,36,6,0,0,0.4,46,1,c:\sources\beam\2.9.0\sdks\java\core\src\main\java\org\apache\beam\sdk\coders\Coder.java
sdks,org.apache.beam.sdk.coders,NonDeterministicException,2,0,6,6,29,6,0,0,0.0,13,2,c:\sources\beam\2.9.0\sdks\java\core\src\main\java\org\apache\beam\sdk\coders\Coder.java
sdks,org.apache.beam.sdk.coders,CoderException,0,0,3,3,14,3,0,0,-1.0,48,0,c:\sources\beam\2.9.0\sdks\java\core\src\main\java\org\apache\beam\sdk\coders\CoderException.java
sdks,org.apache.beam.sdk.coders,CoderProvider,0,0,1,1,9,1,6,0,-1.0,9,1,c:\sources\beam\2.9.0\sdks\java\core\src\main\java\org\apache\beam\sdk\coders\CoderProvider.java
