Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
java,org.apache.cocoon.acting,AbstractAction,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: EMPTY_MAP
java,org.apache.cocoon.acting,AbstractConfigurableAction,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractAction
java,org.apache.cocoon.acting,AbstractMultiAction,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): ConfigurableServiceableAction
java,org.apache.cocoon.acting,AbstractValidatorAction,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractComplementaryConfigurableAction
java,org.apache.cocoon.acting,AbstractValidatorAction,Insufficient Modularization,The tool detected the smell in this class because the class is highly complex. The sum of cyclomatic complexity of all methods of this class (i.e. WMC) is: 145
java,org.apache.cocoon.acting,ClearCacheAction,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
java,org.apache.cocoon.acting,ClearCacheAction,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): ServiceableAction
java,org.apache.cocoon.acting,ClearPersistentStoreAction,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
java,org.apache.cocoon.acting,ClearPersistentStoreAction,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): ServiceableAction
java,org.apache.cocoon.acting,ComposerAction,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
java,org.apache.cocoon.acting,ComposerAction,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractAction
java,org.apache.cocoon.acting,ConfigurableComposerAction,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
java,org.apache.cocoon.acting,ConfigurableComposerAction,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractConfigurableAction
java,org.apache.cocoon.acting,ConfigurableServiceableAction,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractConfigurableAction
java,org.apache.cocoon.acting,ConfigurationHelper,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: lastModified; configuration
java,org.apache.cocoon.acting,ConfigurationHelper,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: lastModified; configuration
java,org.apache.cocoon.acting,CopySourceAction,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
java,org.apache.cocoon.acting,FormValidatorAction,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
java,org.apache.cocoon.acting,HelloAction,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
java,org.apache.cocoon.acting,HelloAction,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): ServiceableAction
java,org.apache.cocoon.acting,HttpCacheAction,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
java,org.apache.cocoon.acting,HttpHeaderAction,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
java,org.apache.cocoon.acting,InputModuleAction,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
java,org.apache.cocoon.acting,InputModuleAction,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): ConfigurableServiceableAction
java,org.apache.cocoon.acting,LocaleAction,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
java,org.apache.cocoon.acting,LocaleAction,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: DEFAULT_DEFAULT_LANG; DEFAULT_DEFAULT_COUNTRY; DEFAULT_DEFAULT_VARIANT; LOCALE; LOCALE_ATTR; STORE_REQUEST; CREATE_SESSION; STORE_SESSION; STORE_COOKIE; localeAttribute; useLocale; defaultLocale; storeInRequest; storeInSession; createSession; storeInCookie
java,org.apache.cocoon.acting,LocaleAction,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): ServiceableAction
java,org.apache.cocoon.acting,PropagatorAction,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
java,org.apache.cocoon.acting,PropagatorAction,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: ACTION_PREFIX; CONFIG_STORE_EMPTY; CONFIG_OUTPUT_MODULE; OUTPUT_HINT; storeEmpty; outputConf; outputName; defaults; key; value
java,org.apache.cocoon.acting,PropagatorAction,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): ServiceableAction
java,org.apache.cocoon.acting,Entry,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: key; value
java,org.apache.cocoon.acting,RequestParamAction,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
java,org.apache.cocoon.acting,RequestParamAction,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: MAP_URI; MAP_QUERY; MAP_CONTEXTPATH; PARAM_PARAMETERS; PARAM_DEFAULT_PREFIX
java,org.apache.cocoon.acting,RequestParamAction,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): ServiceableAction
java,org.apache.cocoon.acting,RequestParameterExistsAction,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
java,org.apache.cocoon.acting,RequestParameterExistsAction,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractConfigurableAction
java,org.apache.cocoon.acting,ResourceExistsAction,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
