Project Name,Package Name,Architecture Smell,Cause of the Smell
java,org.apache.cocoon.acting,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 35
java,<All packages>,Dense Structure, The tool detected the smell because all the analyzed components exhibit excessive and dense dependencies among themselves. Average degree = 8.22. All the dependencies among components: from: org.apache.cocoon.acting to: org.apache.cocoon.environment; from: org.apache.cocoon.acting to: org.apache.cocoon; from: org.apache.cocoon.acting to: org.apache.cocoon.components.source; from: org.apache.cocoon.acting to: org.apache.cocoon.util; from: org.apache.cocoon.acting to: org.apache.cocoon.sitemap; from: org.apache.cocoon.acting to: org.apache.cocoon.caching; from: org.apache.cocoon.acting to: org.apache.cocoon.components.modules.input; from: org.apache.cocoon.acting to: org.apache.cocoon.i18n; from: org.apache.cocoon.acting to: org.apache.cocoon.components.modules.output; from: org.apache.cocoon.bean to: org.apache.cocoon.bean.helpers; from: org.apache.cocoon.bean to: org.apache.cocoon.matching.helpers; from: org.apache.cocoon.bean to: org.apache.cocoon.components.notification; from: org.apache.cocoon.bean to: org.apache.cocoon; from: org.apache.cocoon.bean to: org.apache.cocoon.environment.commandline; from: org.apache.cocoon.bean to: org.apache.cocoon.util; from: org.apache.cocoon.bean to: org.apache.cocoon.xml; from: org.apache.cocoon.bean to: org.apache.cocoon.components.pipeline; from: org.apache.cocoon.bean to: org.apache.cocoon.components; from: org.apache.cocoon.bean to: org.apache.cocoon.environment; from: org.apache.cocoon.bean.helpers to: org.apache.cocoon.bean; from: org.apache.cocoon.caching.impl to: org.apache.cocoon.caching; from: org.apache.cocoon.caching.impl to: org.apache.cocoon; from: org.apache.cocoon to: org.apache.cocoon.environment; from: org.apache.cocoon to: org.apache.cocoon.components; from: org.apache.cocoon to: org.apache.cocoon.components.source.impl; from: org.apache.cocoon to: org.apache.cocoon.util; from: org.apache.cocoon to: org.apache.cocoon.components.source; from: org.apache.cocoon to: org.apache.cocoon.bean.helpers; from: org.apache.cocoon to: org.apache.cocoon.bean; from: org.apache.cocoon.components to: org.apache.cocoon.environment; from: org.apache.cocoon.components to: org.apache.cocoon; from: org.apache.cocoon.components to: org.apache.cocoon.xml; from: org.apache.cocoon.components.classloader to: org.apache.cocoon.util; from: org.apache.cocoon.components.classloader to: org.apache.cocoon; from: org.apache.cocoon.components.crawler to: org.apache.cocoon; from: org.apache.cocoon.components.flow to: org.apache.cocoon.environment; from: org.apache.cocoon.components.flow to: org.apache.cocoon.components.flow.util; from: org.apache.cocoon.components.flow to: org.apache.cocoon.components; from: org.apache.cocoon.components.flow to: org.apache.cocoon; from: org.apache.cocoon.components.flow to: org.apache.cocoon.components.thread; from: org.apache.cocoon.components.flow.javascript.fom to: org.apache.cocoon.environment; from: org.apache.cocoon.components.flow.javascript.fom to: org.apache.cocoon.components.flow; from: org.apache.cocoon.components.flow.javascript.fom to: org.apache.cocoon.components; from: org.apache.cocoon.components.flow.javascript.fom to: org.apache.cocoon.util; from: org.apache.cocoon.components.flow.javascript.fom to: org.apache.cocoon.components.flow.javascript; from: org.apache.cocoon.components.flow.javascript.fom to: org.apache.cocoon; from: org.apache.cocoon.components.flow.util to: org.apache.cocoon.components; from: org.apache.cocoon.components.flow.util to: org.apache.cocoon.components.flow; from: org.apache.cocoon.components.flow.util to: org.apache.cocoon.components.source; from: org.apache.cocoon.components.modules.input to: org.apache.cocoon.util; from: org.apache.cocoon.components.modules.input to: org.apache.cocoon.environment; from: org.apache.cocoon.components.modules.input to: org.apache.cocoon.components.flow; from: org.apache.cocoon.components.modules.input to: org.apache.cocoon.components; from: org.apache.cocoon.components.modules.input to: org.apache.cocoon.components.source; from: org.apache.cocoon.components.modules.input to: org.apache.cocoon.xml.dom; from: org.apache.cocoon.components.modules.output to: org.apache.cocoon.util; from: org.apache.cocoon.components.modules.output to: org.apache.cocoon.environment; from: org.apache.cocoon.components.notification to: org.apache.cocoon; from: org.apache.cocoon.components.persistence to: org.apache.cocoon.environment; from: org.apache.cocoon.components.persistence to: org.apache.cocoon.components; from: org.apache.cocoon.components.pipeline to: org.apache.cocoon.generation; from: org.apache.cocoon.components.pipeline to: org.apache.cocoon.serialization; from: org.apache.cocoon.components.pipeline to: org.apache.cocoon.reading; from: org.apache.cocoon.components.pipeline to: org.apache.cocoon.sitemap; from: org.apache.cocoon.components.pipeline to: org.apache.cocoon.xml; from: org.apache.cocoon.components.pipeline to: org.apache.cocoon.components; from: org.apache.cocoon.components.pipeline to: org.apache.cocoon; from: org.apache.cocoon.components.pipeline to: org.apache.cocoon.environment; from: org.apache.cocoon.components.pipeline to: org.apache.cocoon.transformation; from: org.apache.cocoon.components.pipeline.impl to: org.apache.cocoon.caching; from: org.apache.cocoon.components.pipeline.impl to: org.apache.cocoon.environment; from: org.apache.cocoon.components.pipeline.impl to: org.apache.cocoon.transformation; from: org.apache.cocoon.components.pipeline.impl to: org.apache.cocoon.util; from: org.apache.cocoon.components.pipeline.impl to: org.apache.cocoon.components.sax; from: org.apache.cocoon.components.pipeline.impl to: org.apache.cocoon.xml; from: org.apache.cocoon.components.pipeline.impl to: org.apache.cocoon; from: org.apache.cocoon.components.sax to: org.apache.cocoon.xml; from: org.apache.cocoon.components.source.impl to: org.apache.cocoon.environment; from: org.apache.cocoon.components.source.impl to: org.apache.cocoon; from: org.apache.cocoon.components.source.impl to: org.apache.cocoon.components.modules.input; from: org.apache.cocoon.components.source.impl to: org.apache.cocoon.components; from: org.apache.cocoon.components.source.impl to: org.apache.cocoon.servlet.multipart; from: org.apache.cocoon.components.source.impl to: org.apache.cocoon.environment.wrapper; from: org.apache.cocoon.components.source.impl to: org.apache.cocoon.components.pipeline; from: org.apache.cocoon.components.source.impl to: org.apache.cocoon.xml; from: org.apache.cocoon.components.source.impl to: org.apache.cocoon.components.source; from: org.apache.cocoon.components.source.impl to: org.apache.cocoon.xml.dom; from: org.apache.cocoon.components.source.impl to: org.apache.cocoon.serialization; from: org.apache.cocoon.components.source.impl to: org.apache.cocoon.util.jxpath; from: org.apache.cocoon.components.source.impl to: org.apache.cocoon.components.modules.output; from: org.apache.cocoon.components.source to: org.apache.cocoon.components; from: org.apache.cocoon.components.source to: org.apache.cocoon; from: org.apache.cocoon.components.source to: org.apache.cocoon.xml; from: org.apache.cocoon.components.source to: org.apache.cocoon.xml.dom; from: org.apache.cocoon.components.source to: org.apache.cocoon.util; from: org.apache.cocoon.components.source to: org.apache.cocoon.serialization; from: org.apache.cocoon.components.store.impl to: org.apache.cocoon.components.thread; from: org.apache.cocoon.components.store.impl to: org.apache.cocoon.util; from: org.apache.cocoon.components.store.impl to: org.apache.cocoon; from: org.apache.cocoon.components.treeprocessor to: org.apache.cocoon.environment; from: org.apache.cocoon.components.treeprocessor to: org.apache.cocoon.util; from: org.apache.cocoon.components.treeprocessor to: org.apache.cocoon.components.treeprocessor.variables; from: org.apache.cocoon.components.treeprocessor to: org.apache.cocoon.sitemap; from: org.apache.cocoon.components.treeprocessor to: org.apache.cocoon; from: org.apache.cocoon.components.treeprocessor to: org.apache.cocoon.components; from: org.apache.cocoon.components.treeprocessor to: org.apache.cocoon.environment.wrapper; from: org.apache.cocoon.components.treeprocessor to: org.apache.cocoon.components.source; from: org.apache.cocoon.components.treeprocessor to: org.apache.cocoon.components.pipeline; from: org.apache.cocoon.components.treeprocessor to: org.apache.cocoon.components.source.impl; from: org.apache.cocoon.components.treeprocessor.sitemap to: org.apache.cocoon.environment; from: org.apache.cocoon.components.treeprocessor.sitemap to: org.apache.cocoon.components.treeprocessor; from: org.apache.cocoon.components.treeprocessor.sitemap to: org.apache.cocoon.components.treeprocessor.variables; from: org.apache.cocoon.components.treeprocessor.sitemap to: org.apache.cocoon.acting; from: org.apache.cocoon.components.treeprocessor.sitemap to: org.apache.cocoon.components.pipeline; from: org.apache.cocoon.components.treeprocessor.sitemap to: org.apache.cocoon.sitemap; from: org.apache.cocoon.components.treeprocessor.sitemap to: org.apache.cocoon.components.flow; from: org.apache.cocoon.components.treeprocessor.sitemap to: org.apache.cocoon; from: org.apache.cocoon.components.treeprocessor.sitemap to: org.apache.cocoon.components; from: org.apache.cocoon.components.treeprocessor.sitemap to: org.apache.cocoon.generation; from: org.apache.cocoon.components.treeprocessor.sitemap to: org.apache.cocoon.transformation; from: org.apache.cocoon.components.treeprocessor.sitemap to: org.apache.cocoon.serialization; from: org.apache.cocoon.components.treeprocessor.sitemap to: org.apache.cocoon.reading; from: org.apache.cocoon.components.treeprocessor.sitemap to: org.apache.cocoon.matching; from: org.apache.cocoon.components.treeprocessor.sitemap to: org.apache.cocoon.selection; from: org.apache.cocoon.components.treeprocessor.sitemap to: org.apache.cocoon.components.notification; from: org.apache.cocoon.components.treeprocessor.sitemap to: org.apache.cocoon.util; from: org.apache.cocoon.components.treeprocessor.variables to: org.apache.cocoon.components.treeprocessor; from: org.apache.cocoon.components.treeprocessor.variables to: org.apache.cocoon.components.modules.input; from: org.apache.cocoon.components.treeprocessor.variables to: org.apache.cocoon.sitemap; from: org.apache.cocoon.components.xpointer to: org.apache.cocoon.components.source; from: org.apache.cocoon.components.xpointer to: org.apache.cocoon.xml.dom; from: org.apache.cocoon.components.xpointer to: org.apache.cocoon.xml; from: org.apache.cocoon.components.xpointer.parser to: org.apache.cocoon.components.xpointer; from: org.apache.cocoon.environment to: org.apache.cocoon.util; from: org.apache.cocoon.environment to: org.apache.cocoon.components.source; from: org.apache.cocoon.environment to: org.apache.cocoon; from: org.apache.cocoon.environment to: org.apache.cocoon.components; from: org.apache.cocoon.environment.commandline to: org.apache.cocoon.serialization; from: org.apache.cocoon.environment.commandline to: org.apache.cocoon.environment; from: org.apache.cocoon.environment.commandline to: org.apache.cocoon.components.source; from: org.apache.cocoon.environment.commandline to: org.apache.cocoon; from: org.apache.cocoon.environment.http to: org.apache.cocoon.environment; from: org.apache.cocoon.environment.http to: org.apache.cocoon.util; from: org.apache.cocoon.environment.wrapper to: org.apache.cocoon.environment; from: org.apache.cocoon.environment.wrapper to: org.apache.cocoon; from: org.apache.cocoon.environment.wrapper to: org.apache.cocoon.util; from: org.apache.cocoon.generation to: org.apache.cocoon.environment; from: org.apache.cocoon.generation to: org.apache.cocoon; from: org.apache.cocoon.generation to: org.apache.cocoon.components.source; from: org.apache.cocoon.generation to: org.apache.cocoon.util; from: org.apache.cocoon.generation to: org.apache.cocoon.components.flow; from: org.apache.cocoon.generation to: org.apache.cocoon.xml; from: org.apache.cocoon.generation to: org.apache.cocoon.components.flow.javascript.fom; from: org.apache.cocoon.generation to: org.apache.cocoon.xml.dom; from: org.apache.cocoon.generation to: org.apache.cocoon.environment.http; from: org.apache.cocoon.i18n to: org.apache.cocoon.environment; from: org.apache.cocoon.i18n to: org.apache.cocoon.xml; from: org.apache.cocoon.i18n to: org.apache.cocoon.components.source; from: org.apache.cocoon.i18n to: org.apache.cocoon; from: org.apache.cocoon.matching to: org.apache.cocoon.sitemap; from: org.apache.cocoon.matching to: org.apache.cocoon.matching.helpers; from: org.apache.cocoon.matching to: org.apache.cocoon.environment; from: org.apache.cocoon.matching to: org.apache.cocoon.i18n; from: org.apache.cocoon.matching to: org.apache.cocoon.components.source; from: org.apache.cocoon.matching.modular to: org.apache.cocoon.components.modules.input; from: org.apache.cocoon.reading to: org.apache.cocoon.environment; from: org.apache.cocoon.reading to: org.apache.cocoon; from: org.apache.cocoon.reading to: org.apache.cocoon.components.source; from: org.apache.cocoon.reading to: org.apache.cocoon.util; from: org.apache.cocoon.selection to: org.apache.cocoon.environment; from: org.apache.cocoon.selection to: org.apache.cocoon.util; from: org.apache.cocoon.serialization to: org.apache.cocoon.xml; from: org.apache.cocoon.serialization to: org.apache.cocoon.util; from: org.apache.cocoon.serialization to: org.apache.cocoon; from: org.apache.cocoon.servlet to: org.apache.cocoon; from: org.apache.cocoon.servlet to: org.apache.cocoon.servlet.multipart; from: org.apache.cocoon.servlet to: org.apache.cocoon.util; from: org.apache.cocoon.servlet to: org.apache.cocoon.environment.http; from: org.apache.cocoon.servlet to: org.apache.cocoon.util.log; from: org.apache.cocoon.servlet to: org.apache.cocoon.environment; from: org.apache.cocoon.servlet to: org.apache.cocoon.components.notification; from: org.apache.cocoon.sitemap to: org.apache.cocoon.xml; from: org.apache.cocoon.sitemap to: org.apache.cocoon.environment; from: org.apache.cocoon.sitemap to: org.apache.cocoon.components.source; from: org.apache.cocoon.sitemap to: org.apache.cocoon; from: org.apache.cocoon.sitemap to: org.apache.cocoon.components.notification; from: org.apache.cocoon.sitemap to: org.apache.cocoon.components.treeprocessor.sitemap; from: org.apache.cocoon.sitemap to: org.apache.cocoon.components.treeprocessor; from: org.apache.cocoon.transformation to: org.apache.cocoon.environment; from: org.apache.cocoon.transformation to: org.apache.cocoon.xml.dom; from: org.apache.cocoon.transformation to: org.apache.cocoon.xml; from: org.apache.cocoon.transformation to: org.apache.cocoon.transformation.helpers; from: org.apache.cocoon.transformation to: org.apache.cocoon.components.sax; from: org.apache.cocoon.transformation to: org.apache.cocoon.components.source; from: org.apache.cocoon.transformation to: org.apache.cocoon; from: org.apache.cocoon.transformation to: org.apache.cocoon.i18n; from: org.apache.cocoon.transformation to: org.apache.cocoon.components.treeprocessor.variables; from: org.apache.cocoon.transformation to: org.apache.cocoon.components.flow; from: org.apache.cocoon.transformation to: org.apache.cocoon.generation; from: org.apache.cocoon.transformation to: org.apache.cocoon.components.modules.output; from: org.apache.cocoon.transformation to: org.apache.cocoon.util; from: org.apache.cocoon.transformation to: org.apache.cocoon.components.modules.input; from: org.apache.cocoon.transformation to: org.apache.cocoon.acting; from: org.apache.cocoon.transformation to: org.apache.cocoon.serialization; from: org.apache.cocoon.transformation to: org.apache.cocoon.components.xpointer; from: org.apache.cocoon.transformation to: org.apache.cocoon.components.xpointer.parser; from: org.apache.cocoon.transformation.helpers to: org.apache.cocoon.components.sax; from: org.apache.cocoon.transformation.helpers to: org.apache.cocoon.components.thread; from: org.apache.cocoon.transformation.helpers to: org.apache.cocoon.caching; from: org.apache.cocoon.transformation.helpers to: org.apache.cocoon.xml; from: org.apache.cocoon.transformation.helpers to: org.apache.cocoon.components.source; from: org.apache.cocoon.transformation.helpers to: org.apache.cocoon.environment; from: org.apache.cocoon.transformation.helpers to: org.apache.cocoon.acting; from: org.apache.cocoon.transformation.helpers to: org.apache.cocoon; from: org.apache.cocoon.transformation.helpers to: org.apache.cocoon.util; from: org.apache.cocoon.transformation.pagination to: org.apache.cocoon.util; from: org.apache.cocoon.transformation.pagination to: org.apache.cocoon.environment; from: org.apache.cocoon.transformation.pagination to: org.apache.cocoon; from: org.apache.cocoon.transformation.pagination to: org.apache.cocoon.transformation; from: org.apache.cocoon.util to: org.apache.cocoon.environment; from: org.apache.cocoon.util.log to: org.apache.cocoon.environment; from: org.apache.cocoon.xml to: org.apache.cocoon.xml.dom; from: org.apache.cocoon.xml to: org.apache.cocoon; from: org.apache.cocoon.xml.dom to: org.apache.cocoon.xml; from: org.apache.cocoon.xml.dom to: org.apache.cocoon; from: org.apache.cocoon.xml.xlink to: org.apache.cocoon.xml.
java,org.apache.cocoon.bean,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.apache.cocoon.environment.commandline
java,org.apache.cocoon.bean.helpers,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.apache.cocoon.bean
java,org.apache.cocoon.bean.helpers,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AntDelegate; BeanConfigurator; OutputStreamListener]; [Crawler; CrawlingIterator]; [DelayedOutputStream]. LCC (Lack of Component Cohesion) = 0.5
java,org.apache.cocoon.caching,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Cache; CachedResponse]; [Cacheable]; [CacheableProcessingComponent]; [CacheValidity; CacheValidityToSourceValidity; SourceCacheValidity]; [CachingOutputStream]; [ComponentCacheKey; PipelineCacheKey]. LCC (Lack of Component Cohesion) = 0.6
java,org.apache.cocoon,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.apache.cocoon.components; org.apache.cocoon.components.source.impl; org.apache.cocoon.components.source; org.apache.cocoon.bean.helpers; org.apache.cocoon.bean
java,org.apache.cocoon,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [CascadingIOException]; [Cocoon; CocoonAccess; Constants; Main; Modifiable; Processor; RequestListener]; [CocoonTask; ElementWrapper]; [ConnectionResetException; ProcessingException; ResourceNotFoundException]. LCC (Lack of Component Cohesion) = 0.31
java,org.apache.cocoon.components,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ChainedConfiguration; DefaultSitemapConfigurationHolder; SitemapConfigurationHolder; CocoonComponentManager; EnvironmentDescription; ComponentContext; ComponentManagerWrapper; ComponentSelectorWrapper; ComponentLocatorImpl; ContextHelper; EnvironmentStack; EnvironmentChanger; GlobalRequestLifecycleComponent; ParentAware; ComponentLocator; ExtendedComponentSelector; SitemapConfigurable]; [CloningInheritableThreadLocal]; [LifecycleHelper]; [RequestLifecycleComponent]. LCC (Lack of Component Cohesion) = 0.2
java,org.apache.cocoon.components.flow,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.apache.cocoon.components.flow.util
