Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell
java,org.apache.cocoon.acting,AbstractComplementaryConfigurableAction,getConfiguration,Long Statement,The length of the statement "if (this.settings.containsKey("reloadable")) reloadable=Boolean.valueOf((String)this.settings.get("reloadable")).booleanValue();" is 128.
java,org.apache.cocoon.acting,AbstractComplementaryConfigurableAction,getConfiguration,Complex Conditional,The conditional expression conf == null || (reloadable && conf.lastModified != resource.getLastModified()) is complex.
java,org.apache.cocoon.acting,AbstractComplementaryConfigurableAction,getConfiguration,Long Statement,The length of the statement "throw new ConfigurationException("Error trying to load configurations for resource: " + (resource == null ? "null" : resource.getURI()));" is 137.
java,org.apache.cocoon.acting,AbstractMultiAction,act,Complex Method,Cyclomatic complexity of the method is 10
java,org.apache.cocoon.acting,AbstractMultiAction,act,Long Parameter List,The method has 5 parameters. 
java,org.apache.cocoon.acting,AbstractMultiAction,act,Long Statement,The length of the statement "getLogger().debug("you need to specify the method with parameter \"" + ACTION_METHOD_PARAMETER + "\" or have a request parameter starting with \""+ ACTION_METHOD_PREFIX+ "\"");" is 176.
java,org.apache.cocoon.acting,AbstractMultiAction,act,Magic Number,The method contains a magic number: 2
java,org.apache.cocoon.acting,AbstractValidatorAction,act,Complex Method,Cyclomatic complexity of the method is 10
java,org.apache.cocoon.acting,AbstractValidatorAction,act,Long Parameter List,The method has 5 parameters. 
java,org.apache.cocoon.acting,AbstractValidatorAction,act,Long Statement,The length of the statement "getLogger().info("Using sitemap parameter 'validate-set' for specifying " + "the constraint-set for the ValidatorActions is deprecated in " + "favor of 'constraint-set' due to consistency in the naming.");" is 205.
java,org.apache.cocoon.acting,AbstractValidatorAction,act,Long Statement,The length of the statement "throw new ProcessingException("Neither a constraint-set nor parameters in the sitemap " + "were specified for validating at " + SitemapParameters.getStatementLocation(parameters));" is 180.
java,org.apache.cocoon.acting,AbstractValidatorAction,validateParameter,Long Parameter List,The method has 5 parameters. 
java,org.apache.cocoon.acting,AbstractValidatorAction,validateParameter,Long Parameter List,The method has 6 parameters. 
java,org.apache.cocoon.acting,AbstractValidatorAction,validateValue,Complex Method,Cyclomatic complexity of the method is 11
java,org.apache.cocoon.acting,AbstractValidatorAction,validateValue,Long Parameter List,The method has 6 parameters. 
java,org.apache.cocoon.acting,AbstractValidatorAction,validateString,Complex Method,Cyclomatic complexity of the method is 35
java,org.apache.cocoon.acting,AbstractValidatorAction,validateString,Long Parameter List,The method has 5 parameters. 
java,org.apache.cocoon.acting,AbstractValidatorAction,validateString,Long Statement,The length of the statement "if (getLogger().isDebugEnabled()) getLogger().debug("String parameter " + name + " should be equal to "+ params.get(eqp));" is 122.
java,org.apache.cocoon.acting,AbstractValidatorAction,validateString,Long Statement,The length of the statement "if (getLogger().isDebugEnabled()) getLogger().debug("String parameter " + name + " should be at least "+ minlen+ " characters long");" is 133.
java,org.apache.cocoon.acting,AbstractValidatorAction,validateString,Long Statement,The length of the statement "if (getLogger().isDebugEnabled()) getLogger().debug("String parameter " + name + " should be at most "+ maxlen+ " characters long");" is 132.
java,org.apache.cocoon.acting,AbstractValidatorAction,validateString,Long Statement,The length of the statement "if (getLogger().isDebugEnabled()) getLogger().debug("String parameter " + name + " should match regexp \""+ regex+ "\"");" is 121.
java,org.apache.cocoon.acting,AbstractValidatorAction,validateString,Long Statement,The length of the statement "if (getLogger().isDebugEnabled()) getLogger().debug("String parameter " + name + "contains \"|\" - can't validate that.");" is 122.
java,org.apache.cocoon.acting,AbstractValidatorAction,validateLong,Complex Method,Cyclomatic complexity of the method is 23
java,org.apache.cocoon.acting,AbstractValidatorAction,validateLong,Long Parameter List,The method has 6 parameters. 
java,org.apache.cocoon.acting,AbstractValidatorAction,validateLong,Long Statement,The length of the statement "if (getLogger().isDebugEnabled()) getLogger().debug("Validating long parameter " + name + " (encoded in a string: "+ is_string+ ")");" is 133.
java,org.apache.cocoon.acting,AbstractValidatorAction,validateDouble,Complex Method,Cyclomatic complexity of the method is 23
java,org.apache.cocoon.acting,AbstractValidatorAction,validateDouble,Long Parameter List,The method has 6 parameters. 
