Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path
java,org.apache.cocoon.acting,AbstractAction,1,0,0,0,12,0,5,1,-1.0,0,0,c:\sources\cocoon\2.1.7\src\java\org\apache\cocoon\acting\AbstractAction.java
java,org.apache.cocoon.acting,AbstractComplementaryConfigurableAction,1,0,3,0,60,7,1,4,0.0,1,5,c:\sources\cocoon\2.1.7\src\java\org\apache\cocoon\acting\AbstractComplementaryConfigurableAction.java
java,org.apache.cocoon.acting,AbstractConfigurableAction,1,0,1,1,23,2,7,2,0.0,0,1,c:\sources\cocoon\2.1.7\src\java\org\apache\cocoon\acting\AbstractConfigurableAction.java
java,org.apache.cocoon.acting,AbstractMultiAction,3,0,3,2,76,15,0,4,0.0,1,5,c:\sources\cocoon\2.1.7\src\java\org\apache\cocoon\acting\AbstractMultiAction.java
java,org.apache.cocoon.acting,AbstractValidatorAction,0,0,23,3,610,145,2,5,-1.0,0,8,c:\sources\cocoon\2.1.7\src\java\org\apache\cocoon\acting\AbstractValidatorAction.java
java,org.apache.cocoon.acting,Action,1,0,1,0,17,1,1,0,-1.0,3,2,c:\sources\cocoon\2.1.7\src\java\org\apache\cocoon\acting\Action.java
java,org.apache.cocoon.acting,ClearCacheAction,0,0,1,1,25,2,0,3,-1.0,0,3,c:\sources\cocoon\2.1.7\src\java\org\apache\cocoon\acting\ClearCacheAction.java
java,org.apache.cocoon.acting,ClearPersistentStoreAction,0,0,1,1,27,2,0,3,-1.0,0,2,c:\sources\cocoon\2.1.7\src\java\org\apache\cocoon\acting\ClearPersistentStoreAction.java
java,org.apache.cocoon.acting,ComposerAction,1,0,1,1,18,1,0,2,0.0,0,0,c:\sources\cocoon\2.1.7\src\java\org\apache\cocoon\acting\ComposerAction.java
java,org.apache.cocoon.acting,ConfigurableComposerAction,1,0,1,1,19,1,0,3,0.0,0,0,c:\sources\cocoon\2.1.7\src\java\org\apache\cocoon\acting\ConfigurableComposerAction.java
java,org.apache.cocoon.acting,ConfigurableServiceableAction,1,0,1,1,15,1,3,3,0.0,0,0,c:\sources\cocoon\2.1.7\src\java\org\apache\cocoon\acting\ConfigurableServiceableAction.java
java,org.apache.cocoon.acting,ConfigurationHelper,2,2,0,0,7,0,0,0,-1.0,2,0,c:\sources\cocoon\2.1.7\src\java\org\apache\cocoon\acting\ConfigurationHelper.java
java,org.apache.cocoon.acting,CopySourceAction,1,0,2,2,50,9,0,3,0.0,0,3,c:\sources\cocoon\2.1.7\src\java\org\apache\cocoon\acting\CopySourceAction.java
java,org.apache.cocoon.acting,FormValidatorAction,0,0,2,0,43,6,0,6,-1.0,0,2,c:\sources\cocoon\2.1.7\src\java\org\apache\cocoon\acting\FormValidatorAction.java
java,org.apache.cocoon.acting,HelloAction,0,0,1,1,28,4,0,3,-1.0,0,5,c:\sources\cocoon\2.1.7\src\java\org\apache\cocoon\acting\HelloAction.java
java,org.apache.cocoon.acting,HttpCacheAction,5,0,2,2,49,3,0,3,0.0,0,4,c:\sources\cocoon\2.1.7\src\java\org\apache\cocoon\acting\HttpCacheAction.java
java,org.apache.cocoon.acting,HttpHeaderAction,1,0,2,2,31,5,0,3,0.0,0,4,c:\sources\cocoon\2.1.7\src\java\org\apache\cocoon\acting\HttpHeaderAction.java
java,org.apache.cocoon.acting,InputModuleAction,0,0,2,2,48,8,0,4,-1.0,0,3,c:\sources\cocoon\2.1.7\src\java\org\apache\cocoon\acting\InputModuleAction.java
java,org.apache.cocoon.acting,LocaleAction,16,6,3,3,125,9,0,3,0.6666666666666666,0,3,c:\sources\cocoon\2.1.7\src\java\org\apache\cocoon\acting\LocaleAction.java
java,org.apache.cocoon.acting,PropagatorAction,10,2,3,3,124,16,0,3,0.0,0,4,c:\sources\cocoon\2.1.7\src\java\org\apache\cocoon\acting\PropagatorAction.java
java,org.apache.cocoon.acting,Entry,2,2,1,1,11,1,0,0,0.0,2,0,c:\sources\cocoon\2.1.7\src\java\org\apache\cocoon\acting\PropagatorAction.java
java,org.apache.cocoon.acting,RequestParamAction,5,5,1,1,43,7,0,3,0.0,0,4,c:\sources\cocoon\2.1.7\src\java\org\apache\cocoon\acting\RequestParamAction.java
java,org.apache.cocoon.acting,RequestParameterExistsAction,3,0,4,2,190,45,0,3,0.0,0,5,c:\sources\cocoon\2.1.7\src\java\org\apache\cocoon\acting\RequestParameterExistsAction.java
java,org.apache.cocoon.acting,StringParts,3,0,1,1,9,1,0,0,0.0,1,0,c:\sources\cocoon\2.1.7\src\java\org\apache\cocoon\acting\RequestParameterExistsAction.java
java,org.apache.cocoon.acting,ResourceExistsAction,0,0,1,1,28,3,0,3,-1.0,0,3,c:\sources\cocoon\2.1.7\src\java\org\apache\cocoon\acting\ResourceExistsAction.java
java,org.apache.cocoon.acting,ServiceableAction,1,0,1,1,17,1,10,2,0.0,0,0,c:\sources\cocoon\2.1.7\src\java\org\apache\cocoon\acting\ServiceableAction.java
