Project Name,Package Name,Type Name,Method Name,LOC,CC,PC
java,org.apache.cocoon.acting,AbstractComplementaryConfigurableAction,getConfiguration,5,2,1
java,org.apache.cocoon.acting,AbstractComplementaryConfigurableAction,getConfiguration,3,1,2
java,org.apache.cocoon.acting,AbstractComplementaryConfigurableAction,getConfiguration,35,4,3
java,org.apache.cocoon.acting,AbstractConfigurableAction,configure,9,2,1
java,org.apache.cocoon.acting,AbstractMultiAction,removePrefix,4,1,1
java,org.apache.cocoon.acting,AbstractMultiAction,configure,20,4,1
java,org.apache.cocoon.acting,AbstractMultiAction,act,42,10,5
java,org.apache.cocoon.acting,AbstractValidatorAction,createMapOfParameters,0,1,2
java,org.apache.cocoon.acting,AbstractValidatorAction,isStringEncoded,0,1,0
java,org.apache.cocoon.acting,AbstractValidatorAction,act,39,10,5
java,org.apache.cocoon.acting,AbstractValidatorAction,validateParameter,3,1,5
java,org.apache.cocoon.acting,AbstractValidatorAction,validateParameter,13,3,6
java,org.apache.cocoon.acting,AbstractValidatorAction,validateValue,41,11,6
java,org.apache.cocoon.acting,AbstractValidatorAction,validateString,92,35,5
java,org.apache.cocoon.acting,AbstractValidatorAction,validateLong,65,23,6
java,org.apache.cocoon.acting,AbstractValidatorAction,validateDouble,65,23,6
java,org.apache.cocoon.acting,AbstractValidatorAction,getDoubleValue,12,3,2
java,org.apache.cocoon.acting,AbstractValidatorAction,getLongValue,12,3,2
java,org.apache.cocoon.acting,AbstractValidatorAction,getStringValue,7,2,1
java,org.apache.cocoon.acting,AbstractValidatorAction,getNullable,13,2,2
java,org.apache.cocoon.acting,AbstractValidatorAction,getDefault,13,3,2
java,org.apache.cocoon.acting,AbstractValidatorAction,getAttributeAsLong,8,1,3
java,org.apache.cocoon.acting,AbstractValidatorAction,getAttributeAsDouble,8,1,3
java,org.apache.cocoon.acting,AbstractValidatorAction,indexConfiguration,9,3,1
java,org.apache.cocoon.acting,AbstractValidatorAction,resolveConstraints,13,3,2
java,org.apache.cocoon.acting,AbstractValidatorAction,isDescriptorReloadable,7,2,0
java,org.apache.cocoon.acting,AbstractValidatorAction,getSetOfParameterNamesFromSitemap,16,4,2
java,org.apache.cocoon.acting,AbstractValidatorAction,validateSetOfParameters,19,4,6
java,org.apache.cocoon.acting,AbstractValidatorAction,setResult,13,4,4
java,org.apache.cocoon.acting,AbstractValidatorAction,getDescriptor,10,2,3
java,org.apache.cocoon.acting,Action,act,0,1,5
java,org.apache.cocoon.acting,ClearCacheAction,act,18,2,5
java,org.apache.cocoon.acting,ClearPersistentStoreAction,act,20,2,5
java,org.apache.cocoon.acting,ComposerAction,compose,3,1,1
java,org.apache.cocoon.acting,ConfigurableComposerAction,compose,3,1,1
java,org.apache.cocoon.acting,ConfigurableServiceableAction,service,3,1,1
java,org.apache.cocoon.acting,CopySourceAction,service,4,1,1
