Project Name,Package Name,Architecture Smell,Cause of the Smell
commons-collections-collections-3.3,org.apache.commons.collections,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 156
commons-collections-collections-3.3,org.apache.commons.collections,God Component,The tool detected the smell in this component because the component contains high number of LOC (Lines Of Code). The total LOC of the component: 28009
commons-collections-collections-3.3,org.apache.commons.collections,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.apache.commons.collections.bag; org.apache.commons.collections.set; org.apache.commons.collections.list; org.apache.commons.collections.buffer; org.apache.commons.collections.map; org.apache.commons.collections.bidimap
commons-collections-collections-3.3,<All packages>,Dense Structure, The tool detected the smell because all the analyzed components exhibit excessive and dense dependencies among themselves. Average degree = 9.17. All the dependencies among components: from: org.apache.commons.collections to: org.apache.commons.collections.bag; from: org.apache.commons.collections to: org.apache.commons.collections.set; from: org.apache.commons.collections to: org.apache.commons.collections.list; from: org.apache.commons.collections to: org.apache.commons.collections.buffer; from: org.apache.commons.collections to: org.apache.commons.collections.functors; from: org.apache.commons.collections to: org.apache.commons.collections.collection; from: org.apache.commons.collections to: org.apache.commons.collections.comparators; from: org.apache.commons.collections to: org.apache.commons.collections.iterators; from: org.apache.commons.collections to: org.apache.commons.collections.map; from: org.apache.commons.collections to: org.apache.commons.collections.bidimap; from: org.apache.commons.collections to: org.apache.commons.collections.keyvalue; from: org.apache.commons.collections.bag to: org.apache.commons.collections; from: org.apache.commons.collections.bag to: org.apache.commons.collections.set; from: org.apache.commons.collections.bag to: org.apache.commons.collections.functors; from: org.apache.commons.collections.bag to: org.apache.commons.collections.iterators; from: org.apache.commons.collections.bag to: org.apache.commons.collections.collection; from: org.apache.commons.collections.bidimap to: org.apache.commons.collections; from: org.apache.commons.collections.bidimap to: org.apache.commons.collections.iterators; from: org.apache.commons.collections.bidimap to: org.apache.commons.collections.map; from: org.apache.commons.collections.bidimap to: org.apache.commons.collections.set; from: org.apache.commons.collections.bidimap to: org.apache.commons.collections.collection; from: org.apache.commons.collections.bidimap to: org.apache.commons.collections.comparators; from: org.apache.commons.collections.buffer to: org.apache.commons.collections; from: org.apache.commons.collections.buffer to: org.apache.commons.collections.functors; from: org.apache.commons.collections.buffer to: org.apache.commons.collections.iterators; from: org.apache.commons.collections.buffer to: org.apache.commons.collections.collection; from: org.apache.commons.collections.collection to: org.apache.commons.collections.iterators; from: org.apache.commons.collections.collection to: org.apache.commons.collections.list; from: org.apache.commons.collections.collection to: org.apache.commons.collections; from: org.apache.commons.collections.collection to: org.apache.commons.collections.functors; from: org.apache.commons.collections.comparators to: org.apache.commons.collections; from: org.apache.commons.collections.functors to: org.apache.commons.collections; from: org.apache.commons.collections.iterators to: org.apache.commons.collections; from: org.apache.commons.collections.iterators to: org.apache.commons.collections.list; from: org.apache.commons.collections.iterators to: org.apache.commons.collections.functors; from: org.apache.commons.collections.iterators to: org.apache.commons.collections.map; from: org.apache.commons.collections.keyvalue to: org.apache.commons.collections; from: org.apache.commons.collections.list to: org.apache.commons.collections.iterators; from: org.apache.commons.collections.list to: org.apache.commons.collections; from: org.apache.commons.collections.list to: org.apache.commons.collections.set; from: org.apache.commons.collections.list to: org.apache.commons.collections.functors; from: org.apache.commons.collections.list to: org.apache.commons.collections.collection; from: org.apache.commons.collections.map to: org.apache.commons.collections; from: org.apache.commons.collections.map to: org.apache.commons.collections.iterators; from: org.apache.commons.collections.map to: org.apache.commons.collections.set; from: org.apache.commons.collections.map to: org.apache.commons.collections.collection; from: org.apache.commons.collections.map to: org.apache.commons.collections.functors; from: org.apache.commons.collections.map to: org.apache.commons.collections.list; from: org.apache.commons.collections.map to: org.apache.commons.collections.keyvalue; from: org.apache.commons.collections.set to: org.apache.commons.collections.collection; from: org.apache.commons.collections.set to: org.apache.commons.collections; from: org.apache.commons.collections.set to: org.apache.commons.collections.list; from: org.apache.commons.collections.set to: org.apache.commons.collections.functors; from: org.apache.commons.collections.set to: org.apache.commons.collections.iterators; from: org.apache.commons.collections.set to: org.apache.commons.collections.map.
commons-collections-collections-3.3,org.apache.commons.collections.bidimap,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 44
commons-collections-collections-3.3,org.apache.commons.collections.buffer,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 31
commons-collections-collections-3.3,org.apache.commons.collections.collection,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.apache.commons.collections.iterators; org.apache.commons.collections.list; org.apache.commons.collections
commons-collections-collections-3.3,org.apache.commons.collections.collection,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AbstractCollectionDecorator; AbstractSerializableCollectionDecorator; PredicatedCollection; TransformedCollection; TypedCollection; UnmodifiableBoundedCollection; UnmodifiableCollection; TestPredicatedCollection; TestTransformedCollection; TestUnmodifiableCollection; AbstractTestCollection; TestAll]; [CompositeCollection; CollectionMutator; TestCompositeCollection]; [SynchronizedCollection; TestSynchronizedCollection]; [StringToInteger]. LCC (Lack of Component Cohesion) = 0.22
commons-collections-collections-3.3,org.apache.commons.collections.comparators,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.apache.commons.collections
commons-collections-collections-3.3,org.apache.commons.collections.functors,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 50
