Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
commons-collections-collections-3.3,org.apache.commons.collections,BagUtils,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: EMPTY_BAG; EMPTY_SORTED_BAG
commons-collections-collections-3.3,org.apache.commons.collections,BeanMap,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: bean; readMethods; writeMethods; types; NULL_ARGUMENTS; defaultTransformers; owner
commons-collections-collections-3.3,org.apache.commons.collections,BeanMap,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: BeanMap; MyMapEntry
commons-collections-collections-3.3,org.apache.commons.collections,BeanMap,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 39 public methods
commons-collections-collections-3.3,org.apache.commons.collections,MyMapEntry,Feature Envy,The tool detected a instance of this smell because setValue is more interested in members of the type: BeanMap
commons-collections-collections-3.3,org.apache.commons.collections,BidiMap,Rebellious Hierarchy,The tool detected the smell in this class because method(s) of this class reject the methods provided by its supertypes. The method(s) that reject the suptertype's method are: mapIterator
commons-collections-collections-3.3,org.apache.commons.collections,BinaryHeap,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 23 public methods
commons-collections-collections-3.3,org.apache.commons.collections,BoundedMap,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
commons-collections-collections-3.3,org.apache.commons.collections,BufferUtils,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: EMPTY_BUFFER
commons-collections-collections-3.3,org.apache.commons.collections,CollectionUtils,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: INTEGER_ONE; EMPTY_COLLECTION
commons-collections-collections-3.3,org.apache.commons.collections,CollectionUtils,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 46 public methods
commons-collections-collections-3.3,org.apache.commons.collections,ComparatorUtils,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: NATURAL_COMPARATOR
commons-collections-collections-3.3,org.apache.commons.collections,CursorableLinkedList,Feature Envy,The tool detected a instance of this smell because contains is more interested in members of the type: Listable
commons-collections-collections-3.3,org.apache.commons.collections,CursorableLinkedList,Feature Envy,The tool detected a instance of this smell because equals is more interested in members of the type: Listable
commons-collections-collections-3.3,org.apache.commons.collections,CursorableLinkedList,Feature Envy,The tool detected a instance of this smell because hashCode is more interested in members of the type: Listable
commons-collections-collections-3.3,org.apache.commons.collections,CursorableLinkedList,Feature Envy,The tool detected a instance of this smell because indexOf is more interested in members of the type: Listable
commons-collections-collections-3.3,org.apache.commons.collections,CursorableLinkedList,Feature Envy,The tool detected a instance of this smell because toString is more interested in members of the type: Listable
commons-collections-collections-3.3,org.apache.commons.collections,CursorableLinkedList,Feature Envy,The tool detected a instance of this smell because listableInserted is more interested in members of the type: Listable
commons-collections-collections-3.3,org.apache.commons.collections,CursorableLinkedList,Cyclic Hierarchy,The tool detected the smell in this class because the class depends on one of its subclasses (creating cycle in the hierarchy). The class is dependent on the following subclass: CursorableSubList
commons-collections-collections-3.3,org.apache.commons.collections,CursorableLinkedList,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: CursorableSubList; CursorableLinkedList
commons-collections-collections-3.3,org.apache.commons.collections,CursorableLinkedList,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 47 public methods
commons-collections-collections-3.3,org.apache.commons.collections,CursorableSubList,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 31 public methods
commons-collections-collections-3.3,org.apache.commons.collections,DefaultMapBag,Cyclic Hierarchy,The tool detected the smell in this class because the class depends on one of its subclasses (creating cycle in the hierarchy). The class is dependent on the following subclass: HashBag
commons-collections-collections-3.3,org.apache.commons.collections,DefaultMapBag,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: DefaultMapBag; BagIterator
commons-collections-collections-3.3,org.apache.commons.collections,DefaultMapBag,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 27 public methods
commons-collections-collections-3.3,org.apache.commons.collections,DoubleOrderedMap,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: DoubleOrderedMapIterator; DoubleOrderedMap
commons-collections-collections-3.3,org.apache.commons.collections,DoubleOrderedMap,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 57 public methods
commons-collections-collections-3.3,org.apache.commons.collections,ExtendedProperties,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: PropertiesTokenizer; ExtendedProperties; PropertiesReader
commons-collections-collections-3.3,org.apache.commons.collections,ExtendedProperties,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 60 public methods
commons-collections-collections-3.3,org.apache.commons.collections,FastArrayList,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 80 public methods
commons-collections-collections-3.3,org.apache.commons.collections,SubList,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 36 public methods
commons-collections-collections-3.3,org.apache.commons.collections,ListIter,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
