Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell
commons-collections-collections-3.3,org.apache.commons.collections,ArrayStack,search,Complex Conditional,The conditional expression (object == null && current == null) || (object != null && object.equals(current)) is complex.
commons-collections-collections-3.3,org.apache.commons.collections,BeanMap,put,Long Statement,The length of the statement "throw new IllegalArgumentException("The bean of type: " + bean.getClass().getName() + " has no property called: "+ name);" is 121.
commons-collections-collections-3.3,org.apache.commons.collections,BinaryHeap,percolateDownMinHeap,Magic Number,The method contains a magic number: 2
commons-collections-collections-3.3,org.apache.commons.collections,BinaryHeap,percolateDownMinHeap,Magic Number,The method contains a magic number: 2
commons-collections-collections-3.3,org.apache.commons.collections,BinaryHeap,percolateDownMaxHeap,Magic Number,The method contains a magic number: 2
commons-collections-collections-3.3,org.apache.commons.collections,BinaryHeap,percolateDownMaxHeap,Magic Number,The method contains a magic number: 2
commons-collections-collections-3.3,org.apache.commons.collections,BinaryHeap,percolateUpMinHeap,Magic Number,The method contains a magic number: 2
commons-collections-collections-3.3,org.apache.commons.collections,BinaryHeap,percolateUpMinHeap,Magic Number,The method contains a magic number: 2
commons-collections-collections-3.3,org.apache.commons.collections,BinaryHeap,percolateUpMaxHeap,Magic Number,The method contains a magic number: 2
commons-collections-collections-3.3,org.apache.commons.collections,BinaryHeap,percolateUpMaxHeap,Magic Number,The method contains a magic number: 2
commons-collections-collections-3.3,org.apache.commons.collections,BinaryHeap,grow,Magic Number,The method contains a magic number: 2
commons-collections-collections-3.3,org.apache.commons.collections,BinaryHeap,iterator,Complex Method,Cyclomatic complexity of the method is 8
commons-collections-collections-3.3,org.apache.commons.collections,BinaryHeap,iterator,Magic Number,The method contains a magic number: 2
commons-collections-collections-3.3,org.apache.commons.collections,BinaryHeap,remove,Magic Number,The method contains a magic number: 2
commons-collections-collections-3.3,org.apache.commons.collections,BoundedFifoBuffer,BoundedFifoBuffer,Magic Number,The method contains a magic number: 32
commons-collections-collections-3.3,org.apache.commons.collections,CollectionUtils,disjunction,Long Statement,The length of the statement "for (int i=0` m=((Math.max(getFreq(obj`mapa)`getFreq(obj`mapb))) - (Math.min(getFreq(obj`mapa)`getFreq(obj`mapb)))); i < m; i++) {" is 130.
commons-collections-collections-3.3,org.apache.commons.collections,CollectionUtils,cardinality,Complex Method,Cyclomatic complexity of the method is 8
commons-collections-collections-3.3,org.apache.commons.collections,CollectionUtils,index,Complex Method,Cyclomatic complexity of the method is 13
commons-collections-collections-3.3,org.apache.commons.collections,CollectionUtils,get,Complex Method,Cyclomatic complexity of the method is 13
commons-collections-collections-3.3,org.apache.commons.collections,CollectionUtils,size,Complex Method,Cyclomatic complexity of the method is 9
commons-collections-collections-3.3,org.apache.commons.collections,CursorableLinkedList,contains,Complex Conditional,The conditional expression (null == o && null == elt.value()) || (o != null && o.equals(elt.value())) is complex.
commons-collections-collections-3.3,org.apache.commons.collections,CursorableLinkedList,hashCode,Magic Number,The method contains a magic number: 31
commons-collections-collections-3.3,org.apache.commons.collections,CursorableLinkedList,subList,Complex Conditional,The conditional expression i < 0 || j > _size || i > j is complex.
commons-collections-collections-3.3,org.apache.commons.collections,CursorableLinkedList,getListableAt,Magic Number,The method contains a magic number: 2
commons-collections-collections-3.3,org.apache.commons.collections,DefaultMapEntry,equals,Long Statement,The length of the statement "return (getKey() == null ? other.getKey() == null : getKey().equals(other.getKey())) && (getValue() == null ? other.getValue() == null : getValue().equals(other.getValue()));" is 174.
commons-collections-collections-3.3,org.apache.commons.collections,DoubleOrderedMap,isLeftChild,Long Statement,The length of the statement "return (node == null) ? true : ((node.getParent(index) == null) ? false : (node == node.getParent(index).getLeft(index)));" is 122.
commons-collections-collections-3.3,org.apache.commons.collections,DoubleOrderedMap,isRightChild,Long Statement,The length of the statement "return (node == null) ? true : ((node.getParent(index) == null) ? false : (node == node.getParent(index).getRight(index)));" is 123.
commons-collections-collections-3.3,org.apache.commons.collections,DoubleOrderedMap,doRedBlackInsert,Complex Method,Cyclomatic complexity of the method is 9
commons-collections-collections-3.3,org.apache.commons.collections,DoubleOrderedMap,doRedBlackDelete,Complex Method,Cyclomatic complexity of the method is 11
commons-collections-collections-3.3,org.apache.commons.collections,DoubleOrderedMap,doRedBlackDeleteFixup,Complex Method,Cyclomatic complexity of the method is 9
commons-collections-collections-3.3,org.apache.commons.collections,DoubleOrderedMap,swapPosition,Complex Method,Cyclomatic complexity of the method is 15
commons-collections-collections-3.3,org.apache.commons.collections,ExtendedProperties,interpolateHelper,Complex Method,Cyclomatic complexity of the method is 9
commons-collections-collections-3.3,org.apache.commons.collections,ExtendedProperties,interpolateHelper,Long Statement,The length of the statement "while (((begin=base.indexOf(START_TOKEN`prec + END_TOKEN.length())) > -1) && ((end=base.indexOf(END_TOKEN`begin)) > -1)) {" is 122.
commons-collections-collections-3.3,org.apache.commons.collections,ExtendedProperties,interpolateHelper,Long Statement,The length of the statement "throw new IllegalStateException("infinite loop in property interpolation of " + initialBase + ": "+ priorVariableSb.toString());" is 128.
commons-collections-collections-3.3,org.apache.commons.collections,ExtendedProperties,endsWithSlash,Magic Number,The method contains a magic number: 2
commons-collections-collections-3.3,org.apache.commons.collections,ExtendedProperties,ExtendedProperties,Empty catch clause,The method has an empty catch block.
commons-collections-collections-3.3,org.apache.commons.collections,ExtendedProperties,load,Complex Method,Cyclomatic complexity of the method is 10
commons-collections-collections-3.3,org.apache.commons.collections,ExtendedProperties,load,Empty catch clause,The method has an empty catch block.
commons-collections-collections-3.3,org.apache.commons.collections,ExtendedProperties,load,Magic Number,The method contains a magic number: 2
commons-collections-collections-3.3,org.apache.commons.collections,ExtendedProperties,addPropertyInternal,Magic Number,The method contains a magic number: 2
commons-collections-collections-3.3,org.apache.commons.collections,ExtendedProperties,save,Complex Method,Cyclomatic complexity of the method is 8
commons-collections-collections-3.3,org.apache.commons.collections,ExtendedProperties,testBoolean,Complex Conditional,The conditional expression s.equals("true") || s.equals("on") || s.equals("yes") is complex.
commons-collections-collections-3.3,org.apache.commons.collections,ExtendedProperties,testBoolean,Complex Conditional,The conditional expression s.equals("false") || s.equals("off") || s.equals("no") is complex.
commons-collections-collections-3.3,org.apache.commons.collections,FastArrayList,equals,Complex Method,Cyclomatic complexity of the method is 8
commons-collections-collections-3.3,org.apache.commons.collections,FastArrayList,hashCode,Magic Number,The method contains a magic number: 31
commons-collections-collections-3.3,org.apache.commons.collections,FastArrayList,hashCode,Magic Number,The method contains a magic number: 31
commons-collections-collections-3.3,org.apache.commons.collections,FastHashMap,equals,Complex Method,Cyclomatic complexity of the method is 14
commons-collections-collections-3.3,org.apache.commons.collections,FastTreeMap,equals,Complex Method,Cyclomatic complexity of the method is 14
commons-collections-collections-3.3,org.apache.commons.collections,IteratorUtils,toArray,Magic Number,The method contains a magic number: 100
commons-collections-collections-3.3,org.apache.commons.collections,IteratorUtils,toArray,Magic Number,The method contains a magic number: 100
commons-collections-collections-3.3,org.apache.commons.collections,IteratorUtils,toList,Magic Number,The method contains a magic number: 10
commons-collections-collections-3.3,org.apache.commons.collections,IteratorUtils,getIterator,Complex Method,Cyclomatic complexity of the method is 11
commons-collections-collections-3.3,org.apache.commons.collections,IteratorUtils,getIterator,Empty catch clause,The method has an empty catch block.
commons-collections-collections-3.3,org.apache.commons.collections,ListUtils,isEqualList,Complex Conditional,The conditional expression list1 == null || list2 == null || list1.size() != list2.size() is complex.
commons-collections-collections-3.3,org.apache.commons.collections,ListUtils,hashCodeForList,Magic Number,The method contains a magic number: 31
commons-collections-collections-3.3,org.apache.commons.collections,LRUMap,LRUMap,Magic Number,The method contains a magic number: 100
commons-collections-collections-3.3,org.apache.commons.collections,MapUtils,verbosePrintInternal,Complex Method,Cyclomatic complexity of the method is 9
commons-collections-collections-3.3,org.apache.commons.collections,MapUtils,verbosePrintInternal,Long Parameter List,The method has 5 parameters. 
commons-collections-collections-3.3,org.apache.commons.collections,MapUtils,putAll,Complex Method,Cyclomatic complexity of the method is 10
commons-collections-collections-3.3,org.apache.commons.collections,MapUtils,putAll,Magic Number,The method contains a magic number: 2
commons-collections-collections-3.3,org.apache.commons.collections,MultiHashMap,MultiHashMap,Magic Number,The method contains a magic number: 1.4f
commons-collections-collections-3.3,org.apache.commons.collections,MultiHashMap,readObject,Empty catch clause,The method has an empty catch block.
commons-collections-collections-3.3,org.apache.commons.collections,ReferenceMap,ReferenceMap,Magic Number,The method contains a magic number: 16
commons-collections-collections-3.3,org.apache.commons.collections,ReferenceMap,ReferenceMap,Magic Number,The method contains a magic number: 0.75f
commons-collections-collections-3.3,org.apache.commons.collections,ReferenceMap,ReferenceMap,Long Parameter List,The method has 5 parameters. 
commons-collections-collections-3.3,org.apache.commons.collections,ReferenceMap,ReferenceMap,Magic Number,The method contains a magic number: 2
commons-collections-collections-3.3,org.apache.commons.collections,ReferenceMap,toReference,Missing default,The following switch statement is missing a default case: switch (type) {
commons-collections-collections-3.3,org.apache.commons.collections,ReferenceMap,indexFor,Magic Number,The method contains a magic number: 15
commons-collections-collections-3.3,org.apache.commons.collections,ReferenceMap,indexFor,Magic Number,The method contains a magic number: 10
commons-collections-collections-3.3,org.apache.commons.collections,ReferenceMap,indexFor,Magic Number,The method contains a magic number: 3
commons-collections-collections-3.3,org.apache.commons.collections,ReferenceMap,indexFor,Magic Number,The method contains a magic number: 6
commons-collections-collections-3.3,org.apache.commons.collections,ReferenceMap,indexFor,Magic Number,The method contains a magic number: 11
commons-collections-collections-3.3,org.apache.commons.collections,ReferenceMap,indexFor,Magic Number,The method contains a magic number: 16
commons-collections-collections-3.3,org.apache.commons.collections,ReferenceMap,resize,Magic Number,The method contains a magic number: 2
commons-collections-collections-3.3,org.apache.commons.collections,SequencedHashMap,equals,Long Statement,The length of the statement "return ((getKey() == null ? other.getKey() == null : getKey().equals(other.getKey())) && (getValue() == null ? other.getValue() == null : getValue().equals(other.getValue())));" is 176.
commons-collections-collections-3.3,org.apache.commons.collections,SequencedHashMap,next,Missing default,The following switch statement is missing a default case: switch (returnType) {
commons-collections-collections-3.3,org.apache.commons.collections,Entry,equals,Long Statement,The length of the statement "return ((getKey() == null ? other.getKey() == null : getKey().equals(other.getKey())) && (getValue() == null ? other.getValue() == null : getValue().equals(other.getValue())));" is 176.
commons-collections-collections-3.3,org.apache.commons.collections,OrderedIterator,next,Missing default,The following switch statement is missing a default case: switch (returnType) {
commons-collections-collections-3.3,org.apache.commons.collections,SetUtils,isEqualSet,Complex Conditional,The conditional expression set1 == null || set2 == null || set1.size() != set2.size() is complex.
commons-collections-collections-3.3,org.apache.commons.collections,StaticBucketMap,StaticBucketMap,Magic Number,The method contains a magic number: 17
commons-collections-collections-3.3,org.apache.commons.collections,StaticBucketMap,StaticBucketMap,Magic Number,The method contains a magic number: 2
commons-collections-collections-3.3,org.apache.commons.collections,StaticBucketMap,getHash,Magic Number,The method contains a magic number: 15
commons-collections-collections-3.3,org.apache.commons.collections,StaticBucketMap,getHash,Magic Number,The method contains a magic number: 10
commons-collections-collections-3.3,org.apache.commons.collections,StaticBucketMap,getHash,Magic Number,The method contains a magic number: 3
commons-collections-collections-3.3,org.apache.commons.collections,StaticBucketMap,getHash,Magic Number,The method contains a magic number: 6
commons-collections-collections-3.3,org.apache.commons.collections,StaticBucketMap,getHash,Magic Number,The method contains a magic number: 11
commons-collections-collections-3.3,org.apache.commons.collections,StaticBucketMap,getHash,Magic Number,The method contains a magic number: 16
commons-collections-collections-3.3,org.apache.commons.collections,StaticBucketMap,put,Complex Conditional,The conditional expression n.key == key || (n.key != null && n.key.equals(key)) is complex.
commons-collections-collections-3.3,org.apache.commons.collections,StaticBucketMap,get,Complex Conditional,The conditional expression n.key == key || (n.key != null && n.key.equals(key)) is complex.
commons-collections-collections-3.3,org.apache.commons.collections,StaticBucketMap,containsKey,Complex Conditional,The conditional expression n.key == key || (n.key != null && n.key.equals(key)) is complex.
commons-collections-collections-3.3,org.apache.commons.collections,StaticBucketMap,containsValue,Complex Conditional,The conditional expression n.value == value || (n.value != null && n.value.equals(value)) is complex.
commons-collections-collections-3.3,org.apache.commons.collections,StaticBucketMap,remove,Complex Conditional,The conditional expression n.key == key || (n.key != null && n.key.equals(key)) is complex.
commons-collections-collections-3.3,org.apache.commons.collections,StaticBucketMap,equals,Long Statement,The length of the statement "return ((key == null ? e2.getKey() == null : key.equals(e2.getKey())) && (value == null ? e2.getValue() == null : value.equals(e2.getValue())));" is 144.
commons-collections-collections-3.3,org.apache.commons.collections,StaticBucketMap,remove,Complex Conditional,The conditional expression (k == o) || ((k != null) && k.equals(o)) is complex.
commons-collections-collections-3.3,org.apache.commons.collections,Node,equals,Long Statement,The length of the statement "return ((key == null ? e2.getKey() == null : key.equals(e2.getKey())) && (value == null ? e2.getValue() == null : value.equals(e2.getValue())));" is 144.
commons-collections-collections-3.3,org.apache.commons.collections,KeySet,remove,Complex Conditional,The conditional expression (k == o) || ((k != null) && k.equals(o)) is complex.
commons-collections-collections-3.3,org.apache.commons.collections,TreeBag,add,Long Statement,The length of the statement "throw new IllegalArgumentException("Objects of type " + o.getClass() + " cannot be added to "+ "a naturally ordered TreeBag as it does not implement Comparable");" is 162.
commons-collections-collections-3.3,org.apache.commons.collections,UnboundedFifoBuffer,UnboundedFifoBuffer,Magic Number,The method contains a magic number: 32
commons-collections-collections-3.3,org.apache.commons.collections,UnboundedFifoBuffer,add,Magic Number,The method contains a magic number: 2
