Project Name,Package Name,Type Name,Method Name,LOC,CC,PC
commons-collections-collections-3.3,org.apache.commons.collections,ArrayStack,ArrayStack,3,1,0
commons-collections-collections-3.3,org.apache.commons.collections,ArrayStack,ArrayStack,3,1,1
commons-collections-collections-3.3,org.apache.commons.collections,ArrayStack,empty,3,1,0
commons-collections-collections-3.3,org.apache.commons.collections,ArrayStack,peek,9,2,0
commons-collections-collections-3.3,org.apache.commons.collections,ArrayStack,peek,9,2,1
commons-collections-collections-3.3,org.apache.commons.collections,ArrayStack,pop,9,2,0
commons-collections-collections-3.3,org.apache.commons.collections,ArrayStack,push,4,1,1
commons-collections-collections-3.3,org.apache.commons.collections,ArrayStack,search,13,3,1
commons-collections-collections-3.3,org.apache.commons.collections,ArrayStack,get,7,2,0
commons-collections-collections-3.3,org.apache.commons.collections,ArrayStack,remove,7,2,0
commons-collections-collections-3.3,org.apache.commons.collections,Bag,getCount,0,1,1
commons-collections-collections-3.3,org.apache.commons.collections,Bag,add,0,1,1
commons-collections-collections-3.3,org.apache.commons.collections,Bag,add,0,1,2
commons-collections-collections-3.3,org.apache.commons.collections,Bag,remove,0,1,1
commons-collections-collections-3.3,org.apache.commons.collections,Bag,remove,0,1,2
commons-collections-collections-3.3,org.apache.commons.collections,Bag,uniqueSet,0,1,0
commons-collections-collections-3.3,org.apache.commons.collections,Bag,size,0,1,0
commons-collections-collections-3.3,org.apache.commons.collections,Bag,containsAll,0,1,1
commons-collections-collections-3.3,org.apache.commons.collections,Bag,removeAll,0,1,1
commons-collections-collections-3.3,org.apache.commons.collections,Bag,retainAll,0,1,1
commons-collections-collections-3.3,org.apache.commons.collections,Bag,iterator,0,1,0
commons-collections-collections-3.3,org.apache.commons.collections,BagUtils,BagUtils,2,1,0
commons-collections-collections-3.3,org.apache.commons.collections,BagUtils,synchronizedBag,3,1,1
commons-collections-collections-3.3,org.apache.commons.collections,BagUtils,unmodifiableBag,3,1,1
commons-collections-collections-3.3,org.apache.commons.collections,BagUtils,predicatedBag,3,1,2
commons-collections-collections-3.3,org.apache.commons.collections,BagUtils,typedBag,3,1,2
commons-collections-collections-3.3,org.apache.commons.collections,BagUtils,transformedBag,3,1,2
commons-collections-collections-3.3,org.apache.commons.collections,BagUtils,synchronizedSortedBag,3,1,1
commons-collections-collections-3.3,org.apache.commons.collections,BagUtils,unmodifiableSortedBag,3,1,1
commons-collections-collections-3.3,org.apache.commons.collections,BagUtils,predicatedSortedBag,3,1,2
commons-collections-collections-3.3,org.apache.commons.collections,BagUtils,typedSortedBag,3,1,2
commons-collections-collections-3.3,org.apache.commons.collections,BagUtils,transformedSortedBag,3,1,2
commons-collections-collections-3.3,org.apache.commons.collections,BeanMap,transform,3,1,1
commons-collections-collections-3.3,org.apache.commons.collections,BeanMap,transform,3,1,1
commons-collections-collections-3.3,org.apache.commons.collections,BeanMap,transform,3,1,1
commons-collections-collections-3.3,org.apache.commons.collections,BeanMap,transform,3,1,1
commons-collections-collections-3.3,org.apache.commons.collections,BeanMap,transform,3,1,1
commons-collections-collections-3.3,org.apache.commons.collections,BeanMap,transform,3,1,1
commons-collections-collections-3.3,org.apache.commons.collections,BeanMap,transform,3,1,1
commons-collections-collections-3.3,org.apache.commons.collections,BeanMap,transform,3,1,1
commons-collections-collections-3.3,org.apache.commons.collections,BeanMap,BeanMap,2,1,0
commons-collections-collections-3.3,org.apache.commons.collections,BeanMap,BeanMap,4,1,1
commons-collections-collections-3.3,org.apache.commons.collections,BeanMap,toString,3,1,0
commons-collections-collections-3.3,org.apache.commons.collections,BeanMap,clone,34,4,0
commons-collections-collections-3.3,org.apache.commons.collections,BeanMap,putAllWriteable,9,3,1
commons-collections-collections-3.3,org.apache.commons.collections,BeanMap,clear,11,2,0
commons-collections-collections-3.3,org.apache.commons.collections,BeanMap,containsKey,4,1,1
commons-collections-collections-3.3,org.apache.commons.collections,BeanMap,containsValue,3,1,1
commons-collections-collections-3.3,org.apache.commons.collections,BeanMap,get,23,3,1
commons-collections-collections-3.3,org.apache.commons.collections,BeanMap,put,25,3,2
commons-collections-collections-3.3,org.apache.commons.collections,BeanMap,size,3,1,0
commons-collections-collections-3.3,org.apache.commons.collections,BeanMap,keySet,3,1,0
commons-collections-collections-3.3,org.apache.commons.collections,BeanMap,entrySet,11,1,0
commons-collections-collections-3.3,org.apache.commons.collections,BeanMap,iterator,3,1,0
commons-collections-collections-3.3,org.apache.commons.collections,BeanMap,size,3,1,0
commons-collections-collections-3.3,org.apache.commons.collections,BeanMap,values,7,2,0
commons-collections-collections-3.3,org.apache.commons.collections,BeanMap,getType,3,1,1
commons-collections-collections-3.3,org.apache.commons.collections,BeanMap,keyIterator,3,1,0
commons-collections-collections-3.3,org.apache.commons.collections,BeanMap,valueIterator,16,1,0
commons-collections-collections-3.3,org.apache.commons.collections,BeanMap,hasNext,3,1,0
commons-collections-collections-3.3,org.apache.commons.collections,BeanMap,next,4,1,0
commons-collections-collections-3.3,org.apache.commons.collections,BeanMap,remove,3,1,0
commons-collections-collections-3.3,org.apache.commons.collections,BeanMap,entryIterator,17,1,0
commons-collections-collections-3.3,org.apache.commons.collections,BeanMap,hasNext,3,1,0
commons-collections-collections-3.3,org.apache.commons.collections,BeanMap,next,5,1,0
commons-collections-collections-3.3,org.apache.commons.collections,BeanMap,remove,3,1,0
commons-collections-collections-3.3,org.apache.commons.collections,BeanMap,getBean,3,1,0
commons-collections-collections-3.3,org.apache.commons.collections,BeanMap,setBean,4,1,1
commons-collections-collections-3.3,org.apache.commons.collections,BeanMap,getReadMethod,3,1,1
commons-collections-collections-3.3,org.apache.commons.collections,BeanMap,getWriteMethod,3,1,1
commons-collections-collections-3.3,org.apache.commons.collections,BeanMap,getReadMethod,3,1,1
commons-collections-collections-3.3,org.apache.commons.collections,BeanMap,getWriteMethod,3,1,1
commons-collections-collections-3.3,org.apache.commons.collections,BeanMap,reinitialise,6,1,0
commons-collections-collections-3.3,org.apache.commons.collections,BeanMap,initialise,29,7,0
commons-collections-collections-3.3,org.apache.commons.collections,BeanMap,firePropertyChange,2,1,3
commons-collections-collections-3.3,org.apache.commons.collections,BeanMap,MyMapEntry,4,1,3
commons-collections-collections-3.3,org.apache.commons.collections,BeanMap,setValue,8,1,1
commons-collections-collections-3.3,org.apache.commons.collections,BeanMap,createWriteMethodArguments,23,4,2
commons-collections-collections-3.3,org.apache.commons.collections,BeanMap,convertType,15,2,2
commons-collections-collections-3.3,org.apache.commons.collections,BeanMap,getTypeTransformer,3,1,1
commons-collections-collections-3.3,org.apache.commons.collections,BeanMap,logInfo,3,1,1
commons-collections-collections-3.3,org.apache.commons.collections,BeanMap,logWarn,4,1,1
commons-collections-collections-3.3,org.apache.commons.collections,MyMapEntry,MyMapEntry,4,1,3
commons-collections-collections-3.3,org.apache.commons.collections,MyMapEntry,setValue,8,1,1
commons-collections-collections-3.3,org.apache.commons.collections,BidiMap,mapIterator,0,1,0
commons-collections-collections-3.3,org.apache.commons.collections,BidiMap,put,0,1,2
commons-collections-collections-3.3,org.apache.commons.collections,BidiMap,getKey,0,1,1
