Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path
commons-collections-collections-3.3,org.apache.commons.collections,ArrayStack,1,0,10,10,130,17,0,1,0.6,8,1,c:\sources\commons-collections-collections-3.3\src\java\org\apache\commons\collections\ArrayStack.java
commons-collections-collections-3.3,org.apache.commons.collections,Bag,0,0,11,0,73,11,3,0,-1.0,19,0,c:\sources\commons-collections-collections-3.3\src\java\org\apache\commons\collections\Bag.java
commons-collections-collections-3.3,org.apache.commons.collections,BagUtils,2,2,11,11,118,11,0,0,1.0,1,14,c:\sources\commons-collections-collections-3.3\src\java\org\apache\commons\collections\BagUtils.java
commons-collections-collections-3.3,org.apache.commons.collections,BeanMap,7,2,50,39,528,71,0,0,0.3,3,5,c:\sources\commons-collections-collections-3.3\src\java\org\apache\commons\collections\BeanMap.java
commons-collections-collections-3.3,org.apache.commons.collections,MyMapEntry,1,0,2,1,29,2,0,0,0.0,1,1,c:\sources\commons-collections-collections-3.3\src\java\org\apache\commons\collections\BeanMap.java
commons-collections-collections-3.3,org.apache.commons.collections,BidiMap,0,0,5,0,46,5,1,1,-1.0,7,0,c:\sources\commons-collections-collections-3.3\src\java\org\apache\commons\collections\BidiMap.java
commons-collections-collections-3.3,org.apache.commons.collections,BinaryHeap,7,0,31,23,389,62,0,1,0.0967741935483871,1,1,c:\sources\commons-collections-collections-3.3\src\java\org\apache\commons\collections\BinaryHeap.java
commons-collections-collections-3.3,org.apache.commons.collections,BoundedCollection,0,0,2,0,21,2,1,0,-1.0,3,0,c:\sources\commons-collections-collections-3.3\src\java\org\apache\commons\collections\BoundedCollection.java
commons-collections-collections-3.3,org.apache.commons.collections,BoundedFifoBuffer,8,0,17,15,215,40,0,1,0.17647058823529413,3,2,c:\sources\commons-collections-collections-3.3\src\java\org\apache\commons\collections\BoundedFifoBuffer.java
commons-collections-collections-3.3,org.apache.commons.collections,BoundedMap,0,0,2,0,18,2,0,0,-1.0,0,0,c:\sources\commons-collections-collections-3.3\src\java\org\apache\commons\collections\BoundedMap.java
commons-collections-collections-3.3,org.apache.commons.collections,Buffer,0,0,2,0,23,2,4,0,-1.0,24,0,c:\sources\commons-collections-collections-3.3\src\java\org\apache\commons\collections\Buffer.java
commons-collections-collections-3.3,org.apache.commons.collections,BufferOverflowException,1,0,4,4,46,4,0,0,0.5,1,0,c:\sources\commons-collections-collections-3.3\src\java\org\apache\commons\collections\BufferOverflowException.java
commons-collections-collections-3.3,org.apache.commons.collections,BufferUnderflowException,1,0,4,4,46,4,0,0,0.5,4,0,c:\sources\commons-collections-collections-3.3\src\java\org\apache\commons\collections\BufferUnderflowException.java
commons-collections-collections-3.3,org.apache.commons.collections,BufferUtils,1,1,10,10,109,10,0,0,1.0,2,10,c:\sources\commons-collections-collections-3.3\src\java\org\apache\commons\collections\BufferUtils.java
commons-collections-collections-3.3,org.apache.commons.collections,Closure,0,0,1,1,18,1,1,0,-1.0,14,0,c:\sources\commons-collections-collections-3.3\src\java\org\apache\commons\collections\Closure.java
commons-collections-collections-3.3,org.apache.commons.collections,ClosureUtils,0,0,18,18,225,20,0,0,-1.0,4,14,c:\sources\commons-collections-collections-3.3\src\java\org\apache\commons\collections\ClosureUtils.java
commons-collections-collections-3.3,org.apache.commons.collections,CollectionUtils,2,1,48,46,872,150,0,0,0.7083333333333334,4,12,c:\sources\commons-collections-collections-3.3\src\java\org\apache\commons\collections\CollectionUtils.java
commons-collections-collections-3.3,org.apache.commons.collections,ComparatorUtils,1,1,12,12,150,20,0,0,0.3333333333333333,3,4,c:\sources\commons-collections-collections-3.3\src\java\org\apache\commons\collections\ComparatorUtils.java
commons-collections-collections-3.3,org.apache.commons.collections,CursorableLinkedList,13,0,73,47,893,164,1,0,0.0821917808219178,3,5,c:\sources\commons-collections-collections-3.3\src\java\org\apache\commons\collections\CursorableLinkedList.java
commons-collections-collections-3.3,org.apache.commons.collections,Listable,3,0,7,0,30,7,0,0,0.0,5,1,c:\sources\commons-collections-collections-3.3\src\java\org\apache\commons\collections\CursorableLinkedList.java
commons-collections-collections-3.3,org.apache.commons.collections,ListIter,4,0,11,9,106,19,1,0,0.0,2,1,c:\sources\commons-collections-collections-3.3\src\java\org\apache\commons\collections\CursorableLinkedList.java
commons-collections-collections-3.3,org.apache.commons.collections,Cursor,1,0,10,4,76,22,0,1,0.6,1,1,c:\sources\commons-collections-collections-3.3\src\java\org\apache\commons\collections\CursorableLinkedList.java
commons-collections-collections-3.3,org.apache.commons.collections,CursorableSubList,3,0,35,31,226,48,0,1,0.0,1,2,c:\sources\commons-collections-collections-3.3\src\java\org\apache\commons\collections\CursorableLinkedList.java
commons-collections-collections-3.3,org.apache.commons.collections,DefaultMapBag,7,0,33,27,350,56,2,1,0.12121212121212122,2,6,c:\sources\commons-collections-collections-3.3\src\java\org\apache\commons\collections\DefaultMapBag.java
commons-collections-collections-3.3,org.apache.commons.collections,BagIterator,4,0,4,4,30,6,0,0,0.0,1,1,c:\sources\commons-collections-collections-3.3\src\java\org\apache\commons\collections\DefaultMapBag.java
commons-collections-collections-3.3,org.apache.commons.collections,DefaultMapEntry,2,0,10,10,106,12,0,1,0.2,2,0,c:\sources\commons-collections-collections-3.3\src\java\org\apache\commons\collections\DefaultMapEntry.java
