Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,AbstractConfiguration,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: EVENT_ADD_PROPERTY; EVENT_CLEAR_PROPERTY; EVENT_SET_PROPERTY; EVENT_CLEAR; START_TOKEN; END_TOKEN; defaultListDelimiter; listDelimiter; delimiterParsingDisabled; throwExceptionOnMissing
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,AbstractConfiguration,Cyclic Hierarchy,The tool detected the smell in this class because the class depends on one of its subclasses (creating cycle in the hierarchy). The class is dependent on the following subclass: SubsetConfiguration
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,AbstractConfiguration,Rebellious Hierarchy,The tool detected the smell in this class because method(s) of this class reject the methods provided by its supertypes. The method(s) that reject the suptertype's method are: isEmpty
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,AbstractConfiguration,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: AbstractConfiguration; PropertyConverter
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,AbstractConfiguration,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 52 public methods
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,AbstractFileConfiguration,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: EVENT_RELOAD; fileName; basePath; autoSave; strategy; reloadLock; encoding; sourceURL; noReload
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,AbstractFileConfiguration,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 41 public methods
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,AbstractHierarchicalFileConfiguration,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: AbstractHierarchicalFileConfiguration; FileConfigurationDelegate
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,AbstractHierarchicalFileConfiguration,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 41 public methods
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,CombinedConfiguration,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: EVENT_COMBINED_INVALIDATE; serialVersionUID; AT_ENGINE; DEFAULT_COMBINER; nodeCombiner; combinedRoot; configurations; namedConfigurations; configuration; name; atPath; at
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,CombinedConfiguration,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 24 public methods
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,Configuration,Insufficient Modularization,The tool detected the smell in this class because the class contains large number of methods. Total methods in the class: 41 methods
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,ConfigurationFactory,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 29 public methods
