Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,AbstractConfiguration,getList,Long Statement,The length of the statement "throw new ConversionException('\'' + key + "' doesn't map to a List object: "+ value+ "` a "+ value.getClass().getName());" is 122.
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,AbstractConfiguration,resolveContainerStore,Complex Method,Cyclomatic complexity of the method is 11
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,AbstractFileConfiguration,getPath,Empty catch clause,The method has an empty catch block.
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,CombinedConfiguration,addConfiguration,Long Statement,The length of the statement "throw new ConfigurationRuntimeException("A configuration with the name '" + name + "' already exists in this combined configuration!");" is 135.
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,CombinedConfiguration,clone,Long Statement,The length of the statement "copy.addConfiguration((AbstractConfiguration)ConfigurationUtils.cloneConfiguration(cd.getConfiguration())`cd.getName()`cd.getAt());" is 131.
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,ConfigurationFactory,initDigesterSectionRules,Long Statement,The length of the statement "setupDigesterInstance(digester`matchString + "xml"`new FileConfigurationFactory(XMLConfiguration.class)`null`additional);" is 121.
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,ConfigurationFactory,initDigesterSectionRules,Long Statement,The length of the statement "setupDigesterInstance(digester`matchString + "hierarchicalXml"`new FileConfigurationFactory(XMLConfiguration.class)`null`additional);" is 133.
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,ConfigurationFactory,setupDigesterInstance,Long Parameter List,The method has 5 parameters. 
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,ConfigurationFactory,createObject,Long Statement,The length of the statement "if (attributes.getValue(ATTR_OPTIONAL) != null && PropertyConverter.toBoolean(attributes.getValue(ATTR_OPTIONAL)).booleanValue()) {" is 131.
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,FileConfigurationFactory,createObject,Long Statement,The length of the statement "if (attributes.getValue(ATTR_OPTIONAL) != null && PropertyConverter.toBoolean(attributes.getValue(ATTR_OPTIONAL)).booleanValue()) {" is 131.
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,ConfigurationKey,append,Complex Conditional,The conditional expression keyBuffer.length() > 0 && !hasDelimiter() && !isAttributeKey(property) is complex.
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,ConfigurationKey,hasDelimiter,Magic Number,The method contains a magic number: 2
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,ConfigurationKey,partsEqual,Long Statement,The length of the statement "return it1.nextKey().equals(it2.nextKey()) && it1.getIndex() == it2.getIndex() && it1.isAttribute() == it2.isAttribute();" is 121.
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,ConfigurationUtils,constructFile,Complex Conditional,The conditional expression StringUtils.isEmpty(basePath) || (absolute != null && absolute.isAbsolute()) is complex.
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,ConfigurationUtils,constructFile,Magic Number,The method contains a magic number: 2
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,ConfigurationUtils,locate,Complex Method,Cyclomatic complexity of the method is 13
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,DatabaseConfiguration,DatabaseConfiguration,Long Parameter List,The method has 6 parameters. 
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,DatabaseConfiguration,getProperty,Magic Number,The method contains a magic number: 2
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,DatabaseConfiguration,containsKey,Magic Number,The method contains a magic number: 2
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,DatabaseConfiguration,clearProperty,Magic Number,The method contains a magic number: 2
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,DataConfiguration,getBooleanList,Complex Conditional,The conditional expression value == null || (value instanceof String && StringUtils.isEmpty((String)value)) is complex.
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,DataConfiguration,getBooleanArray,Complex Conditional,The conditional expression value == null || (value instanceof String && StringUtils.isEmpty((String)value)) is complex.
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,DataConfiguration,getByteList,Complex Conditional,The conditional expression value == null || (value instanceof String && StringUtils.isEmpty((String)value)) is complex.
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,DataConfiguration,getByteArray,Complex Conditional,The conditional expression value == null || (value instanceof String && StringUtils.isEmpty((String)value)) is complex.
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,DataConfiguration,getShortList,Complex Conditional,The conditional expression value == null || (value instanceof String && StringUtils.isEmpty((String)value)) is complex.
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,DataConfiguration,getShortArray,Complex Conditional,The conditional expression value == null || (value instanceof String && StringUtils.isEmpty((String)value)) is complex.
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,DataConfiguration,getIntegerList,Complex Conditional,The conditional expression value == null || (value instanceof String && StringUtils.isEmpty((String)value)) is complex.
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,DataConfiguration,getIntArray,Complex Conditional,The conditional expression value == null || (value instanceof String && StringUtils.isEmpty((String)value)) is complex.
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,DataConfiguration,getLongList,Complex Conditional,The conditional expression value == null || (value instanceof String && StringUtils.isEmpty((String)value)) is complex.
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,DataConfiguration,getLongArray,Complex Conditional,The conditional expression value == null || (value instanceof String && StringUtils.isEmpty((String)value)) is complex.
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,DataConfiguration,getFloatList,Complex Conditional,The conditional expression value == null || (value instanceof String && StringUtils.isEmpty((String)value)) is complex.
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,DataConfiguration,getFloatArray,Complex Conditional,The conditional expression value == null || (value instanceof String && StringUtils.isEmpty((String)value)) is complex.
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,DataConfiguration,getDoubleList,Complex Conditional,The conditional expression value == null || (value instanceof String && StringUtils.isEmpty((String)value)) is complex.
