Project Name,Package Name,Type Name,Method Name,LOC,CC,PC
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,AbstractConfiguration,setDefaultListDelimiter,3,1,1
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,AbstractConfiguration,setDelimiter,3,1,1
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,AbstractConfiguration,getDefaultListDelimiter,3,1,0
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,AbstractConfiguration,getDelimiter,3,1,0
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,AbstractConfiguration,setListDelimiter,3,1,1
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,AbstractConfiguration,getListDelimiter,3,1,0
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,AbstractConfiguration,isDelimiterParsingDisabled,3,1,0
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,AbstractConfiguration,setDelimiterParsingDisabled,3,1,1
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,AbstractConfiguration,setThrowExceptionOnMissing,3,1,1
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,AbstractConfiguration,isThrowExceptionOnMissing,3,1,0
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,AbstractConfiguration,addProperty,13,3,2
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,AbstractConfiguration,addPropertyDirect,0,1,2
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,AbstractConfiguration,interpolate,4,1,1
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,AbstractConfiguration,interpolate,3,1,1
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,AbstractConfiguration,interpolateHelper,3,1,2
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,AbstractConfiguration,subset,3,1,1
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,AbstractConfiguration,isEmpty,0,1,0
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,AbstractConfiguration,containsKey,0,1,1
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,AbstractConfiguration,setProperty,12,1,2
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,AbstractConfiguration,clearProperty,5,1,1
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,AbstractConfiguration,clearPropertyDirect,2,1,1
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,AbstractConfiguration,clear,18,3,0
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,AbstractConfiguration,getKeys,0,1,0
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,AbstractConfiguration,getKeys,9,1,1
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,AbstractConfiguration,evaluate,4,1,1
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,AbstractConfiguration,getProperties,3,1,1
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,AbstractConfiguration,getProperties,20,4,2
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,AbstractConfiguration,getBoolean,9,2,1
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,AbstractConfiguration,getBoolean,3,1,2
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,AbstractConfiguration,getBoolean,14,2,2
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,AbstractConfiguration,getByte,9,2,1
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,AbstractConfiguration,getByte,3,1,2
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,AbstractConfiguration,getByte,14,2,2
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,AbstractConfiguration,getDouble,9,2,1
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,AbstractConfiguration,getDouble,3,1,2
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,AbstractConfiguration,getDouble,14,2,2
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,AbstractConfiguration,getFloat,9,2,1
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,AbstractConfiguration,getFloat,3,1,2
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,AbstractConfiguration,getFloat,14,2,2
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,AbstractConfiguration,getInt,9,2,1
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,AbstractConfiguration,getInt,7,2,2
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,AbstractConfiguration,getInteger,14,2,2
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,AbstractConfiguration,getLong,9,2,1
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,AbstractConfiguration,getLong,3,1,2
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,AbstractConfiguration,getLong,14,2,2
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,AbstractConfiguration,getShort,9,2,1
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,AbstractConfiguration,getShort,3,1,2
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,AbstractConfiguration,getShort,14,2,2
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,AbstractConfiguration,getBigDecimal,12,3,1
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,AbstractConfiguration,getBigDecimal,14,2,2
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,AbstractConfiguration,getBigInteger,12,3,1
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,AbstractConfiguration,getBigInteger,14,2,2
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,AbstractConfiguration,getString,12,3,1
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,AbstractConfiguration,getString,12,3,2
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,AbstractConfiguration,getStringArray,22,5,1
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,AbstractConfiguration,getList,3,1,1
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,AbstractConfiguration,getList,23,5,2
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,AbstractConfiguration,resolveContainerStore,42,11,1
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,AbstractFileConfiguration,AbstractFileConfiguration,3,1,0
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,AbstractFileConfiguration,AbstractFileConfiguration,5,1,1
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,AbstractFileConfiguration,AbstractFileConfiguration,7,2,1
