Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,AbstractConfiguration,10,4,58,52,739,108,9,1,0.3448275862068966,13,4,E:\SamirDataSet\commons-configuration-CONFIGURATION_1_3\commons-configuration-CONFIGURATION_1_3\src\java\org\apache\commons\configuration\AbstractConfiguration.java
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,AbstractFileConfiguration,9,1,47,41,575,75,2,3,0.0851063829787234,4,5,E:\SamirDataSet\commons-configuration-CONFIGURATION_1_3\commons-configuration-CONFIGURATION_1_3\src\java\org\apache\commons\configuration\AbstractFileConfiguration.java
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,AbstractHierarchicalFileConfiguration,1,0,47,41,223,48,1,3,0.06382978723404255,2,4,E:\SamirDataSet\commons-configuration-CONFIGURATION_1_3\commons-configuration-CONFIGURATION_1_3\src\java\org\apache\commons\configuration\AbstractHierarchicalFileConfiguration.java
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,FileConfigurationDelegate,0,0,3,3,14,3,1,4,-1.0,1,1,E:\SamirDataSet\commons-configuration-CONFIGURATION_1_3\commons-configuration-CONFIGURATION_1_3\src\java\org\apache\commons\configuration\AbstractHierarchicalFileConfiguration.java
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,BaseConfiguration,1,0,8,6,106,11,1,2,0.0,15,3,E:\SamirDataSet\commons-configuration-CONFIGURATION_1_3\commons-configuration-CONFIGURATION_1_3\src\java\org\apache\commons\configuration\BaseConfiguration.java
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,BaseConfigurationXMLReader,1,0,8,5,77,9,0,1,0.5,1,2,E:\SamirDataSet\commons-configuration-CONFIGURATION_1_3\commons-configuration-CONFIGURATION_1_3\src\java\org\apache\commons\configuration\BaseConfigurationXMLReader.java
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,SAXConverter,0,0,2,0,23,3,0,1,-1.0,1,0,E:\SamirDataSet\commons-configuration-CONFIGURATION_1_3\commons-configuration-CONFIGURATION_1_3\src\java\org\apache\commons\configuration\BaseConfigurationXMLReader.java
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,CombinedConfiguration,12,1,26,24,339,42,0,3,0.07692307692307693,6,13,E:\SamirDataSet\commons-configuration-CONFIGURATION_1_3\commons-configuration-CONFIGURATION_1_3\src\java\org\apache\commons\configuration\CombinedConfiguration.java
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,ConfigData,4,0,6,5,90,10,0,0,0.0,1,5,E:\SamirDataSet\commons-configuration-CONFIGURATION_1_3\commons-configuration-CONFIGURATION_1_3\src\java\org\apache\commons\configuration\CombinedConfiguration.java
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,CompositeConfiguration,2,0,20,19,254,45,0,2,0.1,10,5,E:\SamirDataSet\commons-configuration-CONFIGURATION_1_3\commons-configuration-CONFIGURATION_1_3\src\java\org\apache\commons\configuration\CompositeConfiguration.java
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,Configuration,0,0,41,0,296,41,2,0,-1.0,46,0,E:\SamirDataSet\commons-configuration-CONFIGURATION_1_3\commons-configuration-CONFIGURATION_1_3\src\java\org\apache\commons\configuration\Configuration.java
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,ConfigurationBuilder,0,0,1,0,13,1,1,0,-1.0,1,0,E:\SamirDataSet\commons-configuration-CONFIGURATION_1_3\commons-configuration-CONFIGURATION_1_3\src\java\org\apache\commons\configuration\ConfigurationBuilder.java
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,ConfigurationComparator,0,0,1,0,15,1,1,0,-1.0,3,1,E:\SamirDataSet\commons-configuration-CONFIGURATION_1_3\commons-configuration-CONFIGURATION_1_3\src\java\org\apache\commons\configuration\ConfigurationComparator.java
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,ConfigurationConverter,0,0,6,5,70,9,0,0,-1.0,3,3,E:\SamirDataSet\commons-configuration-CONFIGURATION_1_3\commons-configuration-CONFIGURATION_1_3\src\java\org\apache\commons\configuration\ConfigurationConverter.java
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,ConfigurationException,1,0,4,4,39,4,0,0,1.0,7,0,E:\SamirDataSet\commons-configuration-CONFIGURATION_1_3\commons-configuration-CONFIGURATION_1_3\src\java\org\apache\commons\configuration\ConfigurationException.java
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,ConfigurationFactory,18,0,40,29,534,52,0,0,0.275,7,16,E:\SamirDataSet\commons-configuration-CONFIGURATION_1_3\commons-configuration-CONFIGURATION_1_3\src\java\org\apache\commons\configuration\ConfigurationFactory.java
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,DigesterConfigurationFactory,1,0,2,2,25,2,3,0,0.0,0,0,E:\SamirDataSet\commons-configuration-CONFIGURATION_1_3\commons-configuration-CONFIGURATION_1_3\src\java\org\apache\commons\configuration\ConfigurationFactory.java
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,FileConfigurationFactory,0,0,3,2,45,4,2,1,-1.0,1,2,E:\SamirDataSet\commons-configuration-CONFIGURATION_1_3\commons-configuration-CONFIGURATION_1_3\src\java\org\apache\commons\configuration\ConfigurationFactory.java
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,PropertiesConfigurationFactory,0,0,2,1,27,3,0,2,-1.0,1,2,E:\SamirDataSet\commons-configuration-CONFIGURATION_1_3\commons-configuration-CONFIGURATION_1_3\src\java\org\apache\commons\configuration\ConfigurationFactory.java
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,PropertyListConfigurationFactory,0,0,2,1,27,3,0,2,-1.0,1,0,E:\SamirDataSet\commons-configuration-CONFIGURATION_1_3\commons-configuration-CONFIGURATION_1_3\src\java\org\apache\commons\configuration\ConfigurationFactory.java
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,JNDIConfigurationFactory,0,0,1,1,11,1,0,1,-1.0,1,0,E:\SamirDataSet\commons-configuration-CONFIGURATION_1_3\commons-configuration-CONFIGURATION_1_3\src\java\org\apache\commons\configuration\ConfigurationFactory.java
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,SystemConfigurationFactory,0,0,1,1,11,1,0,1,-1.0,1,0,E:\SamirDataSet\commons-configuration-CONFIGURATION_1_3\commons-configuration-CONFIGURATION_1_3\src\java\org\apache\commons\configuration\ConfigurationFactory.java
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,AdditionalConfigurationData,2,0,4,4,41,4,0,0,0.5,2,1,E:\SamirDataSet\commons-configuration-CONFIGURATION_1_3\commons-configuration-CONFIGURATION_1_3\src\java\org\apache\commons\configuration\ConfigurationFactory.java
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,ConfigurationBuilder,2,0,6,4,76,10,0,0,0.5,0,5,E:\SamirDataSet\commons-configuration-CONFIGURATION_1_3\commons-configuration-CONFIGURATION_1_3\src\java\org\apache\commons\configuration\ConfigurationFactory.java
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,ConfigurationKey,15,2,36,28,450,58,0,0,0.16666666666666666,13,2,E:\SamirDataSet\commons-configuration-CONFIGURATION_1_3\commons-configuration-CONFIGURATION_1_3\src\java\org\apache\commons\configuration\ConfigurationKey.java
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,KeyIterator,6,0,15,11,201,26,0,0,0.2,1,1,E:\SamirDataSet\commons-configuration-CONFIGURATION_1_3\commons-configuration-CONFIGURATION_1_3\src\java\org\apache\commons\configuration\ConfigurationKey.java
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,ConfigurationMap,4,0,16,13,121,17,0,0,0.125,3,4,E:\SamirDataSet\commons-configuration-CONFIGURATION_1_3\commons-configuration-CONFIGURATION_1_3\src\java\org\apache\commons\configuration\ConfigurationMap.java
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,ConfigurationSet,3,0,11,8,73,12,0,0,0.18181818181818182,1,3,E:\SamirDataSet\commons-configuration-CONFIGURATION_1_3\commons-configuration-CONFIGURATION_1_3\src\java\org\apache\commons\configuration\ConfigurationMap.java
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,Entry,1,0,4,3,23,4,0,0,0.0,3,0,E:\SamirDataSet\commons-configuration-CONFIGURATION_1_3\commons-configuration-CONFIGURATION_1_3\src\java\org\apache\commons\configuration\ConfigurationMap.java
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,ConfigurationSetIterator,1,0,4,3,21,4,0,0,0.0,2,1,E:\SamirDataSet\commons-configuration-CONFIGURATION_1_3\commons-configuration-CONFIGURATION_1_3\src\java\org\apache\commons\configuration\ConfigurationMap.java
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,ConfigurationRuntimeException,1,0,4,4,40,4,1,0,1.0,12,0,E:\SamirDataSet\commons-configuration-CONFIGURATION_1_3\commons-configuration-CONFIGURATION_1_3\src\java\org\apache\commons\configuration\ConfigurationRuntimeException.java
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,ConfigurationUtils,4,0,18,12,394,54,0,0,0.5555555555555556,12,4,E:\SamirDataSet\commons-configuration-CONFIGURATION_1_3\commons-configuration-CONFIGURATION_1_3\src\java\org\apache\commons\configuration\ConfigurationUtils.java
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,ConfigurationXMLReader,6,0,24,18,235,30,2,0,0.5,0,0,E:\SamirDataSet\commons-configuration-CONFIGURATION_1_3\commons-configuration-CONFIGURATION_1_3\src\java\org\apache\commons\configuration\ConfigurationXMLReader.java
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,ConversionException,1,0,4,4,40,4,0,1,1.0,3,0,E:\SamirDataSet\commons-configuration-CONFIGURATION_1_3\commons-configuration-CONFIGURATION_1_3\src\java\org\apache\commons\configuration\ConversionException.java
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,DatabaseConfiguration,7,0,10,8,292,31,0,2,0.0,1,0,E:\SamirDataSet\commons-configuration-CONFIGURATION_1_3\commons-configuration-CONFIGURATION_1_3\src\java\org\apache\commons\configuration\DatabaseConfiguration.java
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,DataConfiguration,4,2,87,85,1524,201,0,2,0.09195402298850575,1,3,E:\SamirDataSet\commons-configuration-CONFIGURATION_1_3\commons-configuration-CONFIGURATION_1_3\src\java\org\apache\commons\configuration\DataConfiguration.java
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,DefaultConfigurationBuilder,37,1,39,30,583,54,0,5,0.5641025641025641,5,15,E:\SamirDataSet\commons-configuration-CONFIGURATION_1_3\commons-configuration-CONFIGURATION_1_3\src\java\org\apache\commons\configuration\DefaultConfigurationBuilder.java
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,ConfigurationProvider,1,0,5,5,45,5,2,0,0.4,2,1,E:\SamirDataSet\commons-configuration-CONFIGURATION_1_3\commons-configuration-CONFIGURATION_1_3\src\java\org\apache\commons\configuration\DefaultConfigurationBuilder.java
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,ConfigurationDeclaration,1,0,8,6,77,10,0,0,0.75,5,3,E:\SamirDataSet\commons-configuration-CONFIGURATION_1_3\commons-configuration-CONFIGURATION_1_3\src\java\org\apache\commons\configuration\DefaultConfigurationBuilder.java
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,ConfigurationBeanFactory,0,0,2,2,39,4,0,0,-1.0,0,4,E:\SamirDataSet\commons-configuration-CONFIGURATION_1_3\commons-configuration-CONFIGURATION_1_3\src\java\org\apache\commons\configuration\DefaultConfigurationBuilder.java
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,FileConfigurationProvider,0,0,4,3,40,4,1,1,-1.0,0,3,E:\SamirDataSet\commons-configuration-CONFIGURATION_1_3\commons-configuration-CONFIGURATION_1_3\src\java\org\apache\commons\configuration\DefaultConfigurationBuilder.java
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,FileExtensionConfigurationProvider,3,0,2,1,44,3,0,2,0.0,0,1,E:\SamirDataSet\commons-configuration-CONFIGURATION_1_3\commons-configuration-CONFIGURATION_1_3\src\java\org\apache\commons\configuration\DefaultConfigurationBuilder.java
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,ConfigurationBuilderProvider,0,0,2,2,21,2,0,1,-1.0,0,2,E:\SamirDataSet\commons-configuration-CONFIGURATION_1_3\commons-configuration-CONFIGURATION_1_3\src\java\org\apache\commons\configuration\DefaultConfigurationBuilder.java
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,FileConfiguration,0,0,29,0,173,29,2,1,-1.0,12,1,E:\SamirDataSet\commons-configuration-CONFIGURATION_1_3\commons-configuration-CONFIGURATION_1_3\src\java\org\apache\commons\configuration\FileConfiguration.java
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,HierarchicalConfiguration,13,2,66,50,832,117,5,2,0.36363636363636365,24,13,E:\SamirDataSet\commons-configuration-CONFIGURATION_1_3\commons-configuration-CONFIGURATION_1_3\src\java\org\apache\commons\configuration\HierarchicalConfiguration.java
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,Node,1,0,11,11,115,18,1,0,0.9090909090909091,13,4,E:\SamirDataSet\commons-configuration-CONFIGURATION_1_3\commons-configuration-CONFIGURATION_1_3\src\java\org\apache\commons\configuration\HierarchicalConfiguration.java
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,NodeVisitor,0,0,3,3,26,3,1,0,-1.0,3,2,E:\SamirDataSet\commons-configuration-CONFIGURATION_1_3\commons-configuration-CONFIGURATION_1_3\src\java\org\apache\commons\configuration\HierarchicalConfiguration.java
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,DefinedVisitor,1,0,3,3,30,3,0,0,0.0,1,1,E:\SamirDataSet\commons-configuration-CONFIGURATION_1_3\commons-configuration-CONFIGURATION_1_3\src\java\org\apache\commons\configuration\HierarchicalConfiguration.java
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,DefinedKeysVisitor,2,0,5,5,54,6,0,0,0.0,1,1,E:\SamirDataSet\commons-configuration-CONFIGURATION_1_3\commons-configuration-CONFIGURATION_1_3\src\java\org\apache\commons\configuration\HierarchicalConfiguration.java
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,CloneVisitor,2,0,4,4,53,7,0,0,0.0,1,1,E:\SamirDataSet\commons-configuration-CONFIGURATION_1_3\commons-configuration-CONFIGURATION_1_3\src\java\org\apache\commons\configuration\HierarchicalConfiguration.java
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,BuilderVisitor,0,0,2,1,57,10,1,1,-1.0,0,2,E:\SamirDataSet\commons-configuration-CONFIGURATION_1_3\commons-configuration-CONFIGURATION_1_3\src\java\org\apache\commons\configuration\HierarchicalConfiguration.java
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,HierarchicalConfigurationConverter,0,0,7,1,104,16,1,0,-1.0,0,2,E:\SamirDataSet\commons-configuration-CONFIGURATION_1_3\commons-configuration-CONFIGURATION_1_3\src\java\org\apache\commons\configuration\HierarchicalConfigurationConverter.java
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,HierarchicalConfigurationXMLReader,2,0,12,8,123,17,0,1,0.6666666666666666,1,4,E:\SamirDataSet\commons-configuration-CONFIGURATION_1_3\commons-configuration-CONFIGURATION_1_3\src\java\org\apache\commons\configuration\HierarchicalConfigurationXMLReader.java
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,SAXVisitor,1,0,6,3,71,11,0,3,0.3333333333333333,1,3,E:\SamirDataSet\commons-configuration-CONFIGURATION_1_3\commons-configuration-CONFIGURATION_1_3\src\java\org\apache\commons\configuration\HierarchicalConfigurationXMLReader.java
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,HierarchicalXMLConfiguration,1,0,0,0,14,0,0,5,-1.0,0,0,E:\SamirDataSet\commons-configuration-CONFIGURATION_1_3\commons-configuration-CONFIGURATION_1_3\src\java\org\apache\commons\configuration\HierarchicalXMLConfiguration.java
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,JNDIConfiguration,5,0,19,16,291,34,0,2,0.21052631578947367,6,0,E:\SamirDataSet\commons-configuration-CONFIGURATION_1_3\commons-configuration-CONFIGURATION_1_3\src\java\org\apache\commons\configuration\JNDIConfiguration.java
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,MapConfiguration,1,0,9,7,79,12,1,2,0.0,3,4,E:\SamirDataSet\commons-configuration-CONFIGURATION_1_3\commons-configuration-CONFIGURATION_1_3\src\java\org\apache\commons\configuration\MapConfiguration.java
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,PropertiesConfiguration,15,0,39,28,679,92,2,4,0.3333333333333333,26,7,E:\SamirDataSet\commons-configuration-CONFIGURATION_1_3\commons-configuration-CONFIGURATION_1_3\src\java\org\apache\commons\configuration\PropertiesConfiguration.java
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,PropertiesReader,4,0,9,7,179,26,0,0,0.2222222222222222,2,3,E:\SamirDataSet\commons-configuration-CONFIGURATION_1_3\commons-configuration-CONFIGURATION_1_3\src\java\org\apache\commons\configuration\PropertiesConfiguration.java
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,PropertiesWriter,1,0,9,6,136,17,0,0,0.0,0,0,E:\SamirDataSet\commons-configuration-CONFIGURATION_1_3\commons-configuration-CONFIGURATION_1_3\src\java\org\apache\commons\configuration\PropertiesConfiguration.java
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,PropertiesConfigurationLayout,10,0,36,28,506,74,1,0,0.1111111111111111,4,8,E:\SamirDataSet\commons-configuration-CONFIGURATION_1_3\commons-configuration-CONFIGURATION_1_3\src\java\org\apache\commons\configuration\PropertiesConfigurationLayout.java
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,PropertyLayoutData,3,0,9,9,100,13,0,0,0.3333333333333333,2,2,E:\SamirDataSet\commons-configuration-CONFIGURATION_1_3\commons-configuration-CONFIGURATION_1_3\src\java\org\apache\commons\configuration\PropertiesConfigurationLayout.java
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,PropertyConverter,4,0,21,18,493,69,0,0,0.38095238095238093,16,3,E:\SamirDataSet\commons-configuration-CONFIGURATION_1_3\commons-configuration-CONFIGURATION_1_3\src\java\org\apache\commons\configuration\PropertyConverter.java
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,StrictConfigurationComparator,0,0,2,2,43,8,0,1,-1.0,4,1,E:\SamirDataSet\commons-configuration-CONFIGURATION_1_3\commons-configuration-CONFIGURATION_1_3\src\java\org\apache\commons\configuration\StrictConfigurationComparator.java
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,SubnodeConfiguration,2,0,6,2,72,8,0,3,0.0,4,3,E:\SamirDataSet\commons-configuration-CONFIGURATION_1_3\commons-configuration-CONFIGURATION_1_3\src\java\org\apache\commons\configuration\SubnodeConfiguration.java
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,SubsetConfiguration,3,0,21,18,192,27,0,2,0.0,3,2,E:\SamirDataSet\commons-configuration-CONFIGURATION_1_3\commons-configuration-CONFIGURATION_1_3\src\java\org\apache\commons\configuration\SubsetConfiguration.java
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,SystemConfiguration,0,0,1,1,15,1,0,3,-1.0,1,0,E:\SamirDataSet\commons-configuration-CONFIGURATION_1_3\commons-configuration-CONFIGURATION_1_3\src\java\org\apache\commons\configuration\SystemConfiguration.java
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,XMLConfiguration,11,0,45,28,651,92,2,4,0.3333333333333333,10,9,E:\SamirDataSet\commons-configuration-CONFIGURATION_1_3\commons-configuration-CONFIGURATION_1_3\src\java\org\apache\commons\configuration\XMLConfiguration.java
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,XMLNode,1,0,6,2,111,20,0,1,0.3333333333333333,1,2,E:\SamirDataSet\commons-configuration-CONFIGURATION_1_3\commons-configuration-CONFIGURATION_1_3\src\java\org\apache\commons\configuration\XMLConfiguration.java
