Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell
commons-exec-1.2,org.apache.commons.exec,CommandLine,translateCommandline,Complex Method,Cyclomatic complexity of the method is 13
commons-exec-1.2,org.apache.commons.exec,CommandLine,translateCommandline,Magic Number,The method contains a magic number: 2
commons-exec-1.2,org.apache.commons.exec,CommandLine,translateCommandline,Missing default,The following switch statement is missing a default case: switch (state) {
commons-exec-1.2,org.apache.commons.exec,DefaultExecutor,executeInternal,Complex Method,Cyclomatic complexity of the method is 8
commons-exec-1.2,org.apache.commons.exec,LogOutputStream,LogOutputStream,Magic Number,The method contains a magic number: 999
commons-exec-1.2,org.apache.commons.exec,OS,isOs,Complex Conditional,The conditional expression family != null || name != null || arch != null || version != null is complex.
commons-exec-1.2,org.apache.commons.exec,OS,isOs,Complex Method,Cyclomatic complexity of the method is 17
commons-exec-1.2,org.apache.commons.exec,OS,isOs,Long Statement,The length of the statement "isFamily=isFamily(FAMILY_WINDOWS) && (OS_NAME.indexOf("95") >= 0 || OS_NAME.indexOf("98") >= 0 || OS_NAME.indexOf("me") >= 0 || OS_NAME.indexOf("ce") >= 0);" is 156.
commons-exec-1.2,org.apache.commons.exec,ShutdownHookProcessDestroyer,removeShutdownHook,Empty catch clause,The method has an empty catch block.
commons-exec-1.2,org.apache.commons.exec,ShutdownHookProcessDestroyer,removeShutdownHook,Magic Number,The method contains a magic number: 20000
commons-exec-1.2,org.apache.commons.exec,StreamPumper,run,Empty catch clause,The method has an empty catch block.
commons-exec-1.2,org.apache.commons.exec,Watchdog,run,Empty catch clause,The method has an empty catch block.
commons-exec-1.2,org.apache.commons.exec,CommandLineTest,testExecutableZeroLengthString,Empty catch clause,The method has an empty catch block.
commons-exec-1.2,org.apache.commons.exec,CommandLineTest,testExecutableWhitespaceString,Empty catch clause,The method has an empty catch block.
commons-exec-1.2,org.apache.commons.exec,CommandLineTest,testNullExecutable,Empty catch clause,The method has an empty catch block.
commons-exec-1.2,org.apache.commons.exec,CommandLineTest,testAddArgumentWithBothQuotes,Empty catch clause,The method has an empty catch block.
commons-exec-1.2,org.apache.commons.exec,CommandLineTest,testParseCommandLineWithUnevenQuotes,Empty catch clause,The method has an empty catch block.
commons-exec-1.2,org.apache.commons.exec,CommandLineTest,testParseCommandLineWithNull,Empty catch clause,The method has an empty catch block.
commons-exec-1.2,org.apache.commons.exec,CommandLineTest,testParseCommandLineWithOnlyWhitespace,Empty catch clause,The method has an empty catch block.
commons-exec-1.2,org.apache.commons.exec,CommandLineTest,testParseComplexCommandLine2,Long Statement,The length of the statement "final String commandline="./script/jrake cruise:publish_installers " + "INSTALLER_VERSION=unstable_2_1 " + "INSTALLER_PATH=\"/var/lib/ cruise-agent/installers\" "+ "INSTALLER_DOWNLOAD_SERVER=\'something\' "+ "WITHOUT_HELP_DOC=true";" is 232.
commons-exec-1.2,org.apache.commons.exec,CommandLineTest,testParseComplexCommandLine2,Magic Number,The method contains a magic number: 4
commons-exec-1.2,org.apache.commons.exec,CommandLineTest,testComplexAddArgument,Long Statement,The length of the statement "assertEquals(new String[]{"runMemorySud.cmd"`"10"`"30"`"-XX:+UseParallelGC"`"\"-XX:ParallelGCThreads=2\""}`cmdl.toStrings());" is 125.
commons-exec-1.2,org.apache.commons.exec,CommandLineTest,testComplexAddArguments1,Long Statement,The length of the statement "assertEquals(new String[]{"runMemorySud.cmd"`"10"`"30"`"-XX:+UseParallelGC"`"\"-XX:ParallelGCThreads=2\""}`cmdl.toStrings());" is 125.
commons-exec-1.2,org.apache.commons.exec,CommandLineTest,testComplexAddArguments2,Long Statement,The length of the statement "assertEquals(new String[]{"runMemorySud.cmd"`"10"`"30"`"-XX:+UseParallelGC"`"\"-XX:ParallelGCThreads=2\""}`cmdl.toStrings());" is 125.
commons-exec-1.2,org.apache.commons.exec,CommandLineTest,testCommandLineParsingWithExpansion2,Magic Number,The method contains a magic number: 2
commons-exec-1.2,org.apache.commons.exec,CommandLineTest,testCommandLineParsingWithExpansion2,Magic Number,The method contains a magic number: 3
commons-exec-1.2,org.apache.commons.exec,CommandLineTest,testCommandLineParsingWithExpansion2,Magic Number,The method contains a magic number: 2
commons-exec-1.2,org.apache.commons.exec,CommandLineTest,testCommandLineParsingWithExpansion2,Magic Number,The method contains a magic number: 2
