Project Name,Package Name,Type Name,Method Name,LOC,CC,PC
commons-exec-1.3,org.apache.commons.exec,CommandLine,parse,3,1,1
commons-exec-1.3,org.apache.commons.exec,CommandLine,parse,17,4,2
commons-exec-1.3,org.apache.commons.exec,CommandLine,CommandLine,4,1,1
commons-exec-1.3,org.apache.commons.exec,CommandLine,CommandLine,4,1,1
commons-exec-1.3,org.apache.commons.exec,CommandLine,CommandLine,14,3,1
commons-exec-1.3,org.apache.commons.exec,CommandLine,getExecutable,3,1,0
commons-exec-1.3,org.apache.commons.exec,CommandLine,isFile,3,1,0
commons-exec-1.3,org.apache.commons.exec,CommandLine,addArguments,3,1,1
commons-exec-1.3,org.apache.commons.exec,CommandLine,addArguments,8,3,2
commons-exec-1.3,org.apache.commons.exec,CommandLine,addArguments,3,1,1
commons-exec-1.3,org.apache.commons.exec,CommandLine,addArguments,7,2,2
commons-exec-1.3,org.apache.commons.exec,CommandLine,addArgument,3,1,1
commons-exec-1.3,org.apache.commons.exec,CommandLine,addArgument,10,3,2
commons-exec-1.3,org.apache.commons.exec,CommandLine,getArguments,11,2,0
commons-exec-1.3,org.apache.commons.exec,CommandLine,getSubstitutionMap,3,1,0
commons-exec-1.3,org.apache.commons.exec,CommandLine,setSubstitutionMap,3,1,1
commons-exec-1.3,org.apache.commons.exec,CommandLine,toStrings,6,1,0
commons-exec-1.3,org.apache.commons.exec,CommandLine,toString,3,1,0
commons-exec-1.3,org.apache.commons.exec,CommandLine,expandArgument,4,1,1
commons-exec-1.3,org.apache.commons.exec,CommandLine,translateCommandline,62,13,1
commons-exec-1.3,org.apache.commons.exec,CommandLine,toCleanExecutable,11,3,1
commons-exec-1.3,org.apache.commons.exec,CommandLine,Argument,4,1,2
commons-exec-1.3,org.apache.commons.exec,CommandLine,getValue,3,1,0
commons-exec-1.3,org.apache.commons.exec,CommandLine,isHandleQuoting,3,1,0
commons-exec-1.3,org.apache.commons.exec,Argument,Argument,4,1,2
commons-exec-1.3,org.apache.commons.exec,Argument,getValue,3,1,0
commons-exec-1.3,org.apache.commons.exec,Argument,isHandleQuoting,3,1,0
commons-exec-1.3,org.apache.commons.exec,DaemonExecutor,createThread,5,1,2
commons-exec-1.3,org.apache.commons.exec,DefaultExecuteResultHandler,DefaultExecuteResultHandler,4,1,0
commons-exec-1.3,org.apache.commons.exec,DefaultExecuteResultHandler,onProcessComplete,5,1,1
commons-exec-1.3,org.apache.commons.exec,DefaultExecuteResultHandler,onProcessFailed,5,1,1
commons-exec-1.3,org.apache.commons.exec,DefaultExecuteResultHandler,getException,6,2,0
commons-exec-1.3,org.apache.commons.exec,DefaultExecuteResultHandler,getExitValue,6,2,0
commons-exec-1.3,org.apache.commons.exec,DefaultExecuteResultHandler,hasResult,3,1,0
commons-exec-1.3,org.apache.commons.exec,DefaultExecuteResultHandler,waitFor,5,2,0
commons-exec-1.3,org.apache.commons.exec,DefaultExecuteResultHandler,waitFor,6,2,1
commons-exec-1.3,org.apache.commons.exec,DefaultExecutor,DefaultExecutor,7,1,0
commons-exec-1.3,org.apache.commons.exec,DefaultExecutor,getStreamHandler,3,1,0
commons-exec-1.3,org.apache.commons.exec,DefaultExecutor,setStreamHandler,3,1,1
commons-exec-1.3,org.apache.commons.exec,DefaultExecutor,getWatchdog,3,1,0
commons-exec-1.3,org.apache.commons.exec,DefaultExecutor,setWatchdog,3,1,1
commons-exec-1.3,org.apache.commons.exec,DefaultExecutor,getProcessDestroyer,3,1,0
commons-exec-1.3,org.apache.commons.exec,DefaultExecutor,setProcessDestroyer,3,1,1
commons-exec-1.3,org.apache.commons.exec,DefaultExecutor,getWorkingDirectory,3,1,0
commons-exec-1.3,org.apache.commons.exec,DefaultExecutor,setWorkingDirectory,3,1,1
commons-exec-1.3,org.apache.commons.exec,DefaultExecutor,execute,3,1,1
commons-exec-1.3,org.apache.commons.exec,DefaultExecutor,execute,6,2,2
commons-exec-1.3,org.apache.commons.exec,DefaultExecutor,execute,3,1,2
commons-exec-1.3,org.apache.commons.exec,DefaultExecutor,execute,26,3,3
commons-exec-1.3,org.apache.commons.exec,DefaultExecutor,run,13,1,0
commons-exec-1.3,org.apache.commons.exec,DefaultExecutor,setExitValue,3,1,1
commons-exec-1.3,org.apache.commons.exec,DefaultExecutor,setExitValues,3,1,1
commons-exec-1.3,org.apache.commons.exec,DefaultExecutor,isFailure,16,5,1
commons-exec-1.3,org.apache.commons.exec,DefaultExecutor,createThread,3,1,2
commons-exec-1.3,org.apache.commons.exec,DefaultExecutor,launch,9,3,3
commons-exec-1.3,org.apache.commons.exec,DefaultExecutor,getExecutorThread,3,1,0
commons-exec-1.3,org.apache.commons.exec,DefaultExecutor,closeProcessStreams,20,1,1
commons-exec-1.3,org.apache.commons.exec,DefaultExecutor,executeInternal,65,8,4
commons-exec-1.3,org.apache.commons.exec,DefaultExecutor,setExceptionCaught,5,2,1
commons-exec-1.3,org.apache.commons.exec,DefaultExecutor,getExceptionCaught,3,1,0
commons-exec-1.3,org.apache.commons.exec,ExecuteException,ExecuteException,5,1,2
commons-exec-1.3,org.apache.commons.exec,ExecuteException,ExecuteException,5,1,3
commons-exec-1.3,org.apache.commons.exec,ExecuteException,getCause,3,1,0
commons-exec-1.3,org.apache.commons.exec,ExecuteException,getExitValue,3,1,0
commons-exec-1.3,org.apache.commons.exec,ExecuteResultHandler,onProcessComplete,0,1,1
commons-exec-1.3,org.apache.commons.exec,ExecuteResultHandler,onProcessFailed,0,1,1
commons-exec-1.3,org.apache.commons.exec,ExecuteStreamHandler,setProcessInputStream,0,1,1
commons-exec-1.3,org.apache.commons.exec,ExecuteStreamHandler,setProcessErrorStream,0,1,1
commons-exec-1.3,org.apache.commons.exec,ExecuteStreamHandler,setProcessOutputStream,0,1,1
commons-exec-1.3,org.apache.commons.exec,ExecuteStreamHandler,start,0,1,0
commons-exec-1.3,org.apache.commons.exec,ExecuteStreamHandler,stop,0,1,0
commons-exec-1.3,org.apache.commons.exec,ExecuteWatchdog,ExecuteWatchdog,13,2,1
commons-exec-1.3,org.apache.commons.exec,ExecuteWatchdog,start,17,4,1
commons-exec-1.3,org.apache.commons.exec,ExecuteWatchdog,stop,7,2,0
commons-exec-1.3,org.apache.commons.exec,ExecuteWatchdog,destroyProcess,5,1,0
commons-exec-1.3,org.apache.commons.exec,ExecuteWatchdog,timeoutOccured,22,3,1
commons-exec-1.3,org.apache.commons.exec,ExecuteWatchdog,checkException,5,2,0
commons-exec-1.3,org.apache.commons.exec,ExecuteWatchdog,isWatching,4,1,0
commons-exec-1.3,org.apache.commons.exec,ExecuteWatchdog,killedProcess,3,1,0
commons-exec-1.3,org.apache.commons.exec,ExecuteWatchdog,cleanUp,4,1,0
commons-exec-1.3,org.apache.commons.exec,ExecuteWatchdog,setProcessNotStarted,3,1,0
commons-exec-1.3,org.apache.commons.exec,ExecuteWatchdog,ensureStarted,10,2,0
commons-exec-1.3,org.apache.commons.exec,Executor,setExitValue,0,1,1
commons-exec-1.3,org.apache.commons.exec,Executor,setExitValues,0,1,1
commons-exec-1.3,org.apache.commons.exec,Executor,isFailure,0,1,1
commons-exec-1.3,org.apache.commons.exec,Executor,getStreamHandler,0,1,0
commons-exec-1.3,org.apache.commons.exec,Executor,setStreamHandler,0,1,1
commons-exec-1.3,org.apache.commons.exec,Executor,getWatchdog,0,1,0
commons-exec-1.3,org.apache.commons.exec,Executor,setWatchdog,0,1,1
commons-exec-1.3,org.apache.commons.exec,Executor,getProcessDestroyer,0,1,0
commons-exec-1.3,org.apache.commons.exec,Executor,setProcessDestroyer,0,1,1
commons-exec-1.3,org.apache.commons.exec,Executor,getWorkingDirectory,0,1,0
commons-exec-1.3,org.apache.commons.exec,Executor,setWorkingDirectory,0,1,1
commons-exec-1.3,org.apache.commons.exec,Executor,execute,0,1,1
commons-exec-1.3,org.apache.commons.exec,Executor,execute,0,1,2
commons-exec-1.3,org.apache.commons.exec,Executor,execute,0,1,2
commons-exec-1.3,org.apache.commons.exec,Executor,execute,0,1,3
commons-exec-1.3,org.apache.commons.exec,InputStreamPumper,InputStreamPumper,5,1,2
commons-exec-1.3,org.apache.commons.exec,InputStreamPumper,run,17,3,0
commons-exec-1.3,org.apache.commons.exec,InputStreamPumper,stopProcessing,3,1,0
commons-exec-1.3,org.apache.commons.exec,LogOutputStream,LogOutputStream,3,1,0
