Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
4.0.2,org.apache.http.examples.client,ClientAbortMethod,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
4.0.2,org.apache.http.examples.client,ClientAuthentication,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
4.0.2,org.apache.http.examples.client,ClientChunkEncodedPost,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
4.0.2,org.apache.http.examples.client,ClientConnectionRelease,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
4.0.2,org.apache.http.examples.client,ClientCustomContext,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
4.0.2,org.apache.http.examples.client,ClientCustomSSL,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
4.0.2,org.apache.http.examples.client,ClientEvictExpiredConnections,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
4.0.2,org.apache.http.examples.client,ClientExecuteDirect,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
4.0.2,org.apache.http.examples.client,ClientExecuteProxy,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
4.0.2,org.apache.http.examples.client,ClientFormLogin,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
4.0.2,org.apache.http.examples.client,ClientGZipContentCompression,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
4.0.2,org.apache.http.examples.client,ClientInteractiveAuthentication,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
4.0.2,org.apache.http.examples.client,ClientMultiThreadedExecution,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
4.0.2,org.apache.http.examples.client,ClientPreemptiveBasicAuthentication,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
4.0.2,org.apache.http.examples.client,ClientPreemptiveDigestAuthentication,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
4.0.2,org.apache.http.examples.client,PreemptiveAuth,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
4.0.2,org.apache.http.examples.client,ClientProxyAuthentication,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
4.0.2,org.apache.http.examples.client,ClientWithResponseHandler,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
4.0.2,org.apache.http.examples.conn,ManagerConnectProxy,Imperative Abstraction,The tool detected the smell in this class because it looks like that an operation is turned into a class. This class contains only the following public method: main
4.0.2,org.apache.http.examples.conn,OperatorConnectDirect,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
4.0.2,org.apache.http.examples.conn,OperatorConnectProxy,Imperative Abstraction,The tool detected the smell in this class because it looks like that an operation is turned into a class. This class contains only the following public method: main
4.0.2,org.apache.http.auth,AUTH,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: WWW_AUTH; WWW_AUTH_RESP; PROXY_AUTH; PROXY_AUTH_RESP
4.0.2,org.apache.http.auth,AuthScope,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: ANY_HOST; ANY_PORT; ANY_REALM; ANY_SCHEME; ANY; scheme; realm; host; port
4.0.2,org.apache.http.auth,InvalidCredentialsException,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
4.0.2,org.apache.http.auth,InvalidCredentialsException,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AuthenticationException
4.0.2,org.apache.http.auth,MalformedChallengeException,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
4.0.2,org.apache.http.auth.params,AuthParamBean,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
4.0.2,org.apache.http.auth.params,AuthPNames,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: CREDENTIAL_CHARSET
4.0.2,org.apache.http.client,CircularRedirectException,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
4.0.2,org.apache.http.client,CircularRedirectException,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): RedirectException
4.0.2,org.apache.http.client,HttpResponseException,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
4.0.2,org.apache.http.client,HttpResponseException,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): ClientProtocolException
4.0.2,org.apache.http.client.entity,UrlEncodedFormEntity,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
4.0.2,org.apache.http.client.methods,HttpDelete,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
4.0.2,org.apache.http.client.methods,HttpDelete,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: METHOD_NAME
4.0.2,org.apache.http.client.methods,HttpGet,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: METHOD_NAME
4.0.2,org.apache.http.client.methods,HttpHead,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: METHOD_NAME
