Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path
4.0.2,org.apache.http.examples.client,ClientAbortMethod,0,0,1,1,20,2,0,0,-1.0,0,2,c:\sources\httpcomponents-client\4.0.2\httpclient\src\examples\org\apache\http\examples\client\ClientAbortMethod.java
4.0.2,org.apache.http.examples.client,ClientAuthentication,0,0,1,1,22,3,0,0,-1.0,0,2,c:\sources\httpcomponents-client\4.0.2\httpclient\src\examples\org\apache\http\examples\client\ClientAuthentication.java
4.0.2,org.apache.http.examples.client,ClientChunkEncodedPost,0,0,1,1,31,4,0,0,-1.0,0,2,c:\sources\httpcomponents-client\4.0.2\httpclient\src\examples\org\apache\http\examples\client\ClientChunkEncodedPost.java
4.0.2,org.apache.http.examples.client,ClientConnectionRelease,0,0,1,1,32,2,0,0,-1.0,0,2,c:\sources\httpcomponents-client\4.0.2\httpclient\src\examples\org\apache\http\examples\client\ClientConnectionRelease.java
4.0.2,org.apache.http.examples.client,ClientCustomContext,0,0,1,1,29,4,0,0,-1.0,0,4,c:\sources\httpcomponents-client\4.0.2\httpclient\src\examples\org\apache\http\examples\client\ClientCustomContext.java
4.0.2,org.apache.http.examples.client,ClientCustomSSL,0,0,1,1,32,3,0,0,-1.0,0,4,c:\sources\httpcomponents-client\4.0.2\httpclient\src\examples\org\apache\http\examples\client\ClientCustomSSL.java
4.0.2,org.apache.http.examples.client,ClientEvictExpiredConnections,2,0,4,4,64,8,0,0,0.0,0,7,c:\sources\httpcomponents-client\4.0.2\httpclient\src\examples\org\apache\http\examples\client\ClientEvictExpiredConnections.java
4.0.2,org.apache.http.examples.client,IdleConnectionEvictor,2,0,3,3,27,4,0,0,0.0,1,1,c:\sources\httpcomponents-client\4.0.2\httpclient\src\examples\org\apache\http\examples\client\ClientEvictExpiredConnections.java
4.0.2,org.apache.http.examples.client,ClientExecuteDirect,0,0,1,1,32,3,0,0,-1.0,0,5,c:\sources\httpcomponents-client\4.0.2\httpclient\src\examples\org\apache\http\examples\client\ClientExecuteDirect.java
4.0.2,org.apache.http.examples.client,ClientExecuteProxy,0,0,1,1,35,3,0,0,-1.0,0,7,c:\sources\httpcomponents-client\4.0.2\httpclient\src\examples\org\apache\http\examples\client\ClientExecuteProxy.java
4.0.2,org.apache.http.examples.client,ClientFormLogin,0,0,1,1,47,7,0,0,-1.0,0,3,c:\sources\httpcomponents-client\4.0.2\httpclient\src\examples\org\apache\http\examples\client\ClientFormLogin.java
