Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell
4.1,org.apache.http.examples.client,ClientAuthentication,main,Long Statement,The length of the statement "httpclient.getCredentialsProvider().setCredentials(new AuthScope("localhost"`443)`new UsernamePasswordCredentials("username"`"password"));" is 138.
4.1,org.apache.http.examples.client,ClientAuthentication,main,Magic Number,The method contains a magic number: 443
4.1,org.apache.http.examples.client,ClientConnectionRelease,main,Empty catch clause,The method has an empty catch block.
4.1,org.apache.http.examples.client,ClientCustomSSL,main,Empty catch clause,The method has an empty catch block.
4.1,org.apache.http.examples.client,ClientCustomSSL,main,Magic Number,The method contains a magic number: 443
4.1,org.apache.http.examples.client,ClientEvictExpiredConnections,main,Long Statement,The length of the statement "String[] urisToGet={"http://jakarta.apache.org/"`"http://jakarta.apache.org/commons/"`"http://jakarta.apache.org/commons/httpclient/"`"http://svn.apache.org/viewvc/jakarta/httpcomponents/"};" is 190.
4.1,org.apache.http.examples.client,ClientEvictExpiredConnections,main,Magic Number,The method contains a magic number: 100
4.1,org.apache.http.examples.client,ClientEvictExpiredConnections,main,Magic Number,The method contains a magic number: 20000
4.1,org.apache.http.examples.client,ClientEvictExpiredConnections,run,Empty catch clause,The method has an empty catch block.
4.1,org.apache.http.examples.client,ClientEvictExpiredConnections,run,Magic Number,The method contains a magic number: 5000
4.1,org.apache.http.examples.client,ClientEvictExpiredConnections,run,Magic Number,The method contains a magic number: 5
4.1,org.apache.http.examples.client,IdleConnectionEvictor,run,Empty catch clause,The method has an empty catch block.
4.1,org.apache.http.examples.client,IdleConnectionEvictor,run,Magic Number,The method contains a magic number: 5000
4.1,org.apache.http.examples.client,IdleConnectionEvictor,run,Magic Number,The method contains a magic number: 5
4.1,org.apache.http.examples.client,ClientExecuteDirect,main,Magic Number,The method contains a magic number: 80
4.1,org.apache.http.examples.client,ClientExecuteProxy,main,Magic Number,The method contains a magic number: 8080
4.1,org.apache.http.examples.client,ClientExecuteProxy,main,Magic Number,The method contains a magic number: 443
4.1,org.apache.http.examples.client,ClientExecuteSOCKS,main,Magic Number,The method contains a magic number: 1234
4.1,org.apache.http.examples.client,ClientExecuteSOCKS,main,Magic Number,The method contains a magic number: 80
4.1,org.apache.http.examples.client,ClientExecuteSOCKS,main,Magic Number,The method contains a magic number: 80
4.1,org.apache.http.examples.client,ClientExecuteSOCKS,connectSocket,Long Statement,The length of the statement "throw new ConnectTimeoutException("Connect to " + remoteAddress.getHostName() + "/"+ remoteAddress.getAddress()+ " timed out");" is 127.
4.1,org.apache.http.examples.client,MySchemeSocketFactory,connectSocket,Long Statement,The length of the statement "throw new ConnectTimeoutException("Connect to " + remoteAddress.getHostName() + "/"+ remoteAddress.getAddress()+ " timed out");" is 127.
4.1,org.apache.http.examples.client,ClientFormLogin,main,Long Statement,The length of the statement "HttpPost httpost=new HttpPost("https://portal.sun.com/amserver/UI/Login?" + "org=self_registered_users&" + "goto=/portal/dt&"+ "gotoOnFail=/portal/dt?error=true");" is 163.
4.1,org.apache.http.examples.client,ClientMultiThreadedExecution,main,Long Statement,The length of the statement "String[] urisToGet={"http://hc.apache.org/"`"http://hc.apache.org/httpcomponents-core-ga/"`"http://hc.apache.org/httpcomponents-client-ga/"`"http://svn.apache.org/viewvc/httpcomponents/"};" is 188.
4.1,org.apache.http.examples.client,ClientMultiThreadedExecution,main,Magic Number,The method contains a magic number: 100
4.1,org.apache.http.examples.client,ClientPreemptiveBasicAuthentication,main,Long Statement,The length of the statement "httpclient.getCredentialsProvider().setCredentials(new AuthScope(targetHost.getHostName()`targetHost.getPort())`new UsernamePasswordCredentials("username"`"password"));" is 168.
4.1,org.apache.http.examples.client,ClientPreemptiveBasicAuthentication,main,Magic Number,The method contains a magic number: 80
4.1,org.apache.http.examples.client,ClientPreemptiveBasicAuthentication,main,Magic Number,The method contains a magic number: 3
4.1,org.apache.http.examples.client,ClientPreemptiveDigestAuthentication,main,Long Statement,The length of the statement "httpclient.getCredentialsProvider().setCredentials(new AuthScope(targetHost.getHostName()`targetHost.getPort())`new UsernamePasswordCredentials("username"`"password"));" is 168.
4.1,org.apache.http.examples.client,ClientPreemptiveDigestAuthentication,main,Magic Number,The method contains a magic number: 80
4.1,org.apache.http.examples.client,ClientPreemptiveDigestAuthentication,main,Magic Number,The method contains a magic number: 3
4.1,org.apache.http.examples.client,ClientProxyAuthentication,main,Long Statement,The length of the statement "httpclient.getCredentialsProvider().setCredentials(new AuthScope("localhost"`8080)`new UsernamePasswordCredentials("username"`"password"));" is 139.
4.1,org.apache.http.examples.client,ClientProxyAuthentication,main,Magic Number,The method contains a magic number: 8080
4.1,org.apache.http.examples.client,ClientProxyAuthentication,main,Magic Number,The method contains a magic number: 443
4.1,org.apache.http.examples.client,ClientProxyAuthentication,main,Magic Number,The method contains a magic number: 8080
4.1,org.apache.http.examples.conn,ManagerConnectDirect,main,Magic Number,The method contains a magic number: 80
4.1,org.apache.http.examples.conn,ManagerConnectDirect,main,Magic Number,The method contains a magic number: 80
4.1,org.apache.http.examples.conn,ManagerConnectProxy,main,Magic Number,The method contains a magic number: 443
4.1,org.apache.http.examples.conn,ManagerConnectProxy,main,Magic Number,The method contains a magic number: 8666
4.1,org.apache.http.examples.conn,ManagerConnectProxy,main,Magic Number,The method contains a magic number: 80
