Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell
httpcomponents-client-rel-v4.5.11,org.apache.http.client.fluent,FluentAsync,main,Empty catch clause,The method has an empty catch block.
httpcomponents-client-rel-v4.5.11,org.apache.http.client.fluent,FluentAsync,main,Long Statement,The length of the statement "Request[] requests=new Request[]{Request.Get("http://www.google.com/")`Request.Get("http://www.yahoo.com/")`Request.Get("http://www.apache.com/")`Request.Get("http://www.apple.com/")};" is 184.
httpcomponents-client-rel-v4.5.11,org.apache.http.client.fluent,FluentAsync,main,Magic Number,The method contains a magic number: 2
httpcomponents-client-rel-v4.5.11,org.apache.http.client.fluent,FluentExecutor,main,Long Statement,The length of the statement "Executor executor=Executor.newInstance().auth(new HttpHost("somehost")`"username"`"password").auth(new HttpHost("myproxy"`8080)`"username"`"password").authPreemptive(new HttpHost("myproxy"`8080));" is 196.
httpcomponents-client-rel-v4.5.11,org.apache.http.client.fluent,FluentExecutor,main,Long Statement,The length of the statement "executor.execute(Request.Post("http://somehost/do-stuff").useExpectContinue().version(HttpVersion.HTTP_1_1).bodyString("Important stuff"`ContentType.DEFAULT_TEXT)).returnContent().asBytes();" is 190.
httpcomponents-client-rel-v4.5.11,org.apache.http.client.fluent,FluentExecutor,main,Long Statement,The length of the statement "executor.execute(Request.Post("http://somehost/some-form").addHeader("X-Custom-header"`"stuff").viaProxy(new HttpHost("myproxy"`8080)).bodyForm(Form.form().add("username"`"vip").add("password"`"secret").build())).saveContent(new File("result.dump"));" is 250.
httpcomponents-client-rel-v4.5.11,org.apache.http.client.fluent,FluentExecutor,main,Magic Number,The method contains a magic number: 8080
httpcomponents-client-rel-v4.5.11,org.apache.http.client.fluent,FluentExecutor,main,Magic Number,The method contains a magic number: 8080
httpcomponents-client-rel-v4.5.11,org.apache.http.client.fluent,FluentExecutor,main,Magic Number,The method contains a magic number: 1000
httpcomponents-client-rel-v4.5.11,org.apache.http.client.fluent,FluentExecutor,main,Magic Number,The method contains a magic number: 1000
