Project Name,Package Name,Type Name,Method Name,LOC,CC,PC
httpcomponents-client-rel-v4.5.11,org.apache.http.client.fluent,FluentAsync,main,30,3,1
httpcomponents-client-rel-v4.5.11,org.apache.http.client.fluent,FluentAsync,failed,3,1,1
httpcomponents-client-rel-v4.5.11,org.apache.http.client.fluent,FluentAsync,completed,3,1,1
httpcomponents-client-rel-v4.5.11,org.apache.http.client.fluent,FluentAsync,cancelled,2,1,0
httpcomponents-client-rel-v4.5.11,org.apache.http.client.fluent,FluentExecutor,main,6,1,1
httpcomponents-client-rel-v4.5.11,org.apache.http.client.fluent,FluentQuickStart,main,4,1,1
httpcomponents-client-rel-v4.5.11,org.apache.http.client.fluent,FluentRequests,main,5,1,1
httpcomponents-client-rel-v4.5.11,org.apache.http.client.fluent,FluentResponseHandling,main,35,5,1
httpcomponents-client-rel-v4.5.11,org.apache.http.client.fluent,FluentResponseHandling,handleResponse,29,5,1
httpcomponents-client-rel-v4.5.11,org.apache.http.client.fluent,Async,newInstance,3,1,0
httpcomponents-client-rel-v4.5.11,org.apache.http.client.fluent,Async,Async,3,1,0
httpcomponents-client-rel-v4.5.11,org.apache.http.client.fluent,Async,use,4,1,1
httpcomponents-client-rel-v4.5.11,org.apache.http.client.fluent,Async,use,4,1,1
httpcomponents-client-rel-v4.5.11,org.apache.http.client.fluent,Async,ExecRunnable,7,1,4
httpcomponents-client-rel-v4.5.11,org.apache.http.client.fluent,Async,run,10,1,0
httpcomponents-client-rel-v4.5.11,org.apache.http.client.fluent,Async,execute,13,2,3
httpcomponents-client-rel-v4.5.11,org.apache.http.client.fluent,Async,execute,3,1,2
httpcomponents-client-rel-v4.5.11,org.apache.http.client.fluent,Async,execute,3,1,2
httpcomponents-client-rel-v4.5.11,org.apache.http.client.fluent,Async,execute,3,1,1
httpcomponents-client-rel-v4.5.11,org.apache.http.client.fluent,ExecRunnable,ExecRunnable,7,1,4
httpcomponents-client-rel-v4.5.11,org.apache.http.client.fluent,ExecRunnable,run,10,1,0
httpcomponents-client-rel-v4.5.11,org.apache.http.client.fluent,Content,Content,5,1,2
httpcomponents-client-rel-v4.5.11,org.apache.http.client.fluent,Content,getType,3,1,0
httpcomponents-client-rel-v4.5.11,org.apache.http.client.fluent,Content,asBytes,3,1,0
httpcomponents-client-rel-v4.5.11,org.apache.http.client.fluent,Content,asString,7,2,0
httpcomponents-client-rel-v4.5.11,org.apache.http.client.fluent,Content,asString,3,1,1
httpcomponents-client-rel-v4.5.11,org.apache.http.client.fluent,Content,asStream,3,1,0
httpcomponents-client-rel-v4.5.11,org.apache.http.client.fluent,Content,toString,3,1,0
httpcomponents-client-rel-v4.5.11,org.apache.http.client.fluent,ContentResponseHandler,handleEntity,3,1,1
httpcomponents-client-rel-v4.5.11,org.apache.http.client.fluent,Executor,newInstance,3,1,0
httpcomponents-client-rel-v4.5.11,org.apache.http.client.fluent,Executor,newInstance,3,1,1
httpcomponents-client-rel-v4.5.11,org.apache.http.client.fluent,Executor,Executor,5,1,1
httpcomponents-client-rel-v4.5.11,org.apache.http.client.fluent,Executor,use,4,1,1
httpcomponents-client-rel-v4.5.11,org.apache.http.client.fluent,Executor,auth,7,2,2
httpcomponents-client-rel-v4.5.11,org.apache.http.client.fluent,Executor,auth,4,1,2
httpcomponents-client-rel-v4.5.11,org.apache.http.client.fluent,Executor,auth,3,1,2
httpcomponents-client-rel-v4.5.11,org.apache.http.client.fluent,Executor,authPreemptive,10,1,1
httpcomponents-client-rel-v4.5.11,org.apache.http.client.fluent,Executor,authPreemptive,3,1,1
httpcomponents-client-rel-v4.5.11,org.apache.http.client.fluent,Executor,authPreemptiveProxy,10,1,1
httpcomponents-client-rel-v4.5.11,org.apache.http.client.fluent,Executor,authPreemptiveProxy,3,1,1
httpcomponents-client-rel-v4.5.11,org.apache.http.client.fluent,Executor,auth,3,1,1
httpcomponents-client-rel-v4.5.11,org.apache.http.client.fluent,Executor,auth,3,1,2
httpcomponents-client-rel-v4.5.11,org.apache.http.client.fluent,Executor,auth,3,1,4
httpcomponents-client-rel-v4.5.11,org.apache.http.client.fluent,Executor,auth,3,1,3
httpcomponents-client-rel-v4.5.11,org.apache.http.client.fluent,Executor,auth,3,1,5
