Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell
httpcomponents-core-rel-v4.1.4,org.apache.http.examples,ElementalHttpGet,main,Long Statement,The length of the statement "HttpProcessor httpproc=new ImmutableHttpProcessor(new HttpRequestInterceptor[]{new RequestContent()`new RequestTargetHost()`new RequestConnControl()`new RequestUserAgent()`new RequestExpectContinue()});" is 202.
httpcomponents-core-rel-v4.1.4,org.apache.http.examples,ElementalHttpGet,main,Magic Number,The method contains a magic number: 8080
httpcomponents-core-rel-v4.1.4,org.apache.http.examples,ElementalHttpPost,main,Long Statement,The length of the statement "HttpProcessor httpproc=new ImmutableHttpProcessor(new HttpRequestInterceptor[]{new RequestContent()`new RequestTargetHost()`new RequestConnControl()`new RequestUserAgent()`new RequestExpectContinue()});" is 202.
httpcomponents-core-rel-v4.1.4,org.apache.http.examples,ElementalHttpPost,main,Long Statement,The length of the statement "HttpEntity[] requestBodies={new StringEntity("This is the first test request"`"UTF-8")`new ByteArrayEntity("This is the second test request".getBytes("UTF-8"))`new InputStreamEntity(new ByteArrayInputStream("This is the third test request (will be chunked)".getBytes("UTF-8"))`-1)};" is 282.
httpcomponents-core-rel-v4.1.4,org.apache.http.examples,ElementalHttpPost,main,Long Statement,The length of the statement "BasicHttpEntityEnclosingRequest request=new BasicHttpEntityEnclosingRequest("POST"`"/servlets-examples/servlet/RequestInfoExample");" is 132.
httpcomponents-core-rel-v4.1.4,org.apache.http.examples,ElementalHttpPost,main,Magic Number,The method contains a magic number: 8080
httpcomponents-core-rel-v4.1.4,org.apache.http.examples,ElementalHttpServer,main,Magic Number,The method contains a magic number: 8080
httpcomponents-core-rel-v4.1.4,org.apache.http.examples,ElementalHttpServer,handle,Complex Conditional,The conditional expression !method.equals("GET") && !method.equals("HEAD") && !method.equals("POST") is complex.
httpcomponents-core-rel-v4.1.4,org.apache.http.examples,ElementalHttpServer,RequestListenerThread,Long Statement,The length of the statement "this.params.setIntParameter(CoreConnectionPNames.SO_TIMEOUT`5000).setIntParameter(CoreConnectionPNames.SOCKET_BUFFER_SIZE`8 * 1024).setBooleanParameter(CoreConnectionPNames.STALE_CONNECTION_CHECK`false).setBooleanParameter(CoreConnectionPNames.TCP_NODELAY`true).setParameter(CoreProtocolPNames.ORIGIN_SERVER`"HttpComponents/1.1");" is 330.
httpcomponents-core-rel-v4.1.4,org.apache.http.examples,ElementalHttpServer,RequestListenerThread,Long Statement,The length of the statement "HttpProcessor httpproc=new ImmutableHttpProcessor(new HttpResponseInterceptor[]{new ResponseDate()`new ResponseServer()`new ResponseContent()`new ResponseConnControl()});" is 170.
httpcomponents-core-rel-v4.1.4,org.apache.http.examples,ElementalHttpServer,RequestListenerThread,Long Statement,The length of the statement "this.httpService=new HttpService(httpproc`new DefaultConnectionReuseStrategy()`new DefaultHttpResponseFactory()`reqistry`this.params);" is 134.
httpcomponents-core-rel-v4.1.4,org.apache.http.examples,ElementalHttpServer,RequestListenerThread,Magic Number,The method contains a magic number: 5000
httpcomponents-core-rel-v4.1.4,org.apache.http.examples,ElementalHttpServer,RequestListenerThread,Magic Number,The method contains a magic number: 8
httpcomponents-core-rel-v4.1.4,org.apache.http.examples,ElementalHttpServer,RequestListenerThread,Magic Number,The method contains a magic number: 1024
httpcomponents-core-rel-v4.1.4,org.apache.http.examples,ElementalHttpServer,run,Empty catch clause,The method has an empty catch block.
httpcomponents-core-rel-v4.1.4,org.apache.http.examples,HttpFileHandler,handle,Complex Conditional,The conditional expression !method.equals("GET") && !method.equals("HEAD") && !method.equals("POST") is complex.
httpcomponents-core-rel-v4.1.4,org.apache.http.examples,RequestListenerThread,RequestListenerThread,Long Statement,The length of the statement "this.params.setIntParameter(CoreConnectionPNames.SO_TIMEOUT`5000).setIntParameter(CoreConnectionPNames.SOCKET_BUFFER_SIZE`8 * 1024).setBooleanParameter(CoreConnectionPNames.STALE_CONNECTION_CHECK`false).setBooleanParameter(CoreConnectionPNames.TCP_NODELAY`true).setParameter(CoreProtocolPNames.ORIGIN_SERVER`"HttpComponents/1.1");" is 330.
httpcomponents-core-rel-v4.1.4,org.apache.http.examples,RequestListenerThread,RequestListenerThread,Long Statement,The length of the statement "HttpProcessor httpproc=new ImmutableHttpProcessor(new HttpResponseInterceptor[]{new ResponseDate()`new ResponseServer()`new ResponseContent()`new ResponseConnControl()});" is 170.
httpcomponents-core-rel-v4.1.4,org.apache.http.examples,RequestListenerThread,RequestListenerThread,Long Statement,The length of the statement "this.httpService=new HttpService(httpproc`new DefaultConnectionReuseStrategy()`new DefaultHttpResponseFactory()`reqistry`this.params);" is 134.
httpcomponents-core-rel-v4.1.4,org.apache.http.examples,RequestListenerThread,RequestListenerThread,Magic Number,The method contains a magic number: 5000
