Project Name,Package Name,Architecture Smell,Cause of the Smell
httpcomponents-core-rel-v4.4.12,org.apache.http.examples,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ElementalHttpGet]; [ElementalHttpPost]; [ElementalPoolingHttpGet; WorkerThread]; [ElementalReverseProxy; ProxyHandler; RequestListenerThread; ProxyThread]; [HttpFileServer; StdErrorExceptionLogger; HttpFileHandler]; [PrintVersionInfo]. LCC (Lack of Component Cohesion) = 0.5
httpcomponents-core-rel-v4.4.12,<All packages>,Dense Structure, The tool detected the smell because all the analyzed components exhibit excessive and dense dependencies among themselves. Average degree = 13.16. All the dependencies among components: from: org.apache.http.examples to: org.apache.http.protocol; from: org.apache.http.examples to: org.apache.http; from: org.apache.http.examples to: org.apache.http.impl; from: org.apache.http.examples to: org.apache.http.message; from: org.apache.http.examples to: org.apache.http.util; from: org.apache.http.examples to: org.apache.http.entity; from: org.apache.http.examples to: org.apache.http.impl.pool; from: org.apache.http.examples to: org.apache.http.config; from: org.apache.http.examples to: org.apache.http.impl.bootstrap; from: org.apache.http.examples to: org.apache.http.ssl; from: org.apache.http.concurrent to: org.apache.http.util; from: org.apache.http.config to: org.apache.http; from: org.apache.http.config to: org.apache.http.util; from: org.apache.http to: org.apache.http.protocol; from: org.apache.http to: org.apache.http.util; from: org.apache.http to: org.apache.http.params; from: org.apache.http to: org.apache.http.nio.util; from: org.apache.http.entity to: org.apache.http; from: org.apache.http.entity to: org.apache.http.protocol; from: org.apache.http.entity to: org.apache.http.impl.io; from: org.apache.http.entity to: org.apache.http.util; from: org.apache.http.entity to: org.apache.http.message; from: org.apache.http.impl to: org.apache.http.impl.io; from: org.apache.http.impl to: org.apache.http.config; from: org.apache.http.impl to: org.apache.http.entity; from: org.apache.http.impl to: org.apache.http.io; from: org.apache.http.impl to: org.apache.http; from: org.apache.http.impl to: org.apache.http.impl.entity; from: org.apache.http.impl to: org.apache.http.protocol; from: org.apache.http.impl to: org.apache.http.util; from: org.apache.http.impl to: org.apache.http.params; from: org.apache.http.impl.bootstrap to: org.apache.http.config; from: org.apache.http.impl.bootstrap to: org.apache.http.protocol; from: org.apache.http.impl.bootstrap to: org.apache.http; from: org.apache.http.impl.bootstrap to: org.apache.http.impl; from: org.apache.http.impl.entity to: org.apache.http.entity; from: org.apache.http.impl.entity to: org.apache.http; from: org.apache.http.impl.entity to: org.apache.http.protocol; from: org.apache.http.impl.entity to: org.apache.http.util; from: org.apache.http.impl.entity to: org.apache.http.io; from: org.apache.http.impl.io to: org.apache.http.io; from: org.apache.http.impl.io to: org.apache.http.config; from: org.apache.http.impl.io to: org.apache.http.message; from: org.apache.http.impl.io to: org.apache.http.params; from: org.apache.http.impl.io to: org.apache.http.util; from: org.apache.http.impl.io to: org.apache.http; from: org.apache.http.impl.io to: org.apache.http.impl; from: org.apache.http.impl.io to: org.apache.http.protocol; from: org.apache.http.impl.pool to: org.apache.http.config; from: org.apache.http.impl.pool to: org.apache.http; from: org.apache.http.impl.pool to: org.apache.http.params; from: org.apache.http.impl.pool to: org.apache.http.impl; from: org.apache.http.impl.pool to: org.apache.http.util; from: org.apache.http.impl.pool to: org.apache.http.pool; from: org.apache.http.io to: org.apache.http.config; from: org.apache.http.io to: org.apache.http.util; from: org.apache.http.message to: org.apache.http.params; from: org.apache.http.message to: org.apache.http; from: org.apache.http.message to: org.apache.http.util; from: org.apache.http.message to: org.apache.http.protocol; from: org.apache.http.params to: org.apache.http.config; from: org.apache.http.params to: org.apache.http.util; from: org.apache.http.params to: org.apache.http; from: org.apache.http.params to: org.apache.http.protocol; from: org.apache.http.pool to: org.apache.http.concurrent; from: org.apache.http.pool to: org.apache.http.util; from: org.apache.http.pool to: org.apache.http; from: org.apache.http.protocol to: org.apache.http.util; from: org.apache.http.protocol to: org.apache.http; from: org.apache.http.protocol to: org.apache.http.params; from: org.apache.http.protocol to: org.apache.http.entity; from: org.apache.http.protocol to: org.apache.http.impl; from: org.apache.http.protocol to: org.apache.http.message; from: org.apache.http.ssl to: org.apache.http.util; from: org.apache.http.util to: org.apache.http.protocol; from: org.apache.http.util to: org.apache.http; from: org.apache.http.util to: org.apache.http.entity; from: org.apache.http.integration to: org.apache.http.testserver; from: org.apache.http.integration to: org.apache.http.entity; from: org.apache.http.integration to: org.apache.http.impl; from: org.apache.http.integration to: org.apache.http; from: org.apache.http.integration to: org.apache.http.message; from: org.apache.http.integration to: org.apache.http.protocol; from: org.apache.http.integration to: org.apache.http.util; from: org.apache.http.testserver to: org.apache.http.protocol; from: org.apache.http.testserver to: org.apache.http; from: org.apache.http.testserver to: org.apache.http.impl; from: org.apache.http.testserver to: org.apache.http.impl.bootstrap; from: org.apache.http.testserver to: org.apache.http.util; from: org.apache.http.testserver to: org.apache.http.config; from: org.apache.http.testserver to: org.apache.http.entity; from: org.apache.http.testserver to: org.apache.http.io; from: org.apache.http.benchmark to: org.apache.http.io; from: org.apache.http.benchmark to: org.apache.http.protocol; from: org.apache.http.benchmark to: org.apache.http; from: org.apache.http.benchmark to: org.apache.http.entity; from: org.apache.http.benchmark to: org.apache.http.impl; from: org.apache.http.benchmark to: org.apache.http.message; from: org.apache.http.benchmark to: org.apache.http.ssl; from: org.apache.http.benchmark to: org.apache.http.util; from: org.apache.http.examples.nio to: org.apache.http.nio.reactor; from: org.apache.http.examples.nio to: org.apache.http.protocol; from: org.apache.http.examples.nio to: org.apache.http.nio.protocol; from: org.apache.http.examples.nio to: org.apache.http.impl.nio.pool; from: org.apache.http.examples.nio to: org.apache.http; from: org.apache.http.examples.nio to: org.apache.http.message; from: org.apache.http.examples.nio to: org.apache.http.config; from: org.apache.http.examples.nio to: org.apache.http.impl.nio.reactor; from: org.apache.http.examples.nio to: org.apache.http.impl.nio.bootstrap; from: org.apache.http.examples.nio to: org.apache.http.nio.entity; from: org.apache.http.examples.nio to: org.apache.http.ssl; from: org.apache.http.examples.nio to: org.apache.http.entity; from: org.apache.http.examples.nio to: org.apache.http.nio; from: org.apache.http.examples.nio to: org.apache.http.nio.pool; from: org.apache.http.examples.nio to: org.apache.http.pool; from: org.apache.http.examples.nio to: org.apache.http.impl; from: org.apache.http.examples.nio to: org.apache.http.impl.nio; from: org.apache.http.impl.nio.bootstrap to: org.apache.http.impl.nio.reactor; from: org.apache.http.impl.nio.bootstrap to: org.apache.http.nio; from: org.apache.http.impl.nio.bootstrap to: org.apache.http; from: org.apache.http.impl.nio.bootstrap to: org.apache.http.nio.reactor; from: org.apache.http.impl.nio.bootstrap to: org.apache.http.config; from: org.apache.http.impl.nio.bootstrap to: org.apache.http.protocol; from: org.apache.http.impl.nio.bootstrap to: org.apache.http.nio.protocol; from: org.apache.http.impl.nio.bootstrap to: org.apache.http.impl; from: org.apache.http.impl.nio.codecs to: org.apache.http.nio.reactor; from: org.apache.http.impl.nio.codecs to: org.apache.http.impl.io; from: org.apache.http.impl.nio.codecs to: org.apache.http.util; from: org.apache.http.impl.nio.codecs to: org.apache.http.message; from: org.apache.http.impl.nio.codecs to: org.apache.http.config; from: org.apache.http.impl.nio.codecs to: org.apache.http.params; from: org.apache.http.impl.nio.codecs to: org.apache.http; from: org.apache.http.impl.nio.codecs to: org.apache.http.io; from: org.apache.http.impl.nio.codecs to: org.apache.http.impl; from: org.apache.http.impl.nio.codecs to: org.apache.http.nio; from: org.apache.http.impl.nio to: org.apache.http.nio; from: org.apache.http.impl.nio to: org.apache.http.config; from: org.apache.http.impl.nio to: org.apache.http.impl.nio.reactor; from: org.apache.http.impl.nio to: org.apache.http.params; from: org.apache.http.impl.nio to: org.apache.http.nio.reactor; from: org.apache.http.impl.nio to: org.apache.http.util; from: org.apache.http.impl.nio to: org.apache.http; from: org.apache.http.impl.nio to: org.apache.http.nio.util; from: org.apache.http.impl.nio to: org.apache.http.entity; from: org.apache.http.impl.nio to: org.apache.http.impl.nio.codecs; from: org.apache.http.impl.nio to: org.apache.http.impl; from: org.apache.http.impl.nio to: org.apache.http.impl.entity; from: org.apache.http.impl.nio to: org.apache.http.impl.io; from: org.apache.http.impl.nio to: org.apache.http.protocol; from: org.apache.http.impl.nio to: org.apache.http.io; from: org.apache.http.impl.nio to: org.apache.http.nio.reactor.ssl; from: org.apache.http.impl.nio to: org.apache.http.ssl; from: org.apache.http.impl.nio to: org.apache.http.nio.entity; from: org.apache.http.impl.nio to: org.apache.http.message; from: org.apache.http.impl.nio.pool to: org.apache.http.nio; from: org.apache.http.impl.nio.pool to: org.apache.http.nio.reactor.ssl; from: org.apache.http.impl.nio.pool to: org.apache.http; from: org.apache.http.impl.nio.pool to: org.apache.http.nio.util; from: org.apache.http.impl.nio.pool to: org.apache.http.params; from: org.apache.http.impl.nio.pool to: org.apache.http.config; from: org.apache.http.impl.nio.pool to: org.apache.http.nio.reactor; from: org.apache.http.impl.nio.pool to: org.apache.http.impl; from: org.apache.http.impl.nio.pool to: org.apache.http.util; from: org.apache.http.impl.nio.pool to: org.apache.http.nio.pool; from: org.apache.http.impl.nio.pool to: org.apache.http.concurrent; from: org.apache.http.impl.nio.reactor to: org.apache.http.nio.reactor; from: org.apache.http.impl.nio.reactor to: org.apache.http.util; from: org.apache.http.impl.nio.reactor to: org.apache.http.params; from: org.apache.http.impl.nio.reactor to: org.apache.http.nio.params; from: org.apache.http.impl.nio.reactor to: org.apache.http.config; from: org.apache.http.impl.nio.reactor to: org.apache.http.nio.util; from: org.apache.http.impl.nio.reactor to: org.apache.http.protocol; from: org.apache.http.impl.nio.reactor to: org.apache.http.nio.reactor.ssl; from: org.apache.http.impl.nio.reactor to: org.apache.http.nio.protocol; from: org.apache.http.impl.nio.reactor to: org.apache.http; from: org.apache.http.nio to: org.apache.http; from: org.apache.http.nio to: org.apache.http.nio.reactor; from: org.apache.http.nio to: org.apache.http.config; from: org.apache.http.nio.entity to: org.apache.http.nio; from: org.apache.http.nio.entity to: org.apache.http; from: org.apache.http.nio.entity to: org.apache.http.nio.util; from: org.apache.http.nio.entity to: org.apache.http.util; from: org.apache.http.nio.entity to: org.apache.http.entity; from: org.apache.http.nio.entity to: org.apache.http.protocol; from: org.apache.http.nio.params to: org.apache.http.params; from: org.apache.http.nio.params to: org.apache.http.util; from: org.apache.http.nio.pool to: org.apache.http.nio.reactor; from: org.apache.http.nio.pool to: org.apache.http.concurrent; from: org.apache.http.nio.pool to: org.apache.http.pool; from: org.apache.http.nio.pool to: org.apache.http.util; from: org.apache.http.nio.protocol to: org.apache.http; from: org.apache.http.nio.protocol to: org.apache.http.entity; from: org.apache.http.nio.protocol to: org.apache.http.nio; from: org.apache.http.nio.protocol to: org.apache.http.protocol; from: org.apache.http.nio.protocol to: org.apache.http.concurrent; from: org.apache.http.nio.protocol to: org.apache.http.impl; from: org.apache.http.nio.protocol to: org.apache.http.util; from: org.apache.http.nio.protocol to: org.apache.http.nio.util; from: org.apache.http.nio.protocol to: org.apache.http.nio.entity; from: org.apache.http.nio.protocol to: org.apache.http.pool; from: org.apache.http.nio.protocol to: org.apache.http.params; from: org.apache.http.nio.protocol to: org.apache.http.nio.params; from: org.apache.http.nio.protocol to: org.apache.http.message; from: org.apache.http.nio.protocol to: org.apache.http.impl.nio.pool; from: org.apache.http.nio.protocol to: org.apache.http.nio.reactor; from: org.apache.http.nio.reactor to: org.apache.http.util; from: org.apache.http.nio.reactor.ssl to: org.apache.http.util; from: org.apache.http.nio.reactor.ssl to: org.apache.http.nio.reactor; from: org.apache.http.nio.reactor.ssl to: org.apache.http; from: org.apache.http.nio.util to: org.apache.http.nio; from: org.apache.http.nio.util to: org.apache.http.util; from: org.apache.http.nio.util to: org.apache.http.nio.reactor; from: org.apache.http.nio.util to: org.apache.http.impl.io; from: org.apache.http.nio.util to: org.apache.http; from: org.apache.http.impl.nio.ssl to: org.apache.http.impl.nio.reactor; from: org.apache.http.impl.nio.ssl to: org.apache.http.nio; from: org.apache.http.impl.nio.ssl to: org.apache.http.params; from: org.apache.http.impl.nio.ssl to: org.apache.http.nio.reactor; from: org.apache.http.impl.nio.ssl to: org.apache.http.util; from: org.apache.http.nio.integration to: org.apache.http; from: org.apache.http.nio.integration to: org.apache.http.protocol; from: org.apache.http.nio.integration to: org.apache.http.nio.entity; from: org.apache.http.nio.integration to: org.apache.http.entity; from: org.apache.http.nio.integration to: org.apache.http.util; from: org.apache.http.nio.integration to: org.apache.http.nio.testserver; from: org.apache.http.nio.integration to: org.apache.http.config; from: org.apache.http.nio.integration to: org.apache.http.nio.protocol; from: org.apache.http.nio.integration to: org.apache.http.nio.reactor; from: org.apache.http.nio.integration to: org.apache.http.nio; from: org.apache.http.nio.integration to: org.apache.http.concurrent; from: org.apache.http.nio.integration to: org.apache.http.message; from: org.apache.http.nio.integration to: org.apache.http.nio.reactor.ssl; from: org.apache.http.nio.integration to: org.apache.http.ssl; from: org.apache.http.nio.integration to: org.apache.http.nio.util; from: org.apache.http.nio.integration to: org.apache.http.impl.io; from: org.apache.http.nio.testserver to: org.apache.http.nio.reactor.ssl; from: org.apache.http.nio.testserver to: org.apache.http.nio.reactor; from: org.apache.http.nio.testserver to: org.apache.http.protocol; from: org.apache.http.nio.testserver to: org.apache.http.impl.nio.reactor; from: org.apache.http.nio.testserver to: org.apache.http.impl.nio.pool; from: org.apache.http.nio.testserver to: org.apache.http.nio.protocol; from: org.apache.http.nio.testserver to: org.apache.http.nio; from: org.apache.http.nio.testserver to: org.apache.http.nio.pool; from: org.apache.http.nio.testserver to: org.apache.http; from: org.apache.http.nio.testserver to: org.apache.http.concurrent; from: org.apache.http.nio.testserver to: org.apache.http.impl.nio; from: org.apache.http.nio.testserver to: org.apache.http.config; from: org.apache.http.nio.testserver to: org.apache.http.ssl; from: org.apache.http.nio.testserver to: org.apache.http.impl.nio.bootstrap; from: org.apache.http.nio.testserver to: org.apache.http.util.
httpcomponents-core-rel-v4.4.12,org.apache.http.config,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.apache.http.util
httpcomponents-core-rel-v4.4.12,org.apache.http.config,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ConnectionConfig; Builder; MessageConstraints; Builder; SocketConfig; Builder]; [Lookup; Registry; RegistryBuilder; TestRegistry]. LCC (Lack of Component Cohesion) = 0.2
httpcomponents-core-rel-v4.4.12,org.apache.http,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 52
httpcomponents-core-rel-v4.4.12,org.apache.http,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.apache.http.protocol; org.apache.http.util; org.apache.http.params; org.apache.http.nio.util
httpcomponents-core-rel-v4.4.12,org.apache.http,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ConnectionClosedException; HttpException; MethodNotSupportedException; NoHttpResponseException; ProtocolException; TruncatedChunkException; UnsupportedHttpVersionException; TestHttpExceptions; ContentTooLongException; MalformedChunkCodingException]; [ConnectionReuseStrategy; HttpResponse; HttpResponseInterceptor; HttpServerConnection; ProtocolVersion; StatusLine; TestHttpVersion; FormattedHeader; Header; HttpMessage; HttpRequest; HttpRequestInterceptor; NameValuePair; HttpClientConnection; HttpConnection; HttpEntityEnclosingRequest; HttpInetConnection; HttpEntity; HttpResponseFactory; HttpVersion]; [Consts]; [ExceptionLogger]; [HeaderElement]; [HeaderElementIterator]; [HeaderIterator]; [HttpConnectionFactory]; [HttpConnectionMetrics]; [HttpHeaders]; [HttpHost; TestHttpHost]; [HttpRequestFactory; RequestLine]; [HttpStatus]; [MessageConstraintException]; [ParseException]; [ReasonPhraseCatalog]; [TokenIterator]; [ByteChannelMock; ReadableByteChannelMock; WritableByteChannelMock; InternalBuffer]; [OoopsieRuntimeException]. LCC (Lack of Component Cohesion) = 0.37
httpcomponents-core-rel-v4.4.12,org.apache.http.entity,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.apache.http.impl.io; org.apache.http.message
httpcomponents-core-rel-v4.4.12,org.apache.http.impl,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.apache.http.impl.io; org.apache.http.impl.entity
httpcomponents-core-rel-v4.4.12,org.apache.http.impl,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [BHttpConnectionBase; DefaultBHttpClientConnection; DefaultBHttpClientConnectionFactory; DefaultBHttpServerConnection; DefaultBHttpServerConnectionFactory; HttpConnectionMetricsImpl; AbstractHttpClientConnection; AbstractHttpServerConnection; SocketHttpClientConnection; SocketHttpServerConnection; TestBHttpConnectionBase; TestDefaultBHttpClientConnection; TestDefaultBHttpServerConnection; ConnSupport; DefaultHttpRequestFactory; DefaultHttpResponseFactory; EnglishReasonPhraseCatalog; TestEnglishReasonPhraseCatalog; DefaultHttpClientConnection; DefaultHttpServerConnection]; [DefaultConnectionReuseStrategy; TestDefaultConnectionReuseStrategy]; [NoConnectionReuseStrategy; TestNoConnectionReuseStrategy]; [SessionInputBufferMock]; [SessionOutputBufferMock]; [TestBasicRequest]. LCC (Lack of Component Cohesion) = 0.22
