Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
httpcomponents-core-rel-v4.4.12,org.apache.http.examples,ElementalHttpGet,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
httpcomponents-core-rel-v4.4.12,org.apache.http.examples,ElementalHttpPost,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
httpcomponents-core-rel-v4.4.12,org.apache.http.examples,ElementalPoolingHttpGet,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
httpcomponents-core-rel-v4.4.12,org.apache.http.examples,ElementalReverseProxy,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
httpcomponents-core-rel-v4.4.12,org.apache.http.config,ConnectionConfig,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: DEFAULT; bufferSize; fragmentSizeHint; charset; malformedInputAction; unmappableInputAction; messageConstraints; bufferSize; fragmentSizeHint; charset; malformedInputAction; unmappableInputAction; messageConstraints
httpcomponents-core-rel-v4.4.12,org.apache.http.config,ConnectionConfig,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: ConnectionConfig; MessageConstraints; Builder
httpcomponents-core-rel-v4.4.12,org.apache.http.config,MessageConstraints,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: DEFAULT; maxLineLength; maxHeaderCount; maxLineLength; maxHeaderCount
httpcomponents-core-rel-v4.4.12,org.apache.http.config,Builder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
httpcomponents-core-rel-v4.4.12,org.apache.http.config,SocketConfig,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: DEFAULT; soTimeout; soReuseAddress; soLinger; soKeepAlive; tcpNoDelay; sndBufSize; rcvBufSize; backlogSize; soTimeout; soReuseAddress; soLinger; soKeepAlive; tcpNoDelay; sndBufSize; rcvBufSize; backlogSize
httpcomponents-core-rel-v4.4.12,org.apache.http.config,SocketConfig,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 20 public methods
httpcomponents-core-rel-v4.4.12,org.apache.http.config,Builder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
httpcomponents-core-rel-v4.4.12,org.apache.http,Consts,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: CR; LF; SP; HT; UTF_8; ASCII; ISO_8859_1
httpcomponents-core-rel-v4.4.12,org.apache.http,ContentTooLongException,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
httpcomponents-core-rel-v4.4.12,org.apache.http,ExceptionLogger,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: NO_OP; STD_ERR
httpcomponents-core-rel-v4.4.12,org.apache.http,FormattedHeader,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
httpcomponents-core-rel-v4.4.12,org.apache.http,HttpHeaders,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: ACCEPT; ACCEPT_CHARSET; ACCEPT_ENCODING; ACCEPT_LANGUAGE; ACCEPT_RANGES; AGE; ALLOW; AUTHORIZATION; CACHE_CONTROL; CONNECTION; CONTENT_ENCODING; CONTENT_LANGUAGE; CONTENT_LENGTH; CONTENT_LOCATION; CONTENT_MD5; CONTENT_RANGE; CONTENT_TYPE; DATE; DAV; DEPTH; DESTINATION; ETAG; EXPECT; EXPIRES; FROM; HOST; IF; IF_MATCH; IF_MODIFIED_SINCE; IF_NONE_MATCH; IF_RANGE; IF_UNMODIFIED_SINCE; LAST_MODIFIED; LOCATION; LOCK_TOKEN; MAX_FORWARDS; OVERWRITE; PRAGMA; PROXY_AUTHENTICATE; PROXY_AUTHORIZATION; RANGE; REFERER; RETRY_AFTER; SERVER; STATUS_URI; TE; TIMEOUT; TRAILER; TRANSFER_ENCODING; UPGRADE; USER_AGENT; VARY; VIA; WARNING; WWW_AUTHENTICATE
httpcomponents-core-rel-v4.4.12,org.apache.http,HttpHost,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: serialVersionUID; DEFAULT_SCHEME_NAME; hostname; lcHostname; port; schemeName; address
httpcomponents-core-rel-v4.4.12,org.apache.http,HttpStatus,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: SC_CONTINUE; SC_SWITCHING_PROTOCOLS; SC_PROCESSING; SC_OK; SC_CREATED; SC_ACCEPTED; SC_NON_AUTHORITATIVE_INFORMATION; SC_NO_CONTENT; SC_RESET_CONTENT; SC_PARTIAL_CONTENT; SC_MULTI_STATUS; SC_MULTIPLE_CHOICES; SC_MOVED_PERMANENTLY; SC_MOVED_TEMPORARILY; SC_SEE_OTHER; SC_NOT_MODIFIED; SC_USE_PROXY; SC_TEMPORARY_REDIRECT; SC_BAD_REQUEST; SC_UNAUTHORIZED; SC_PAYMENT_REQUIRED; SC_FORBIDDEN; SC_NOT_FOUND; SC_METHOD_NOT_ALLOWED; SC_NOT_ACCEPTABLE; SC_PROXY_AUTHENTICATION_REQUIRED; SC_REQUEST_TIMEOUT; SC_CONFLICT; SC_GONE; SC_LENGTH_REQUIRED; SC_PRECONDITION_FAILED; SC_REQUEST_TOO_LONG; SC_REQUEST_URI_TOO_LONG; SC_UNSUPPORTED_MEDIA_TYPE; SC_REQUESTED_RANGE_NOT_SATISFIABLE; SC_EXPECTATION_FAILED; SC_INSUFFICIENT_SPACE_ON_RESOURCE; SC_METHOD_FAILURE; SC_UNPROCESSABLE_ENTITY; SC_LOCKED; SC_FAILED_DEPENDENCY; SC_INTERNAL_SERVER_ERROR; SC_NOT_IMPLEMENTED; SC_BAD_GATEWAY; SC_SERVICE_UNAVAILABLE; SC_GATEWAY_TIMEOUT; SC_HTTP_VERSION_NOT_SUPPORTED; SC_INSUFFICIENT_STORAGE
httpcomponents-core-rel-v4.4.12,org.apache.http,HttpStatus,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: SC_CONTINUE; SC_SWITCHING_PROTOCOLS; SC_PROCESSING; SC_OK; SC_CREATED; SC_ACCEPTED; SC_NON_AUTHORITATIVE_INFORMATION; SC_NO_CONTENT; SC_RESET_CONTENT; SC_PARTIAL_CONTENT; SC_MULTI_STATUS; SC_MULTIPLE_CHOICES; SC_MOVED_PERMANENTLY; SC_MOVED_TEMPORARILY; SC_SEE_OTHER; SC_NOT_MODIFIED; SC_USE_PROXY; SC_TEMPORARY_REDIRECT; SC_BAD_REQUEST; SC_UNAUTHORIZED; SC_PAYMENT_REQUIRED; SC_FORBIDDEN; SC_NOT_FOUND; SC_METHOD_NOT_ALLOWED; SC_NOT_ACCEPTABLE; SC_PROXY_AUTHENTICATION_REQUIRED; SC_REQUEST_TIMEOUT; SC_CONFLICT; SC_GONE; SC_LENGTH_REQUIRED; SC_PRECONDITION_FAILED; SC_REQUEST_TOO_LONG; SC_REQUEST_URI_TOO_LONG; SC_UNSUPPORTED_MEDIA_TYPE; SC_REQUESTED_RANGE_NOT_SATISFIABLE; SC_EXPECTATION_FAILED; SC_INSUFFICIENT_SPACE_ON_RESOURCE; SC_METHOD_FAILURE; SC_UNPROCESSABLE_ENTITY; SC_LOCKED; SC_FAILED_DEPENDENCY; SC_INTERNAL_SERVER_ERROR; SC_NOT_IMPLEMENTED; SC_BAD_GATEWAY; SC_SERVICE_UNAVAILABLE; SC_GATEWAY_TIMEOUT; SC_HTTP_VERSION_NOT_SUPPORTED; SC_INSUFFICIENT_STORAGE
httpcomponents-core-rel-v4.4.12,org.apache.http,HttpVersion,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: serialVersionUID; HTTP; HTTP_0_9; HTTP_1_0; HTTP_1_1
httpcomponents-core-rel-v4.4.12,org.apache.http,MessageConstraintException,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
