Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path
httpcomponents-core-rel-v4.4.12,org.apache.http.examples,ElementalHttpGet,0,0,1,1,40,4,0,0,-1.0,0,11,c:\sources\httpcomponents-core-rel-v4.4.12\httpcore\src\examples\org\apache\http\examples\ElementalHttpGet.java
httpcomponents-core-rel-v4.4.12,org.apache.http.examples,ElementalHttpPost,0,0,1,1,41,4,0,0,-1.0,0,14,c:\sources\httpcomponents-core-rel-v4.4.12\httpcore\src\examples\org\apache\http\examples\ElementalHttpPost.java
httpcomponents-core-rel-v4.4.12,org.apache.http.examples,ElementalPoolingHttpGet,1,0,3,2,67,8,0,0,0.0,0,14,c:\sources\httpcomponents-core-rel-v4.4.12\httpcore\src\examples\org\apache\http\examples\ElementalPoolingHttpGet.java
httpcomponents-core-rel-v4.4.12,org.apache.http.examples,WorkerThread,1,0,2,1,43,3,0,0,0.0,1,9,c:\sources\httpcomponents-core-rel-v4.4.12\httpcore\src\examples\org\apache\http\examples\ElementalPoolingHttpGet.java
httpcomponents-core-rel-v4.4.12,org.apache.http.examples,ElementalReverseProxy,13,0,7,7,163,14,0,0,0.2857142857142857,0,17,c:\sources\httpcomponents-core-rel-v4.4.12\httpcore\src\examples\org\apache\http\examples\ElementalReverseProxy.java
httpcomponents-core-rel-v4.4.12,org.apache.http.examples,ProxyHandler,4,0,2,2,49,3,0,0,0.0,2,11,c:\sources\httpcomponents-core-rel-v4.4.12\httpcore\src\examples\org\apache\http\examples\ElementalReverseProxy.java
httpcomponents-core-rel-v4.4.12,org.apache.http.examples,RequestListenerThread,3,0,2,2,38,3,0,0,0.0,1,9,c:\sources\httpcomponents-core-rel-v4.4.12\httpcore\src\examples\org\apache\http\examples\ElementalReverseProxy.java
httpcomponents-core-rel-v4.4.12,org.apache.http.examples,ProxyThread,3,0,2,2,53,5,0,0,0.0,2,4,c:\sources\httpcomponents-core-rel-v4.4.12\httpcore\src\examples\org\apache\http\examples\ElementalReverseProxy.java
httpcomponents-core-rel-v4.4.12,org.apache.http.examples,HttpFileServer,1,0,5,5,88,15,0,0,0.8,1,18,c:\sources\httpcomponents-core-rel-v4.4.12\httpcore\src\examples\org\apache\http\examples\HttpFileServer.java
httpcomponents-core-rel-v4.4.12,org.apache.http.examples,StdErrorExceptionLogger,0,0,1,1,13,3,0,0,-1.0,1,0,c:\sources\httpcomponents-core-rel-v4.4.12\httpcore\src\examples\org\apache\http\examples\HttpFileServer.java
httpcomponents-core-rel-v4.4.12,org.apache.http.examples,HttpFileHandler,1,0,2,2,40,6,0,0,0.0,1,11,c:\sources\httpcomponents-core-rel-v4.4.12\httpcore\src\examples\org\apache\http\examples\HttpFileServer.java
httpcomponents-core-rel-v4.4.12,org.apache.http.examples,PrintVersionInfo,1,0,1,1,23,3,0,0,0.0,1,2,c:\sources\httpcomponents-core-rel-v4.4.12\httpcore\src\examples\org\apache\http\examples\PrintVersionInfo.java
httpcomponents-core-rel-v4.4.12,org.apache.http.concurrent,BasicFuture,5,0,10,9,106,24,0,1,0.0,12,2,c:\sources\httpcomponents-core-rel-v4.4.12\httpcore\src\main\java\org\apache\http\concurrent\BasicFuture.java
httpcomponents-core-rel-v4.4.12,org.apache.http.concurrent,Cancellable,0,0,1,0,11,1,1,0,-1.0,6,0,c:\sources\httpcomponents-core-rel-v4.4.12\httpcore\src\main\java\org\apache\http\concurrent\Cancellable.java
httpcomponents-core-rel-v4.4.12,org.apache.http.concurrent,FutureCallback,0,0,3,0,10,3,1,0,-1.0,13,0,c:\sources\httpcomponents-core-rel-v4.4.12\httpcore\src\main\java\org\apache\http\concurrent\FutureCallback.java
httpcomponents-core-rel-v4.4.12,org.apache.http.concurrent,BasicFutureCallback,5,0,8,8,33,8,0,1,0.375,1,0,c:\sources\httpcomponents-core-rel-v4.4.12\httpcore\src\test\java\org\apache\http\concurrent\BasicFutureCallback.java
httpcomponents-core-rel-v4.4.12,org.apache.http.concurrent,TestBasicFuture,0,0,13,13,163,13,0,0,-1.0,0,2,c:\sources\httpcomponents-core-rel-v4.4.12\httpcore\src\test\java\org\apache\http\concurrent\TestBasicFuture.java
httpcomponents-core-rel-v4.4.12,org.apache.http.config,ConnectionConfig,13,1,19,16,105,22,0,0,0.15789473684210525,28,5,c:\sources\httpcomponents-core-rel-v4.4.12\httpcore\src\main\java\org\apache\http\config\ConnectionConfig.java
httpcomponents-core-rel-v4.4.12,org.apache.http.config,Builder,6,0,8,7,50,11,0,0,0.0,3,3,c:\sources\httpcomponents-core-rel-v4.4.12\httpcore\src\main\java\org\apache\http\config\ConnectionConfig.java
httpcomponents-core-rel-v4.4.12,org.apache.http.config,Lookup,0,0,1,0,7,1,1,0,-1.0,0,0,c:\sources\httpcomponents-core-rel-v4.4.12\httpcore\src\main\java\org\apache\http\config\Lookup.java
httpcomponents-core-rel-v4.4.12,org.apache.http.config,MessageConstraints,5,1,12,9,57,12,0,0,0.3333333333333333,38,3,c:\sources\httpcomponents-core-rel-v4.4.12\httpcore\src\main\java\org\apache\http\config\MessageConstraints.java
httpcomponents-core-rel-v4.4.12,org.apache.http.config,Builder,2,0,4,3,19,4,0,0,0.0,0,1,c:\sources\httpcomponents-core-rel-v4.4.12\httpcore\src\main\java\org\apache\http\config\MessageConstraints.java
httpcomponents-core-rel-v4.4.12,org.apache.http.config,Registry,1,0,3,2,20,4,0,1,0.0,2,0,c:\sources\httpcomponents-core-rel-v4.4.12\httpcore\src\main\java\org\apache\http\config\Registry.java
httpcomponents-core-rel-v4.4.12,org.apache.http.config,RegistryBuilder,1,0,5,4,26,5,0,0,0.4,2,3,c:\sources\httpcomponents-core-rel-v4.4.12\httpcore\src\main\java\org\apache\http\config\RegistryBuilder.java
httpcomponents-core-rel-v4.4.12,org.apache.http.config,SocketConfig,17,1,23,20,165,23,0,0,0.13043478260869565,11,3,c:\sources\httpcomponents-core-rel-v4.4.12\httpcore\src\main\java\org\apache\http\config\SocketConfig.java
httpcomponents-core-rel-v4.4.12,org.apache.http.config,Builder,8,0,10,9,58,10,0,0,0.0,0,1,c:\sources\httpcomponents-core-rel-v4.4.12\httpcore\src\main\java\org\apache\http\config\SocketConfig.java
httpcomponents-core-rel-v4.4.12,org.apache.http.config,TestRegistry,0,0,1,1,9,1,0,0,-1.0,0,2,c:\sources\httpcomponents-core-rel-v4.4.12\httpcore\src\test\java\org\apache\http\config\TestRegistry.java
httpcomponents-core-rel-v4.4.12,org.apache.http,ConnectionClosedException,1,0,3,3,30,3,0,0,1.0,3,1,c:\sources\httpcomponents-core-rel-v4.4.12\httpcore\src\main\java\org\apache\http\ConnectionClosedException.java
httpcomponents-core-rel-v4.4.12,org.apache.http,ConnectionReuseStrategy,0,0,1,0,13,1,0,0,-1.0,30,2,c:\sources\httpcomponents-core-rel-v4.4.12\httpcore\src\main\java\org\apache\http\ConnectionReuseStrategy.java
httpcomponents-core-rel-v4.4.12,org.apache.http,Consts,7,7,1,0,15,1,0,0,0.0,41,0,c:\sources\httpcomponents-core-rel-v4.4.12\httpcore\src\main\java\org\apache\http\Consts.java
httpcomponents-core-rel-v4.4.12,org.apache.http,ContentTooLongException,1,0,2,2,23,2,0,0,1.0,0,1,c:\sources\httpcomponents-core-rel-v4.4.12\httpcore\src\main\java\org\apache\http\ContentTooLongException.java
httpcomponents-core-rel-v4.4.12,org.apache.http,ExceptionLogger,2,2,3,2,17,3,0,0,-1.0,11,1,c:\sources\httpcomponents-core-rel-v4.4.12\httpcore\src\main\java\org\apache\http\ExceptionLogger.java
httpcomponents-core-rel-v4.4.12,org.apache.http,FormattedHeader,0,0,2,0,16,2,0,2,-1.0,0,0,c:\sources\httpcomponents-core-rel-v4.4.12\httpcore\src\main\java\org\apache\http\FormattedHeader.java
httpcomponents-core-rel-v4.4.12,org.apache.http,Header,0,0,1,0,12,1,1,1,-1.0,43,0,c:\sources\httpcomponents-core-rel-v4.4.12\httpcore\src\main\java\org\apache\http\Header.java
httpcomponents-core-rel-v4.4.12,org.apache.http,HeaderElement,0,0,6,0,38,6,0,0,-1.0,15,0,c:\sources\httpcomponents-core-rel-v4.4.12\httpcore\src\main\java\org\apache\http\HeaderElement.java
httpcomponents-core-rel-v4.4.12,org.apache.http,HeaderElementIterator,0,0,2,0,16,2,0,0,-1.0,1,0,c:\sources\httpcomponents-core-rel-v4.4.12\httpcore\src\main\java\org\apache\http\HeaderElementIterator.java
