Project Name,Package Name,Type Name,Method Name,LOC,CC,PC
mina-sshd-sshd-0.14.0,org.apache.sshd.agent.common,AbstractAgentClient,AbstractAgentClient,3,1,1
mina-sshd-sshd-0.14.0,org.apache.sshd.agent.common,AbstractAgentClient,messageReceived,26,3,1
mina-sshd-sshd-0.14.0,org.apache.sshd.agent.common,AbstractAgentClient,process,52,7,2
mina-sshd-sshd-0.14.0,org.apache.sshd.agent.common,AbstractAgentClient,prepare,10,1,1
mina-sshd-sshd-0.14.0,org.apache.sshd.agent.common,AbstractAgentClient,reply,0,1,1
mina-sshd-sshd-0.14.0,org.apache.sshd.agent.common,AbstractAgentProxy,getIdentities,18,4,0
mina-sshd-sshd-0.14.0,org.apache.sshd.agent.common,AbstractAgentProxy,sign,13,2,2
mina-sshd-sshd-0.14.0,org.apache.sshd.agent.common,AbstractAgentProxy,addIdentity,9,2,2
mina-sshd-sshd-0.14.0,org.apache.sshd.agent.common,AbstractAgentProxy,removeIdentity,8,2,1
mina-sshd-sshd-0.14.0,org.apache.sshd.agent.common,AbstractAgentProxy,removeAllIdentities,7,2,0
mina-sshd-sshd-0.14.0,org.apache.sshd.agent.common,AbstractAgentProxy,close,2,1,0
mina-sshd-sshd-0.14.0,org.apache.sshd.agent.common,AbstractAgentProxy,createBuffer,6,1,1
mina-sshd-sshd-0.14.0,org.apache.sshd.agent.common,AbstractAgentProxy,prepare,7,1,1
mina-sshd-sshd-0.14.0,org.apache.sshd.agent.common,AbstractAgentProxy,request,0,1,1
mina-sshd-sshd-0.14.0,org.apache.sshd.agent.common,AgentDelegate,AgentDelegate,3,1,1
mina-sshd-sshd-0.14.0,org.apache.sshd.agent.common,AgentDelegate,close,2,1,0
mina-sshd-sshd-0.14.0,org.apache.sshd.agent.common,AgentDelegate,getIdentities,3,1,0
mina-sshd-sshd-0.14.0,org.apache.sshd.agent.common,AgentDelegate,sign,3,1,2
mina-sshd-sshd-0.14.0,org.apache.sshd.agent.common,AgentDelegate,addIdentity,3,1,2
mina-sshd-sshd-0.14.0,org.apache.sshd.agent.common,AgentDelegate,removeIdentity,3,1,1
mina-sshd-sshd-0.14.0,org.apache.sshd.agent.common,AgentDelegate,removeAllIdentities,3,1,0
mina-sshd-sshd-0.14.0,org.apache.sshd.agent.common,AgentForwardSupport,AgentForwardSupport,3,1,1
mina-sshd-sshd-0.14.0,org.apache.sshd.agent.common,AgentForwardSupport,initialize,15,2,0
