Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path
1.3.0,org.apache.sshd.common.compression,DeflatingInputStream,6,0,10,9,124,22,0,0,0.4,0,3,c:\sources\mina-sshd\1.3.0\sshd-contrib\src\main\java\org\apache\sshd\common\compression\DeflatingInputStream.java
1.3.0,org.apache.sshd.common.compression,BaseCompression,1,0,4,3,18,4,2,2,0.5,0,1,c:\sources\mina-sshd\1.3.0\sshd-core\src\main\java\org\apache\sshd\common\compression\BaseCompression.java
1.3.0,org.apache.sshd.common.compression,ParseResult,1,1,1,1,10,1,0,0,0.0,2,1,c:\sources\mina-sshd\1.3.0\sshd-core\src\main\java\org\apache\sshd\common\compression\BuiltinCompressions.java
1.3.0,org.apache.sshd.common.compression,Constants,3,3,0,0,5,0,0,0,-1.0,0,0,c:\sources\mina-sshd\1.3.0\sshd-core\src\main\java\org\apache\sshd\common\compression\BuiltinCompressions.java
1.3.0,org.apache.sshd.common.compression,Compression,0,0,3,0,29,3,1,1,-1.0,1,1,c:\sources\mina-sshd\1.3.0\sshd-core\src\main\java\org\apache\sshd\common\compression\Compression.java
1.3.0,org.apache.sshd.common.compression,CompressionDelayedZlib,0,0,2,2,16,2,0,4,-1.0,0,0,c:\sources\mina-sshd\1.3.0\sshd-core\src\main\java\org\apache\sshd\common\compression\CompressionDelayedZlib.java
1.3.0,org.apache.sshd.common.compression,CompressionFactory,0,0,0,0,5,0,0,1,-1.0,3,0,c:\sources\mina-sshd\1.3.0\sshd-core\src\main\java\org\apache\sshd\common\compression\CompressionFactory.java
1.3.0,org.apache.sshd.common.compression,CompressionInformation,0,0,2,0,14,2,2,0,-1.0,0,0,c:\sources\mina-sshd\1.3.0\sshd-core\src\main\java\org\apache\sshd\common\compression\CompressionInformation.java
1.3.0,org.apache.sshd.common.compression,CompressionNone,2,0,7,7,36,10,0,3,0.5714285714285714,0,1,c:\sources\mina-sshd\1.3.0\sshd-core\src\main\java\org\apache\sshd\common\compression\CompressionNone.java
1.3.0,org.apache.sshd.common.compression,CompressionZlib,4,0,6,5,46,8,1,3,0.6666666666666666,0,1,c:\sources\mina-sshd\1.3.0\sshd-core\src\main\java\org\apache\sshd\common\compression\CompressionZlib.java
1.3.0,org.apache.sshd.common.compression,BuiltinCompressionsTest,0,0,8,8,106,19,0,0,-1.0,0,5,c:\sources\mina-sshd\1.3.0\sshd-core\src\test\java\org\apache\sshd\common\compression\BuiltinCompressionsTest.java
1.3.0,org.apache.sshd.common.compression,CompressionTest,5,0,8,8,91,15,0,0,0.25,0,8,c:\sources\mina-sshd\1.3.0\sshd-core\src\test\java\org\apache\sshd\common\compression\CompressionTest.java
1.3.0,org.apache.sshd.common.util.io,ExposedBufferByteArrayOutputStream,0,0,3,3,15,3,0,0,-1.0,1,0,c:\sources\mina-sshd\1.3.0\sshd-contrib\src\main\java\org\apache\sshd\common\util\io\ExposedBufferByteArrayOutputStream.java
1.3.0,org.apache.sshd.common.util.io,CloseableEmptyInputStream,1,0,8,8,58,14,0,1,0.25,1,0,c:\sources\mina-sshd\1.3.0\sshd-core\src\main\java\org\apache\sshd\common\util\io\CloseableEmptyInputStream.java
1.3.0,org.apache.sshd.common.util.io,DERParser,2,1,5,5,64,13,0,0,0.8,0,2,c:\sources\mina-sshd\1.3.0\sshd-core\src\main\java\org\apache\sshd\common\util\io\DERParser.java
1.3.0,org.apache.sshd.common.util.io,DERWriter,1,0,9,9,64,15,0,0,0.6666666666666666,0,4,c:\sources\mina-sshd\1.3.0\sshd-core\src\main\java\org\apache\sshd\common\util\io\DERWriter.java
1.3.0,org.apache.sshd.common.util.io,DirectoryScanner,4,0,13,9,202,36,0,0,0.15384615384615385,1,2,c:\sources\mina-sshd\1.3.0\sshd-core\src\main\java\org\apache\sshd\common\util\io\DirectoryScanner.java
1.3.0,org.apache.sshd.common.util.io,EmptyInputStream,1,1,7,7,27,7,1,0,1.0,2,1,c:\sources\mina-sshd\1.3.0\sshd-core\src\main\java\org\apache\sshd\common\util\io\EmptyInputStream.java
1.3.0,org.apache.sshd.common.util.io,FileInfoExtractor,7,0,1,0,14,1,0,0,-1.0,2,1,c:\sources\mina-sshd\1.3.0\sshd-core\src\main\java\org\apache\sshd\common\util\io\FileInfoExtractor.java
1.3.0,org.apache.sshd.common.util.io,InputStreamWithChannel,0,0,1,0,8,1,0,0,-1.0,0,0,c:\sources\mina-sshd\1.3.0\sshd-core\src\main\java\org\apache\sshd\common\util\io\InputStreamWithChannel.java
1.3.0,org.apache.sshd.common.util.io,IoUtils,9,7,23,22,332,54,0,0,0.6086956521739131,69,3,c:\sources\mina-sshd\1.3.0\sshd-core\src\main\java\org\apache\sshd\common\util\io\IoUtils.java
1.3.0,org.apache.sshd.common.util.io,LimitInputStream,2,0,7,7,69,16,0,0,0.0,1,0,c:\sources\mina-sshd\1.3.0\sshd-core\src\main\java\org\apache\sshd\common\util\io\LimitInputStream.java
1.3.0,org.apache.sshd.common.util.io,LoggingFilterOutputStream,4,0,4,4,29,4,0,0,0.0,0,5,c:\sources\mina-sshd\1.3.0\sshd-core\src\main\java\org\apache\sshd\common\util\io\LoggingFilterOutputStream.java
1.3.0,org.apache.sshd.common.util.io,ModifiableFileWatcher,6,1,12,12,146,28,0,0,0.0,1,4,c:\sources\mina-sshd\1.3.0\sshd-core\src\main\java\org\apache\sshd\common\util\io\ModifiableFileWatcher.java
1.3.0,org.apache.sshd.common.util.io,NoCloseInputStream,0,0,3,3,19,4,0,0,-1.0,6,1,c:\sources\mina-sshd\1.3.0\sshd-core\src\main\java\org\apache\sshd\common\util\io\NoCloseInputStream.java
1.3.0,org.apache.sshd.common.util.io,NoCloseOutputStream,0,0,3,3,19,4,0,0,-1.0,2,1,c:\sources\mina-sshd\1.3.0\sshd-core\src\main\java\org\apache\sshd\common\util\io\NoCloseOutputStream.java
1.3.0,org.apache.sshd.common.util.io,NoCloseReader,0,0,3,3,18,4,0,0,-1.0,6,1,c:\sources\mina-sshd\1.3.0\sshd-core\src\main\java\org\apache\sshd\common\util\io\NoCloseReader.java
