Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
2.1.0,org.apache.sshd.cli.client,ScpCommandMain,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: SCP_PORT_OPTION
2.1.0,org.apache.sshd.cli.client,ScpCommandMain,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): SshClientCliSupport
2.1.0,org.apache.sshd.cli.client,SftpCommandExecutor,Wide Hierarchy,The tool detected the smell in this class because the number of children for the class is large. This class has following sub-classes: ExitCommandExecutor; PwdCommandExecutor; SessionCommandExecutor; ClientCommandExecutor; InfoCommandExecutor; VersionCommandExecutor; MkdirCommandExecutor; LsCommandExecutor; RmCommandExecutor; RmdirCommandExecutor; RenameCommandExecutor; StatVfsCommandExecutor; LStatCommandExecutor; ReadLinkCommandExecutor; HelpCommandExecutor; TransferCommandExecutor
2.1.0,org.apache.sshd.cli.client,SftpCommandMain,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: SFTP_PORT_OPTION; client; commandsMap; cwdRemote; cwdLocal
2.1.0,org.apache.sshd.cli.client,SftpCommandMain,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): SshClientCliSupport
2.1.0,org.apache.sshd.cli.client,SftpCommandMain,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 50 public methods
2.1.0,org.apache.sshd.cli.client,GetCommandExecutor,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): TransferCommandExecutor
2.1.0,org.apache.sshd.cli.client,PutCommandExecutor,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): TransferCommandExecutor
2.1.0,org.apache.sshd.cli.client,SshClientCliSupport,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: SSH_CLIENT_PORT_OPTION
2.1.0,org.apache.sshd.cli.client,SshClientCliSupport,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 26 public methods
2.1.0,org.apache.sshd.cli.client,SshClientMain,Imperative Abstraction,The tool detected the smell in this class because it looks like that an operation is turned into a class. This class contains only the following public method: main
2.1.0,org.apache.sshd.cli.client,SshClientMain,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): SshClientCliSupport
2.1.0,org.apache.sshd.cli.client,SshKeyScanMain,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: DEFAULT_KEY_TYPES; DEFAULT_TIMEOUT; DEFAULT_LEVEL; open; client; port; timeout; keyTypes; input; level; currentHostFingerprints
2.1.0,org.apache.sshd.cli.client,SshKeyScanMain,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 32 public methods
2.1.0,org.apache.sshd.cli.client,ScpCommandMainDevelopment,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
2.1.0,org.apache.sshd.cli.client,SftpCommandMainDevelopment,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
2.1.0,org.apache.sshd.cli.client,SshClientMainDevelopment,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
2.1.0,org.apache.sshd.cli.client,SshKeyScanMainDevelopment,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
2.1.0,org.apache.sshd.cli,CliSupport,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
2.1.0,org.apache.sshd.cli,CliSupport,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: DEFAULT_IO_SERVICE_FACTORY; out
2.1.0,org.apache.sshd.cli.server,SshServerCliSupport,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: SHELL_FACTORY_OPTION; DEFAULT_SHELL_FACTORY
2.1.0,org.apache.sshd.cli.server,SshServerMain,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): SshServerCliSupport
2.1.0,org.apache.sshd.cli.server,SshFsMounter,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: command; cmdName; args; username; stdin; stdout; stderr; callback; executor; future; INSTANCE
2.1.0,org.apache.sshd.cli.server,SshFsMounter,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): SshServerCliSupport
2.1.0,org.apache.sshd.cli.server,MounterCommandFactory,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: INSTANCE
2.1.0,org.apache.sshd.cli.server,SshServerMainDevelopment,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
2.1.0,org.apache.sshd.client.auth,AbstractUserAuth,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
2.1.0,org.apache.sshd.client.auth,AbstractUserAuthFactory,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
2.1.0,org.apache.sshd.client.auth,ParseResult,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: EMPTY
