Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell
2.1.0,org.apache.sshd.cli.client,ScpCommandMain,normalizeCommandArguments,Complex Conditional,The conditional expression "-r".equals(argName) || "-p".equals(argName) || "-q".equals(argName)|| "-C".equals(argName)|| "-v".equals(argName)|| "-vv".equals(argName)|| "-vvv".equals(argName) is complex.
2.1.0,org.apache.sshd.cli.client,ScpCommandMain,normalizeCommandArguments,Complex Method,Cyclomatic complexity of the method is 11
2.1.0,org.apache.sshd.cli.client,ScpCommandMain,normalizeCommandArguments,Long Statement,The length of the statement "else if ("-r".equals(argName) || "-p".equals(argName) || "-q".equals(argName)|| "-C".equals(argName)|| "-v".equals(argName)|| "-vv".equals(argName)|| "-vvv".equals(argName)) {" is 175.
2.1.0,org.apache.sshd.cli.client,ScpCommandMain,resolveScpClientCreator,Long Statement,The length of the statement "stderr.append("Failed (").append(e.getClass().getSimpleName()).append(')').append(" to instantiate ").append(className).append(": ").println(e.getMessage());" is 157.
2.1.0,org.apache.sshd.cli.client,ScpCommandMain,main,Complex Method,Cyclomatic complexity of the method is 13
2.1.0,org.apache.sshd.cli.client,ScpCommandMain,main,Long Statement,The length of the statement "try (BufferedReader stdin=new BufferedReader(new InputStreamReader(new NoCloseInputStream(System.in)`Charset.defaultCharset()))){" is 129.
2.1.0,org.apache.sshd.cli.client,ScpCommandMain,main,Long Statement,The length of the statement "ClientSession session=((logStream == null) || (creator == null) || GenericUtils.isEmpty(args)) ? null : setupClientSession(SCP_PORT_OPTION`stdin`stdout`stderr`args);" is 165.
2.1.0,org.apache.sshd.cli.client,ScpCommandMain,main,Long Statement,The length of the statement "stderr.println("usage: scp [" + SCP_PORT_OPTION + " port] [-i identity] [-io nio2|mina|netty]"+ " [-v[v][v]] [-E logoutput] [-r] [-p] [-q] [-o option=value] [-o creator=class name]"+ " [-c cipherlist] [-m maclist] [-w password] [-C] <source> <target>");" is 253.
2.1.0,org.apache.sshd.cli.client,ScpCommandMain,main,Long Statement,The length of the statement "@Override public void endFileEvent( FileOperation op` Path file` long length` Set<PosixFilePermission> perms` Throwable thrown){" is 128.
2.1.0,org.apache.sshd.cli.client,ScpCommandMain,main,Long Statement,The length of the statement "private void logEvent( String name` FileOperation op` Path file` long length` Collection<PosixFilePermission> perms` Throwable thrown){" is 135.
2.1.0,org.apache.sshd.cli.client,ScpCommandMain,main,Magic Number,The method contains a magic number: 2
2.1.0,org.apache.sshd.cli.client,ScpCommandMain,main,Magic Number,The method contains a magic number: 2
2.1.0,org.apache.sshd.cli.client,ScpCommandMain,main,Magic Number,The method contains a magic number: 2
2.1.0,org.apache.sshd.cli.client,ScpCommandMain,main,Magic Number,The method contains a magic number: 2
2.1.0,org.apache.sshd.cli.client,ScpCommandMain,endFileEvent,Long Parameter List,The method has 5 parameters. 
2.1.0,org.apache.sshd.cli.client,ScpCommandMain,logEvent,Long Parameter List,The method has 6 parameters. 
2.1.0,org.apache.sshd.cli.client,SftpCommandMain,SftpCommandMain,Long Statement,The length of the statement "for ( SftpCommandExecutor e : Arrays.asList(new ExitCommandExecutor()`new PwdCommandExecutor()`new InfoCommandExecutor()`new SessionCommandExecutor()`new ClientCommandExecutor()`new VersionCommandExecutor()`new CdCommandExecutor()`new LcdCommandExecutor()`new MkdirCommandExecutor()`new LsCommandExecutor()`new LStatCommandExecutor()`new ReadLinkCommandExecutor()`new RmCommandExecutor()`new RmdirCommandExecutor()`new RenameCommandExecutor()`new StatVfsCommandExecutor()`new GetCommandExecutor()`new PutCommandExecutor()`new HelpCommandExecutor())) {" is 551.
2.1.0,org.apache.sshd.cli.client,SftpCommandMain,resolveLocalPath,Magic Number,The method contains a magic number: 2
2.1.0,org.apache.sshd.cli.client,SftpCommandMain,appendFileAttributes,Long Statement,The length of the statement "stdout.append('\t').append(Long.toString(attrs.getSize())).append('\t').append(SftpFileSystemProvider.getRWXPermissions(attrs.getPermissions()));" is 145.
2.1.0,org.apache.sshd.cli.client,SftpCommandMain,appendFileAttributes,Long Statement,The length of the statement "stdout.append(" => ").append('(').append(attrs.isDirectory() ? "dir" : "file").append(')').append(' ').append(linkValue);" is 121.
2.1.0,org.apache.sshd.cli.client,SftpCommandMain,resolveSftpClientFactory,Long Statement,The length of the statement "System.err.append("Failed (").append(t.getClass().getSimpleName()).append(')').append(" to instantiate ").append(optValue).append(": ").println(t.getMessage());" is 160.
2.1.0,org.apache.sshd.cli.client,SftpCommandMain,main,Long Statement,The length of the statement "System.err.println("usage: sftp [-v[v][v]] [-E logoutput] [-i identity] [-io nio2|mina|netty]" + " [-l login] [" + SFTP_PORT_OPTION + " port] [-o option=value]"+ " [-w password] [-c cipherlist] [-m maclist] [-C] hostname/user@host");" is 233.
2.1.0,org.apache.sshd.cli.client,SftpCommandMain,main,Long Statement,The length of the statement "try (SftpClient sftpClient=clientFactory.createSftpClient(session);SftpCommandMain sftp=new SftpCommandMain(sftpClient)){" is 121.
2.1.0,org.apache.sshd.cli.client,SftpCommandMain,executeCommand,Long Statement,The length of the statement "appendInfoValue(stdout`IoServiceFactory.class.getSimpleName()`manager.getIoServiceFactory().getClass().getSimpleName()).println();" is 130.
2.1.0,org.apache.sshd.cli.client,SftpCommandMain,executeCommand,Long Statement,The length of the statement "appendInfoValue(stdout`CipherFactory.class.getSimpleName()`NamedResource.getNames(manager.getCipherFactories())).println();" is 123.
2.1.0,org.apache.sshd.cli.client,SftpCommandMain,executeCommand,Long Statement,The length of the statement "appendInfoValue(stdout`KeyExchange.class.getSimpleName()`NamedResource.getNames(manager.getKeyExchangeFactories())).println();" is 126.
2.1.0,org.apache.sshd.cli.client,SftpCommandMain,executeCommand,Long Statement,The length of the statement "appendInfoValue(stdout`SignatureFactory.class.getSimpleName()`NamedResource.getNames(manager.getSignatureFactories())).println();" is 129.
2.1.0,org.apache.sshd.cli.client,SftpCommandMain,executeCommand,Long Statement,The length of the statement "appendInfoValue(stdout`CompressionFactory.class.getSimpleName()`NamedResource.getNames(manager.getCompressionFactories())).println();" is 133.
2.1.0,org.apache.sshd.cli.client,SftpCommandMain,executeCommand,Long Statement,The length of the statement "appendInfoValue(stdout`ChannelFactory.class.getSimpleName()`NamedResource.getNames(manager.getChannelFactories())).println();" is 125.
2.1.0,org.apache.sshd.cli.client,SftpCommandMain,executeCommand,Long Statement,The length of the statement "appendInfoValue(stdout`ServiceFactory.class.getSimpleName()`NamedResource.getNames(manager.getServiceFactories())).println();" is 125.
2.1.0,org.apache.sshd.cli.client,SftpCommandMain,executeCommand,Magic Number,The method contains a magic number: 2
