Project Name,Package Name,Architecture Smell,Cause of the Smell
santuario-java-1.5.2,javax.xml.crypto.dsig.samples,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [GenDetached]; [GenEnveloped]; [GenEnveloping]; [Validate; KeyValueKeySelector; SimpleKeySelectorResult]. LCC (Lack of Component Cohesion) = 0.67
santuario-java-1.5.2,<All packages>,Dense Structure, The tool detected the smell because all the analyzed components exhibit excessive and dense dependencies among themselves. Average degree = 7.38. All the dependencies among components: from: javax.xml.crypto.dsig.samples to: javax.xml.crypto.dsig; from: javax.xml.crypto.dsig.samples to: javax.xml.crypto.dsig.dom; from: javax.xml.crypto.dsig.samples to: javax.xml.crypto; from: org.apache.xml.security.samples.algorithms to: org.apache.xml.security.algorithms; from: org.apache.xml.security.samples.algorithms to: org.apache.xml.security.utils; from: org.apache.xml.security.samples to: org.apache.xml.security.signature; from: org.apache.xml.security.samples to: org.apache.xml.security.utils; from: org.apache.xml.security.samples to: org.apache.xml.security; from: org.apache.xml.security.samples.canonicalization to: org.apache.xml.security.signature; from: org.apache.xml.security.samples.canonicalization to: org.apache.xml.security.transforms; from: org.apache.xml.security.samples.canonicalization to: org.apache.xml.security; from: org.apache.xml.security.samples.canonicalization to: org.apache.xml.security.c14n; from: org.apache.xml.security.samples.canonicalization to: org.apache.xml.security.utils; from: org.apache.xml.security.samples.encryption to: org.apache.xml.security.encryption; from: org.apache.xml.security.samples.encryption to: org.apache.xml.security.utils; from: org.apache.xml.security.samples.encryption to: org.apache.xml.security.keys; from: org.apache.xml.security.samples.iaik to: org.apache.xml.security.utils.resolver; from: org.apache.xml.security.samples.iaik to: org.apache.xml.security.utils; from: org.apache.xml.security.samples.iaik to: org.apache.xml.security.signature; from: org.apache.xml.security.samples.iaik to: org.apache.xml.security.keys; from: org.apache.xml.security.samples.iaik to: org.apache.xml.security.samples.signature; from: org.apache.xml.security.samples.keys to: org.apache.xml.security.keys; from: org.apache.xml.security.samples.keys to: org.apache.xml.security.keys.content; from: org.apache.xml.security.samples.keys to: org.apache.xml.security.utils; from: org.apache.xml.security.samples.signature.contract to: org.apache.xml.security.signature; from: org.apache.xml.security.samples.signature.contract to: org.apache.xml.security.transforms; from: org.apache.xml.security.samples.signature.contract to: org.apache.xml.security.transforms.params; from: org.apache.xml.security.samples.signature.contract to: org.apache.xml.security.utils; from: org.apache.xml.security.samples.signature to: org.apache.xml.security.signature; from: org.apache.xml.security.samples.signature to: org.apache.xml.security.transforms; from: org.apache.xml.security.samples.signature to: org.apache.xml.security.transforms.params; from: org.apache.xml.security.samples.signature to: org.apache.xml.security.utils; from: org.apache.xml.security.samples.signature to: org.apache.xml.security.keys.content; from: org.apache.xml.security.samples.signature to: org.apache.xml.security.c14n; from: org.apache.xml.security.samples.signature to: org.apache.xml.security; from: org.apache.xml.security.samples.signature to: org.apache.xml.security.keys; from: org.apache.xml.security.samples.transforms to: org.apache.xml.security.utils; from: org.apache.xml.security.samples.transforms to: org.apache.xml.security.transforms; from: org.apache.xml.security.samples.transforms to: org.apache.xml.security.signature; from: org.apache.xml.security.samples.transforms to: org.apache.xml.security; from: org.apache.xml.security.samples.transforms to: org.apache.xml.security.c14n; from: org.apache.xml.security.samples.transforms to: org.apache.xml.security.transforms.params; from: org.apache.xml.security.samples.utils to: org.apache.xml.security.c14n; from: org.apache.xml.security.samples.utils to: org.apache.xml.security; from: org.apache.xml.security.samples.utils to: org.apache.xml.security.utils; from: org.apache.xml.security.samples.utils.resolver to: org.apache.xml.security.signature; from: javax.xml.crypto to: javax.xml.crypto.dsig.keyinfo; from: javax.xml.crypto.dom to: javax.xml.crypto; from: javax.xml.crypto.dsig to: javax.xml.crypto; from: javax.xml.crypto.dsig to: javax.xml.crypto.dsig.spec; from: javax.xml.crypto.dsig to: javax.xml.crypto.dsig.keyinfo; from: javax.xml.crypto.dsig.dom to: javax.xml.crypto; from: javax.xml.crypto.dsig.keyinfo to: javax.xml.crypto; from: javax.xml.crypto.dsig.spec to: javax.xml.crypto; from: org.apache.jcp.xml.dsig.internal to: org.apache.xml.security.utils; from: org.apache.jcp.xml.dsig.internal.dom to: javax.xml.crypto.dsig; from: org.apache.jcp.xml.dsig.internal.dom to: javax.xml.crypto.dom; from: org.apache.jcp.xml.dsig.internal.dom to: javax.xml.crypto.dsig.spec; from: org.apache.jcp.xml.dsig.internal.dom to: org.apache.xml.security.c14n; from: org.apache.jcp.xml.dsig.internal.dom to: org.apache.xml.security.signature; from: org.apache.jcp.xml.dsig.internal.dom to: org.apache.xml.security.utils; from: org.apache.jcp.xml.dsig.internal.dom to: org.apache.xml.security.transforms; from: org.apache.jcp.xml.dsig.internal.dom to: javax.xml.crypto; from: org.apache.jcp.xml.dsig.internal.dom to: javax.xml.crypto.dsig.keyinfo; from: org.apache.jcp.xml.dsig.internal.dom to: org.apache.jcp.xml.dsig.internal; from: org.apache.jcp.xml.dsig.internal.dom to: org.apache.xml.security.algorithms; from: org.apache.jcp.xml.dsig.internal.dom to: org.apache.xml.security.algorithms.implementations; from: org.apache.jcp.xml.dsig.internal.dom to: javax.xml.crypto.dsig.dom; from: org.apache.jcp.xml.dsig.internal.dom to: org.apache.xml.security.utils.resolver; from: org.apache.jcp.xml.dsig.internal.dom to: org.apache.xml.security; from: org.apache.xml.security.algorithms to: org.apache.xml.security.utils; from: org.apache.xml.security.algorithms to: org.apache.xml.security.signature; from: org.apache.xml.security.algorithms to: org.apache.xml.security.encryption; from: org.apache.xml.security.algorithms to: org.apache.xml.security.algorithms.implementations; from: org.apache.xml.security.algorithms.implementations to: org.apache.xml.security.utils; from: org.apache.xml.security.algorithms.implementations to: org.apache.xml.security.signature; from: org.apache.xml.security.algorithms.implementations to: org.apache.xml.security.algorithms; from: org.apache.xml.security.c14n to: org.apache.xml.security.c14n.implementations; from: org.apache.xml.security.c14n to: org.apache.xml.security.utils; from: org.apache.xml.security.c14n.helper to: org.apache.xml.security.utils; from: org.apache.xml.security.c14n.implementations to: org.apache.xml.security.signature; from: org.apache.xml.security.c14n.implementations to: org.apache.xml.security.utils; from: org.apache.xml.security.c14n.implementations to: org.apache.xml.security.c14n.helper; from: org.apache.xml.security.c14n.implementations to: org.apache.xml.security.c14n; from: org.apache.xml.security.c14n.implementations to: org.apache.xml.security.transforms.params; from: org.apache.xml.security.encryption to: org.apache.xml.security.c14n; from: org.apache.xml.security.encryption to: org.apache.xml.security.keys; from: org.apache.xml.security.encryption to: org.apache.xml.security.keys.keyresolver; from: org.apache.xml.security.encryption to: org.apache.xml.security.keys.keyresolver.implementations; from: org.apache.xml.security.encryption to: org.apache.xml.security.utils; from: org.apache.xml.security.encryption to: org.apache.xml.security.algorithms; from: org.apache.xml.security.encryption to: org.apache.xml.security.transforms; from: org.apache.xml.security.encryption to: org.apache.xml.security.signature; from: org.apache.xml.security.encryption to: org.apache.xml.security.utils.resolver; from: org.apache.xml.security.exceptions to: org.apache.xml.security.utils; from: org.apache.xml.security to: org.apache.xml.security.utils; from: org.apache.xml.security to: org.apache.xml.security.transforms; from: org.apache.xml.security to: org.apache.xml.security.algorithms; from: org.apache.xml.security to: org.apache.xml.security.c14n; from: org.apache.xml.security to: org.apache.xml.security.utils.resolver; from: org.apache.xml.security to: org.apache.xml.security.keys.keyresolver; from: org.apache.xml.security.keys.content to: org.apache.xml.security.utils; from: org.apache.xml.security.keys.content to: org.apache.xml.security.keys.content.keyvalues; from: org.apache.xml.security.keys.content to: org.apache.xml.security.transforms; from: org.apache.xml.security.keys.content to: org.apache.xml.security.keys.content.x509; from: org.apache.xml.security.keys.content.keyvalues to: org.apache.xml.security.utils; from: org.apache.xml.security.keys.content.x509 to: org.apache.xml.security.utils; from: org.apache.xml.security.keys to: org.apache.xml.security.keys.content; from: org.apache.xml.security.keys to: org.apache.xml.security.keys.content.keyvalues; from: org.apache.xml.security.keys to: org.apache.xml.security.encryption; from: org.apache.xml.security.keys to: org.apache.xml.security.keys.keyresolver; from: org.apache.xml.security.keys to: org.apache.xml.security.keys.storage; from: org.apache.xml.security.keys to: org.apache.xml.security.utils; from: org.apache.xml.security.keys.keyresolver.implementations to: org.apache.xml.security.keys.storage; from: org.apache.xml.security.keys.keyresolver.implementations to: org.apache.xml.security.keys.content.keyvalues; from: org.apache.xml.security.keys.keyresolver.implementations to: org.apache.xml.security.utils; from: org.apache.xml.security.keys.keyresolver.implementations to: org.apache.xml.security.keys.keyresolver; from: org.apache.xml.security.keys.keyresolver.implementations to: org.apache.xml.security.encryption; from: org.apache.xml.security.keys.keyresolver.implementations to: org.apache.xml.security.keys.content; from: org.apache.xml.security.keys.keyresolver.implementations to: org.apache.xml.security.keys.content.x509; from: org.apache.xml.security.keys.keyresolver.implementations to: org.apache.xml.security.signature; from: org.apache.xml.security.keys.keyresolver.implementations to: org.apache.xml.security.transforms; from: org.apache.xml.security.keys.keyresolver.implementations to: org.apache.xml.security.utils.resolver; from: org.apache.xml.security.keys.keyresolver to: org.apache.xml.security.keys.storage; from: org.apache.xml.security.keys.storage.implementations to: org.apache.xml.security.keys.content.x509; from: org.apache.xml.security.keys.storage.implementations to: org.apache.xml.security.utils; from: org.apache.xml.security.signature to: org.apache.xml.security.transforms; from: org.apache.xml.security.signature to: org.apache.xml.security.utils.resolver; from: org.apache.xml.security.signature to: org.apache.xml.security.utils; from: org.apache.xml.security.signature to: org.apache.xml.security.signature.reference; from: org.apache.xml.security.signature to: org.apache.xml.security.algorithms; from: org.apache.xml.security.signature to: org.apache.xml.security.transforms.params; from: org.apache.xml.security.signature to: org.apache.xml.security.c14n; from: org.apache.xml.security.signature to: org.apache.xml.security.keys; from: org.apache.xml.security.signature to: org.apache.xml.security.keys.content; from: org.apache.xml.security.signature to: org.apache.xml.security.c14n.implementations; from: org.apache.xml.security.signature to: org.apache.xml.security.c14n.helper; from: org.apache.xml.security.transforms.implementations to: org.apache.xml.security.utils; from: org.apache.xml.security.transforms.implementations to: org.apache.xml.security.signature; from: org.apache.xml.security.transforms.implementations to: org.apache.xml.security.transforms; from: org.apache.xml.security.transforms.implementations to: org.apache.xml.security.c14n.implementations; from: org.apache.xml.security.transforms.implementations to: org.apache.xml.security.transforms.params; from: org.apache.xml.security.transforms to: org.apache.xml.security.utils; from: org.apache.xml.security.transforms to: org.apache.xml.security.signature; from: org.apache.xml.security.transforms to: org.apache.xml.security.transforms.implementations; from: org.apache.xml.security.transforms to: org.apache.xml.security.c14n; from: org.apache.xml.security.transforms.params to: org.apache.xml.security.utils; from: org.apache.xml.security.utils to: org.apache.xml.security.algorithms; from: org.apache.xml.security.utils to: org.apache.xml.security; from: org.apache.xml.security.utils to: org.apache.xml.security.transforms.implementations; from: org.apache.xml.security.utils to: org.apache.xml.security.c14n; from: org.apache.xml.security.utils.resolver.implementations to: org.apache.xml.security.signature; from: org.apache.xml.security.utils.resolver.implementations to: org.apache.xml.security.utils; from: javax.xml.crypto.test.dsig to: javax.xml.crypto.dsig; from: javax.xml.crypto.test.dsig to: javax.xml.crypto; from: javax.xml.crypto.test.dsig to: javax.xml.crypto.dsig.spec; from: javax.xml.crypto.test.dsig to: javax.xml.crypto.dsig.dom; from: javax.xml.crypto.test.dsig to: org.apache.xml.security.utils; from: javax.xml.crypto.test.dsig to: javax.xml.crypto.dom; from: javax.xml.crypto.test.dsig.dom to: javax.xml.crypto.dsig.dom; from: javax.xml.crypto.test.dsig.dom to: javax.xml.crypto.test.dsig; from: javax.xml.crypto.test.dsig.keyinfo to: org.apache.jcp.xml.dsig.internal.dom; from: javax.xml.crypto.test to: javax.xml.crypto; from: javax.xml.crypto.test to: javax.xml.crypto.dsig; from: org.apache.xml.security.test.algorithms to: org.apache.xml.security.algorithms; from: org.apache.xml.security.test.algorithms to: org.apache.xml.security.signature; from: org.apache.xml.security.test.c14n.helper to: org.apache.xml.security.c14n.helper; from: org.apache.xml.security.test.c14n.helper to: org.apache.xml.security.utils; from: org.apache.xml.security.test.c14n.implementations to: org.apache.xml.security.signature; from: org.apache.xml.security.test.c14n.implementations to: org.apache.xml.security.keys; from: org.apache.xml.security.test.c14n.implementations to: org.apache.xml.security.transforms; from: org.apache.xml.security.test.c14n.implementations to: org.apache.xml.security.utils; from: org.apache.xml.security.test.c14n.implementations to: org.apache.xml.security; from: org.apache.xml.security.test.c14n.implementations to: org.apache.xml.security.c14n; from: org.apache.xml.security.test.c14n.implementations to: org.apache.xml.security.test; from: org.apache.xml.security.test.c14n.implementations to: org.apache.xml.security.c14n.implementations; from: org.apache.xml.security.test to: org.apache.xml.security.signature; from: org.apache.xml.security.test to: org.apache.xml.security.transforms; from: org.apache.xml.security.test to: org.apache.xml.security.transforms.params; from: org.apache.xml.security.test to: org.apache.xml.security; from: org.apache.xml.security.test to: org.apache.xml.security.utils; from: org.apache.xml.security.test.encryption to: org.apache.xml.security.encryption; from: org.apache.xml.security.test.encryption to: org.apache.xml.security.keys; from: org.apache.xml.security.test.encryption to: org.apache.xml.security.keys.content; from: org.apache.xml.security.test.encryption to: org.apache.xml.security.keys.content.x509; from: org.apache.xml.security.test.encryption to: org.apache.xml.security.utils; from: org.apache.xml.security.test.encryption to: org.apache.xml.security.test; from: org.apache.xml.security.test.encryption to: org.apache.xml.security; from: org.apache.xml.security.test.encryption to: org.apache.xml.security.keys.keyresolver; from: org.apache.xml.security.test.encryption to: org.apache.xml.security.algorithms; from: org.apache.xml.security.test.encryption to: org.apache.xml.security.keys.storage; from: org.apache.xml.security.test.encryption to: org.apache.xml.security.transforms; from: org.apache.xml.security.test.encryption to: org.apache.xml.security.transforms.params; from: org.apache.xml.security.test.encryption to: org.apache.xml.security.c14n; from: org.apache.xml.security.test.interop to: org.apache.xml.security.utils.resolver; from: org.apache.xml.security.test.interop to: org.apache.xml.security.utils; from: org.apache.xml.security.test.interop to: org.apache.xml.security.signature; from: org.apache.xml.security.test.interop to: org.apache.xml.security.keys; from: org.apache.xml.security.test.interop to: org.apache.xml.security.signature.reference; from: org.apache.xml.security.test.keys.content.x509 to: org.apache.xml.security.keys.content.x509; from: org.apache.xml.security.test.keys.content.x509 to: org.apache.xml.security.utils; from: org.apache.xml.security.test.keys.keyresolver to: org.apache.xml.security.keys.storage; from: org.apache.xml.security.test.keys.keyresolver to: org.apache.xml.security.keys.keyresolver; from: org.apache.xml.security.test.keys.keyresolver to: org.apache.xml.security.keys; from: org.apache.xml.security.test.keys.keyresolver to: org.apache.xml.security.keys.content; from: org.apache.xml.security.test.keys.keyresolver to: org.apache.xml.security.encryption; from: org.apache.xml.security.test.keys.keyresolver to: org.apache.xml.security.utils; from: org.apache.xml.security.test.keys.keyresolver to: org.apache.xml.security; from: org.apache.xml.security.test.keys.keyresolver to: org.apache.xml.security.algorithms; from: org.apache.xml.security.test.keys.storage to: org.apache.xml.security.keys.storage.implementations; from: org.apache.xml.security.test.keys.storage to: org.apache.xml.security.keys.storage; from: org.apache.xml.security.test.resource to: org.apache.xml.security.utils; from: org.apache.xml.security.test.secure_val to: org.apache.xml.security.signature; from: org.apache.xml.security.test.secure_val to: org.apache.xml.security.utils; from: org.apache.xml.security.test.secure_val to: org.apache.xml.security.keys; from: org.apache.xml.security.test.secure_val to: org.apache.xml.security; from: org.apache.xml.security.test.signature to: org.apache.xml.security.signature; from: org.apache.xml.security.test.signature to: org.apache.xml.security.transforms; from: org.apache.xml.security.test.signature to: org.apache.xml.security.transforms.params; from: org.apache.xml.security.test.signature to: org.apache.xml.security.algorithms; from: org.apache.xml.security.test.signature to: org.apache.xml.security.utils; from: org.apache.xml.security.test.signature to: org.apache.xml.security.keys; from: org.apache.xml.security.test.signature to: org.apache.xml.security.c14n; from: org.apache.xml.security.test.signature to: org.apache.xml.security; from: org.apache.xml.security.test.signature to: org.apache.xml.security.keys.content; from: org.apache.xml.security.test.signature to: org.apache.xml.security.signature.reference; from: org.apache.xml.security.test.signature to: org.apache.xml.security.test; from: org.apache.xml.security.test.transforms.implementations to: org.apache.xml.security.transforms; from: org.apache.xml.security.test.transforms.implementations to: org.apache.xml.security.signature; from: org.apache.xml.security.test.transforms.implementations to: org.apache.xml.security.transforms.implementations; from: org.apache.xml.security.test.transforms.implementations to: org.apache.xml.security.utils; from: org.apache.xml.security.test.transforms to: org.apache.xml.security.signature; from: org.apache.xml.security.test.utils to: org.apache.xml.security.utils; from: org.apache.xml.security.test.utils to: org.apache.xml.security.keys.storage; from: org.apache.xml.security.test.utils to: org.apache.xml.security.utils.resolver; from: org.apache.xml.security.test.utils to: org.apache.xml.security.keys; from: org.apache.xml.security.test.utils to: org.apache.xml.security.keys.keyresolver; from: org.apache.xml.security.test.utils.resolver to: org.apache.xml.security.signature; from: org.apache.xml.security.test.utils.resolver to: org.apache.xml.security.utils.resolver; from: org.apache.xml.security.test.utils.resolver to: org.apache.xml.security.
santuario-java-1.5.2,org.apache.xml.security.samples.signature,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [CreateCollectableSignature; VerifyCollectableSignature]; [CreateEnvelopingSignature]; [CreateMerlinsExampleSixteen]; [CreateMerlinsExampleTwentyThree]; [CreateSignature]; [HereSigner]; [NullURIReferenceResolver]; [SignaturePropertiesSample]; [TestSignature]; [VerifyMerlinsExamplesFifteen; VerifyMerlinsExamplesSixteen]; [VerifyMerlinsExamplesTwentyThree]; [VerifySignature]. LCC (Lack of Component Cohesion) = 0.86
santuario-java-1.5.2,org.apache.xml.security.samples.transforms,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [SampleTransformChaining]; [SampleTransformEnvelopedSignature]; [SampleTransformNone]; [SampleTransformXPath]; [SampleTransformXPath2Filter]; [SampleTransformXPath2Filter2]; [SampleTransformXPathHereFunc]; [SampleTransformXSLT]. LCC (Lack of Component Cohesion) = 1.0
santuario-java-1.5.2,javax.xml.crypto,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: javax.xml.crypto; javax.xml.crypto.dsig.keyinfo
santuario-java-1.5.2,javax.xml.crypto,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): javax.xml.crypto.dsig.keyinfo
santuario-java-1.5.2,javax.xml.crypto,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AlgorithmMethod; KeySelector; Purpose; SingletonKeySelector; KeySelectorResult; XMLCryptoContext; URIDereferencer; URIReference; URIReferenceException]; [Data; NodeSetData; OctetStreamData]; [KeySelectorException]; [MarshalException]; [NoSuchMechanismException]; [XMLStructure]. LCC (Lack of Component Cohesion) = 0.38
santuario-java-1.5.2,javax.xml.crypto.dsig,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [CanonicalizationMethod; Transform; TransformService; XMLSignatureFactory; XMLValidateContext; DigestMethod; Reference; SignatureMethod; SignedInfo; XMLSignature; XMLSignContext; SignatureValue]; [Manifest]; [SignatureProperties]; [SignatureProperty]; [TransformException]; [XMLObject]; [XMLSignatureException]. LCC (Lack of Component Cohesion) = 0.39
santuario-java-1.5.2,javax.xml.crypto.dsig.keyinfo,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [KeyInfo]; [KeyInfoFactory]; [KeyName]; [KeyValue]; [PGPData]; [RetrievalMethod]; [X509Data]; [X509IssuerSerial]. LCC (Lack of Component Cohesion) = 1.0
santuario-java-1.5.2,javax.xml.crypto.dsig.spec,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [C14NMethodParameterSpec; ExcC14NParameterSpec; TransformParameterSpec; XPathFilter2ParameterSpec; XPathFilterParameterSpec; XSLTTransformParameterSpec]; [DigestMethodParameterSpec]; [HMACParameterSpec; SignatureMethodParameterSpec]; [XPathType; Filter]. LCC (Lack of Component Cohesion) = 0.36
