Project Name,Package Name,Type Name,Method Name,LOC,CC,PC
santuario-java-1.5.2,javax.xml.crypto.dsig.samples,GenDetached,main,28,2,1
santuario-java-1.5.2,javax.xml.crypto.dsig.samples,GenEnveloped,main,28,2,1
santuario-java-1.5.2,javax.xml.crypto.dsig.samples,GenEnveloping,main,31,2,1
santuario-java-1.5.2,javax.xml.crypto.dsig.samples,Validate,main,27,4,1
santuario-java-1.5.2,javax.xml.crypto.dsig.samples,Validate,select,23,5,4
santuario-java-1.5.2,javax.xml.crypto.dsig.samples,Validate,algEquals,14,4,2
santuario-java-1.5.2,javax.xml.crypto.dsig.samples,Validate,SimpleKeySelectorResult,3,1,1
santuario-java-1.5.2,javax.xml.crypto.dsig.samples,Validate,getKey,3,1,0
santuario-java-1.5.2,javax.xml.crypto.dsig.samples,KeyValueKeySelector,select,23,5,4
santuario-java-1.5.2,javax.xml.crypto.dsig.samples,KeyValueKeySelector,algEquals,14,4,2
santuario-java-1.5.2,javax.xml.crypto.dsig.samples,SimpleKeySelectorResult,SimpleKeySelectorResult,3,1,1
santuario-java-1.5.2,javax.xml.crypto.dsig.samples,SimpleKeySelectorResult,getKey,3,1,0
santuario-java-1.5.2,org.apache.xml.security.samples.algorithms,HMacSHA1RoundTrip,main,38,2,1
santuario-java-1.5.2,org.apache.xml.security.samples.algorithms,HMacSHA1RoundTrip,mainSha1,29,2,1
santuario-java-1.5.2,org.apache.xml.security.samples,AxisSigner,main,59,2,1
santuario-java-1.5.2,org.apache.xml.security.samples,AxisVerifier,main,32,3,1
santuario-java-1.5.2,org.apache.xml.security.samples,DSNamespaceContext,DSNamespaceContext,3,1,0
santuario-java-1.5.2,org.apache.xml.security.samples,DSNamespaceContext,DSNamespaceContext,4,1,1
santuario-java-1.5.2,org.apache.xml.security.samples,DSNamespaceContext,getNamespaceURI,3,1,1
santuario-java-1.5.2,org.apache.xml.security.samples,DSNamespaceContext,putPrefix,3,1,2
santuario-java-1.5.2,org.apache.xml.security.samples,DSNamespaceContext,getPrefix,9,3,1
santuario-java-1.5.2,org.apache.xml.security.samples,DSNamespaceContext,getPrefixes,3,1,1
santuario-java-1.5.2,org.apache.xml.security.samples,MyResolver,engineResolve,4,1,2
santuario-java-1.5.2,org.apache.xml.security.samples,MyResolver,engineCanResolve,3,1,2
santuario-java-1.5.2,org.apache.xml.security.samples,SampleUtils,createDSctx,8,2,3
santuario-java-1.5.2,org.apache.xml.security.samples.canonicalization,CanonByTransform,main,18,1,1
santuario-java-1.5.2,org.apache.xml.security.samples.canonicalization,CanonDirect,main,13,1,1
santuario-java-1.5.2,org.apache.xml.security.samples.canonicalization,CanonSubTree,main,20,2,1
santuario-java-1.5.2,org.apache.xml.security.samples.encryption,Decrypter,loadEncryptionDocument,10,1,0
santuario-java-1.5.2,org.apache.xml.security.samples.encryption,Decrypter,loadKeyEncryptionKey,10,1,0
santuario-java-1.5.2,org.apache.xml.security.samples.encryption,Decrypter,outputDocToFile,12,1,2
santuario-java-1.5.2,org.apache.xml.security.samples.encryption,Decrypter,main,11,1,1
santuario-java-1.5.2,org.apache.xml.security.samples.encryption,Encrypter,createSampleDocument,15,1,0
santuario-java-1.5.2,org.apache.xml.security.samples.encryption,Encrypter,GenerateAndStoreKeyEncryptionKey,12,1,0
santuario-java-1.5.2,org.apache.xml.security.samples.encryption,Encrypter,GenerateDataEncryptionKey,6,1,0
santuario-java-1.5.2,org.apache.xml.security.samples.encryption,Encrypter,outputDocToFile,12,1,2
santuario-java-1.5.2,org.apache.xml.security.samples.encryption,Encrypter,main,19,1,1
santuario-java-1.5.2,org.apache.xml.security.samples.iaik,IAIKInterOp,main,54,6,1
santuario-java-1.5.2,org.apache.xml.security.samples.iaik,IAIKInterOp,verifyAnonymous,43,4,2
santuario-java-1.5.2,org.apache.xml.security.samples.keys,CreateKeyInfo,main,22,1,1
santuario-java-1.5.2,org.apache.xml.security.samples.signature.contract,ThreeSignerContractSign,main,137,5,1
santuario-java-1.5.2,org.apache.xml.security.samples.signature.contract,ThreeSignerContractVerify,main,28,2,1
santuario-java-1.5.2,org.apache.xml.security.samples.signature,CreateCollectableSignature,main,46,3,1
santuario-java-1.5.2,org.apache.xml.security.samples.signature,CreateEnvelopingSignature,main,48,2,1
santuario-java-1.5.2,org.apache.xml.security.samples.signature,CreateMerlinsExampleSixteen,main,209,3,1
santuario-java-1.5.2,org.apache.xml.security.samples.signature,CreateMerlinsExampleSixteen,createObject4,20,1,1
santuario-java-1.5.2,org.apache.xml.security.samples.signature,CreateMerlinsExampleTwentyThree,main,209,3,1
santuario-java-1.5.2,org.apache.xml.security.samples.signature,CreateMerlinsExampleTwentyThree,createObject4,20,1,1
santuario-java-1.5.2,org.apache.xml.security.samples.signature,CreateSignature,main,54,1,1
santuario-java-1.5.2,org.apache.xml.security.samples.signature,HereSigner,main,59,2,1
santuario-java-1.5.2,org.apache.xml.security.samples.signature,NullURIReferenceResolver,NullURIReferenceResolver,4,1,1
santuario-java-1.5.2,org.apache.xml.security.samples.signature,NullURIReferenceResolver,NullURIReferenceResolver,4,1,1
santuario-java-1.5.2,org.apache.xml.security.samples.signature,NullURIReferenceResolver,engineResolve,26,4,2
santuario-java-1.5.2,org.apache.xml.security.samples.signature,NullURIReferenceResolver,engineCanResolve,11,4,2
santuario-java-1.5.2,org.apache.xml.security.samples.signature,NullURIReferenceResolver,engineGetPropertyKeys,3,1,0
santuario-java-1.5.2,org.apache.xml.security.samples.signature,SignaturePropertiesSample,main,28,1,1
santuario-java-1.5.2,org.apache.xml.security.samples.signature,TestSignature,main,50,5,1
santuario-java-1.5.2,org.apache.xml.security.samples.signature,VerifyCollectableSignature,main,33,3,1
santuario-java-1.5.2,org.apache.xml.security.samples.signature,VerifyMerlinsExamplesFifteen,main,35,4,1
santuario-java-1.5.2,org.apache.xml.security.samples.signature,VerifyMerlinsExamplesFifteen,verifyHMAC,34,3,2
santuario-java-1.5.2,org.apache.xml.security.samples.signature,VerifyMerlinsExamplesFifteen,resolveEntity,13,2,2
