Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path
santuario-java-1.5.2,javax.xml.crypto.dsig.samples,GenDetached,0,0,1,1,33,2,0,0,-1.0,0,8,c:\sources\santuario-java-1.5.2\samples\javax\xml\crypto\dsig\samples\GenDetached.java
santuario-java-1.5.2,javax.xml.crypto.dsig.samples,GenEnveloped,0,0,1,1,33,2,0,0,-1.0,0,9,c:\sources\santuario-java-1.5.2\samples\javax\xml\crypto\dsig\samples\GenEnveloped.java
santuario-java-1.5.2,javax.xml.crypto.dsig.samples,GenEnveloping,0,0,1,1,36,2,0,0,-1.0,0,10,c:\sources\santuario-java-1.5.2\samples\javax\xml\crypto\dsig\samples\GenEnveloping.java
santuario-java-1.5.2,javax.xml.crypto.dsig.samples,Validate,1,0,5,3,83,15,0,0,0.8,0,10,c:\sources\santuario-java-1.5.2\samples\javax\xml\crypto\dsig\samples\Validate.java
santuario-java-1.5.2,javax.xml.crypto.dsig.samples,KeyValueKeySelector,0,0,2,1,42,9,0,0,-1.0,2,7,c:\sources\santuario-java-1.5.2\samples\javax\xml\crypto\dsig\samples\Validate.java
santuario-java-1.5.2,javax.xml.crypto.dsig.samples,SimpleKeySelectorResult,1,0,2,1,9,2,0,0,0.0,2,0,c:\sources\santuario-java-1.5.2\samples\javax\xml\crypto\dsig\samples\Validate.java
santuario-java-1.5.2,org.apache.xml.security.samples.algorithms,HMacSHA1RoundTrip,0,0,2,2,85,4,0,0,-1.0,0,3,c:\sources\santuario-java-1.5.2\samples\org\apache\xml\security\samples\algorithms\HMacSHA1RoundTrip.java
santuario-java-1.5.2,org.apache.xml.security.samples,AxisSigner,1,1,1,1,73,2,0,0,0.0,1,4,c:\sources\santuario-java-1.5.2\samples\org\apache\xml\security\samples\AxisSigner.java
santuario-java-1.5.2,org.apache.xml.security.samples,AxisVerifier,0,0,1,1,42,3,0,0,-1.0,0,5,c:\sources\santuario-java-1.5.2\samples\org\apache\xml\security\samples\AxisVerifier.java
santuario-java-1.5.2,org.apache.xml.security.samples,DSNamespaceContext,1,0,6,6,31,8,0,0,0.0,1,0,c:\sources\santuario-java-1.5.2\samples\org\apache\xml\security\samples\DSNamespaceContext.java
