Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell
1.5.4,javax.xml.crypto.dsig.samples,GenDetached,main,Long Statement,The length of the statement "SignedInfo si=fac.newSignedInfo(fac.newCanonicalizationMethod(CanonicalizationMethod.INCLUSIVE_WITH_COMMENTS`(C14NMethodParameterSpec)null)`fac.newSignatureMethod(SignatureMethod.DSA_SHA1`null)`Collections.singletonList(ref));" is 226.
1.5.4,javax.xml.crypto.dsig.samples,GenDetached,main,Magic Number,The method contains a magic number: 512
1.5.4,javax.xml.crypto.dsig.samples,GenEnveloped,main,Long Statement,The length of the statement "Reference ref=fac.newReference(""`fac.newDigestMethod(DigestMethod.SHA1`null)`Collections.singletonList(fac.newTransform(Transform.ENVELOPED`(TransformParameterSpec)null))`null`null);" is 183.
1.5.4,javax.xml.crypto.dsig.samples,GenEnveloped,main,Long Statement,The length of the statement "SignedInfo si=fac.newSignedInfo(fac.newCanonicalizationMethod(CanonicalizationMethod.INCLUSIVE_WITH_COMMENTS`(C14NMethodParameterSpec)null)`fac.newSignatureMethod(SignatureMethod.DSA_SHA1`null)`Collections.singletonList(ref));" is 226.
1.5.4,javax.xml.crypto.dsig.samples,GenEnveloped,main,Magic Number,The method contains a magic number: 512
1.5.4,javax.xml.crypto.dsig.samples,GenEnveloping,main,Long Statement,The length of the statement "SignedInfo si=fac.newSignedInfo(fac.newCanonicalizationMethod(CanonicalizationMethod.INCLUSIVE_WITH_COMMENTS`(C14NMethodParameterSpec)null)`fac.newSignatureMethod(SignatureMethod.DSA_SHA1`null)`Collections.singletonList(ref));" is 226.
1.5.4,javax.xml.crypto.dsig.samples,GenEnveloping,main,Magic Number,The method contains a magic number: 512
1.5.4,javax.xml.crypto.dsig.samples,Validate,algEquals,Long Statement,The length of the statement "else if (algName.equalsIgnoreCase("EC") && algURI.equalsIgnoreCase("http://www.w3.org/2001/04/xmldsig-more#ecdsa-sha256")) {" is 124.
1.5.4,javax.xml.crypto.dsig.samples,KeyValueKeySelector,algEquals,Long Statement,The length of the statement "else if (algName.equalsIgnoreCase("EC") && algURI.equalsIgnoreCase("http://www.w3.org/2001/04/xmldsig-more#ecdsa-sha256")) {" is 124.
1.5.4,org.apache.xml.security.samples.algorithms,HMacSHA1RoundTrip,mainSha1,Magic Number,The method contains a magic number: 33
1.5.4,org.apache.xml.security.samples.encryption,Decrypter,main,Long Statement,The length of the statement "Element encryptedDataElement=(Element)document.getElementsByTagNameNS(EncryptionConstants.EncryptionSpecNS`EncryptionConstants._TAG_ENCRYPTEDDATA).item(0);" is 155.
1.5.4,org.apache.xml.security.samples.encryption,Encrypter,GenerateDataEncryptionKey,Magic Number,The method contains a magic number: 128
1.5.4,org.apache.xml.security.samples.iaik,IAIKInterOp,main,Long Statement,The length of the statement "dbf.setAttribute("http://apache.org/xml/properties/schema/external-schemaLocation"`Constants.SignatureSpecNS + " " + IAIKInterOp.signatureSchemaFile);" is 150.
1.5.4,org.apache.xml.security.samples.iaik,IAIKInterOp,main,Long Statement,The length of the statement "String filenames[]={gregorsDir + "signatureAlgorithms/signatures/hMACSignature.xml"`gregorsDir + "signatureAlgorithms/signatures/hMACShortSignature.xml"`gregorsDir + "signatureAlgorithms/signatures/dSASignature.xml"`gregorsDir + "signatureAlgorithms/signatures/rSASignature.xml"`gregorsDir + "transforms/signatures/base64DecodeSignature.xml"`gregorsDir + "transforms/signatures/c14nSignature.xml"`gregorsDir + "coreFeatures/signatures/manifestSignature.xml"`gregorsDir + "transforms/signatures/xPathSignature.xml"`gregorsDir + "coreFeatures/signatures/signatureTypesSignature.xml"`gregorsDir + "transforms/signatures/envelopedSignatureSignature.xml"};" is 651.
1.5.4,org.apache.xml.security.samples.iaik,IAIKInterOp,main,Magic Number,The method contains a magic number: 2
1.5.4,org.apache.xml.security.samples.iaik,IAIKInterOp,main,Magic Number,The method contains a magic number: 2
1.5.4,org.apache.xml.security.samples.iaik,IAIKInterOp,main,Magic Number,The method contains a magic number: 2
1.5.4,org.apache.xml.security.samples.iaik,IAIKInterOp,verifyAnonymous,Long Statement,The length of the statement "System.out.println("The XML signature in file " + f.toURI().toURL().toString() + " is "+ (signature.checkSignatureValue(cert) ? "valid (good)" : "invalid !!!!! (bad)"));" is 169.
1.5.4,org.apache.xml.security.samples.iaik,IAIKInterOp,verifyAnonymous,Long Statement,The length of the statement "System.out.println("The XML signature in file " + f.toURI().toURL().toString() + " is "+ (signature.checkSignatureValue(pk) ? "valid (good)" : "invalid !!!!! (bad)"));" is 167.
1.5.4,org.apache.xml.security.samples.keys,CreateKeyInfo,main,Magic Number,The method contains a magic number: 6786
1.5.4,org.apache.xml.security.samples.signature.contract,ThreeSignerContractSign,main,Long Method,The method has 137 lines of code.
1.5.4,org.apache.xml.security.samples.signature.contract,ThreeSignerContractSign,main,Long Statement,The length of the statement "condition1.appendChild(doc.createTextNode("condition1 not covered in first signature` only " + "binding for the second and third signer"));" is 139.
1.5.4,org.apache.xml.security.samples.signature.contract,ThreeSignerContractSign,main,Long Statement,The length of the statement "String xp1="not(ancestor-or-self::ds:Signature)" + "\n" + " and ("+ "\n"+ " (ancestor-or-self::node() = /contract/condition2) "+ "\n"+ " or (ancestor-or-self::node() = /contract/condition3) "+ "\n"+ " or (self::node() = /contract) "+ "\n"+ " or ((parent::node() = /contract) and (self::text()))"+ "\n"+ ")";" is 307.
1.5.4,org.apache.xml.security.samples.signature.contract,ThreeSignerContractSign,main,Long Statement,The length of the statement "String xp3="not(ancestor-or-self::ds:Signature)" + "\n" + " or ancestor-or-self::ds:Signature[@Id='" + id1 + "']"+ "\n"+ " or ancestor-or-self::ds:Signature[@Id='"+ id2+ "']";" is 175.
1.5.4,org.apache.xml.security.samples.signature.contract,ThreeSignerContractVerify,main,Long Statement,The length of the statement "System.out.println("The signature number " + (i + 1) + " is "+ (signature.checkSignatureValue(signature.createSecretKey(keyValue.getBytes())) ? "valid (good)" : "invalid !!!!! (bad)"));" is 185.
1.5.4,org.apache.xml.security.samples.signature,CreateCollectableSignature,main,Long Statement,The length of the statement "String xpathStr="\n" + "count( " + "\n"+ " ancestor-or-self::" + (rootprefixed ? "root:" : "") + rootlocalname+ ""+ "\n"+ " | "+ "\n"+ " here()/ancestor::"+ (rootprefixed ? "root:" : "")+ rootlocalname+ "[1] "+ "\n"+ ") <= count( "+ "\n"+ " ancestor-or-self::"+ (rootprefixed ? "root:" : "")+ rootlocalname+ ""+ "\n"+ ") "+ "\n"+ " and "+ "\n"+ "count( "+ "\n"+ " ancestor-or-self::ds:Signature "+ "\n"+ " | "+ "\n"+ " here()/ancestor::ds:Signature[1] "+ "\n"+ ") > count( "+ "\n"+ " ancestor-or-self::ds:Signature "+ "\n"+ ") "+ "\n";" is 535.
1.5.4,org.apache.xml.security.samples.signature,CreateMerlinsExampleSixteen,main,Long Method,The method has 209 lines of code.
1.5.4,org.apache.xml.security.samples.signature,CreateMerlinsExampleSixteen,main,Long Statement,The length of the statement "sig.addDocument("#signature-properties-1"`null`Constants.ALGO_ID_DIGEST_SHA1`null`"http://www.w3.org/2000/09/xmldsig#SignatureProperties");" is 139.
1.5.4,org.apache.xml.security.samples.signature,CreateMerlinsExampleSixteen,main,Long Statement,The length of the statement "sig.addDocument("#xpointer(id('object-3'))"`null`Constants.ALGO_ID_DIGEST_SHA1`null`"http://www.w3.org/2000/09/xmldsig#Object");" is 128.
1.5.4,org.apache.xml.security.samples.signature,CreateMerlinsExampleSixteen,main,Long Statement,The length of the statement "sig.addDocument("#xpointer(id('object-3'))"`transforms`Constants.ALGO_ID_DIGEST_SHA1`null`"http://www.w3.org/2000/09/xmldsig#Object");" is 134.
1.5.4,org.apache.xml.security.samples.signature,CreateMerlinsExampleSixteen,main,Long Statement,The length of the statement "sig.addDocument("#manifest-reference-1"`null`Constants.ALGO_ID_DIGEST_SHA1`"reference-1"`"http://www.w3.org/2000/09/xmldsig#Reference");" is 136.
1.5.4,org.apache.xml.security.samples.signature,CreateMerlinsExampleSixteen,main,Long Statement,The length of the statement "sig.addDocument("#reference-1"`null`Constants.ALGO_ID_DIGEST_SHA1`"reference-2"`"http://www.w3.org/2000/09/xmldsig#Reference");" is 127.
1.5.4,org.apache.xml.security.samples.signature,CreateMerlinsExampleSixteen,main,Long Statement,The length of the statement "sig.getKeyInfo().add(new RetrievalMethod(doc`"#object-4"`retrievalTransforms`"http://www.w3.org/2000/09/xmldsig#X509Data"));" is 124.
1.5.4,org.apache.xml.security.samples.signature,CreateMerlinsExampleSixteen,createObject4,Long Statement,The length of the statement "manifest.addDocument(BaseURI`"http://www.w3.org/TR/xml-stylesheet"`null`Constants.ALGO_ID_DIGEST_SHA1`"manifest-reference-1"`null);" is 131.
1.5.4,org.apache.xml.security.samples.signature,CreateMerlinsExampleSixteen,createObject4,Long Statement,The length of the statement "manifest.addDocument(BaseURI`"#reference-1"`null`Constants.ALGO_ID_DIGEST_SHA1`null`"http://www.w3.org/2000/09/xmldsig#Reference");" is 131.
1.5.4,org.apache.xml.security.samples.signature,CreateMerlinsExampleSixteen,createObject4,Long Statement,The length of the statement "String xslt="" + "<xsl:stylesheet xmlns:xsl='http://www.w3.org/1999/XSL/Transform'\n" + " xmlns='http://www.w3.org/TR/xhtml1/strict' \n"+ " exclude-result-prefixes='foo' \n"+ " version='1.0'>\n"+ " <xsl:output encoding='UTF-8' \n"+ " indent='no' \n"+ " method='xml' />\n"+ " <xsl:template match='/'>\n"+ " <html>\n"+ " <head>\n"+ " <title>Notaries</title>\n"+ " </head>\n"+ " <body>\n"+ " <table>\n"+ " <xsl:for-each select='Notaries/Notary'>\n"+ " <tr>\n"+ " <th>\n"+ " <xsl:value-of select='@name' />\n"+ " </th>\n"+ " </tr>\n"+ " </xsl:for-each>\n"+ " </table>\n"+ " </body>\n"+ " </html>\n"+ " </xsl:template>\n"+ "</xsl:stylesheet>\n";" is 640.
1.5.4,org.apache.xml.security.samples.signature,CreateMerlinsExampleTwentyThree,main,Long Method,The method has 209 lines of code.
1.5.4,org.apache.xml.security.samples.signature,CreateMerlinsExampleTwentyThree,main,Long Statement,The length of the statement "sig.addDocument("#signature-properties-1"`null`Constants.ALGO_ID_DIGEST_SHA1`null`"http://www.w3.org/2000/09/xmldsig#SignatureProperties");" is 139.
1.5.4,org.apache.xml.security.samples.signature,CreateMerlinsExampleTwentyThree,main,Long Statement,The length of the statement "sig.addDocument("#xpointer(id('object-3'))"`null`Constants.ALGO_ID_DIGEST_SHA1`null`"http://www.w3.org/2000/09/xmldsig#Object");" is 128.
1.5.4,org.apache.xml.security.samples.signature,CreateMerlinsExampleTwentyThree,main,Long Statement,The length of the statement "sig.addDocument("#xpointer(id('object-3'))"`transforms`Constants.ALGO_ID_DIGEST_SHA1`null`"http://www.w3.org/2000/09/xmldsig#Object");" is 134.
1.5.4,org.apache.xml.security.samples.signature,CreateMerlinsExampleTwentyThree,main,Long Statement,The length of the statement "sig.addDocument("#manifest-reference-1"`null`Constants.ALGO_ID_DIGEST_SHA1`"reference-1"`"http://www.w3.org/2000/09/xmldsig#Reference");" is 136.
1.5.4,org.apache.xml.security.samples.signature,CreateMerlinsExampleTwentyThree,main,Long Statement,The length of the statement "sig.addDocument("#reference-1"`null`Constants.ALGO_ID_DIGEST_SHA1`"reference-2"`"http://www.w3.org/2000/09/xmldsig#Reference");" is 127.
1.5.4,org.apache.xml.security.samples.signature,CreateMerlinsExampleTwentyThree,main,Long Statement,The length of the statement "sig.getKeyInfo().add(new RetrievalMethod(doc`"#object-4"`retrievalTransforms`"http://www.w3.org/2000/09/xmldsig#X509Data"));" is 124.
1.5.4,org.apache.xml.security.samples.signature,CreateMerlinsExampleTwentyThree,createObject4,Long Statement,The length of the statement "manifest.addDocument(BaseURI`"http://www.w3.org/TR/xml-stylesheet"`null`Constants.ALGO_ID_DIGEST_SHA1`"manifest-reference-1"`null);" is 131.
