Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell
3.4.11,org.apache.zookeeper.util,FatJarMain,main,Complex Conditional,The conditional expression parts.length != 3 || (parts[0].length() > 0 && parts[0].charAt(0) == '#') is complex.
3.4.11,org.apache.zookeeper.util,FatJarMain,main,Complex Method,Cyclomatic complexity of the method is 8
3.4.11,org.apache.zookeeper.util,FatJarMain,main,Magic Number,The method contains a magic number: 3
3.4.11,org.apache.zookeeper.util,FatJarMain,main,Magic Number,The method contains a magic number: 3
3.4.11,org.apache.zookeeper.util,FatJarMain,main,Magic Number,The method contains a magic number: 3
3.4.11,org.apache.zookeeper.util,FatJarMain,main,Magic Number,The method contains a magic number: 2
3.4.11,org.apache.zookeeper.util,FatJarMain,main,Magic Number,The method contains a magic number: 2
3.4.11,org.apache.zookeeper.util,FatJarMain,doHelp,Magic Number,The method contains a magic number: 2
3.4.11,org.apache.zookeeper.util,SecurityUtils,createSaslClient,Long Parameter List,The method has 6 parameters. 
3.4.11,org.apache.zookeeper.util,SecurityUtils,createSaslClient,Long Statement,The length of the statement "saslClient=Sasl.createSaslClient(mechs`username`protocol`serverName`null`new SaslClientCallbackHandler(password`entity));" is 121.
3.4.11,org.apache.zookeeper.util,SecurityUtils,createSaslClient,Long Statement,The length of the statement "LOG.debug("creating sasl client: {}={};service={};serviceHostname={}"`new Object[]{entity`clientPrincipalName`serviceName`serviceHostname});" is 140.
3.4.11,org.apache.zookeeper.util,SecurityUtils,createSaslClient,Long Statement,The length of the statement "SaslClient saslClient=Sasl.createSaslClient(mechs`clientPrincipalName`serviceName`serviceHostname`null`new SaslClientCallbackHandler(null`entity));" is 147.
3.4.11,org.apache.zookeeper.util,SecurityUtils,run,Long Statement,The length of the statement "LOG.debug("creating sasl client: {}={};service={};serviceHostname={}"`new Object[]{entity`clientPrincipalName`serviceName`serviceHostname});" is 140.
