Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path
3.4.14,org.apache.zookeeper.util,FatJarMain,5,0,3,1,86,12,0,0,0.0,1,2,c:\sources\zookeeper\3.4.14\zookeeper-contrib\zookeeper-contrib-fatjar\src\main\java\org\apache\zookeeper\util\FatJarMain.java
3.4.14,org.apache.zookeeper.util,Cmd,3,0,1,0,10,1,0,0,0.0,1,0,c:\sources\zookeeper\3.4.14\zookeeper-contrib\zookeeper-contrib-fatjar\src\main\java\org\apache\zookeeper\util\FatJarMain.java
3.4.14,org.apache.zookeeper.util,SecurityUtils,1,1,7,5,162,14,0,0,0.7142857142857143,6,2,c:\sources\zookeeper\3.4.14\zookeeper-server\src\main\java\org\apache\zookeeper\util\SecurityUtils.java
3.4.14,org.apache.zookeeper.graph,FilterException,0,0,1,1,5,1,0,0,-1.0,2,0,c:\sources\zookeeper\3.4.14\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\FilterException.java
3.4.14,org.apache.zookeeper.graph,FilterOp,2,0,6,6,36,15,0,0,0.5,12,3,c:\sources\zookeeper\3.4.14\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\FilterOp.java
3.4.14,org.apache.zookeeper.graph,FilterParser,1,0,7,3,100,23,0,0,0.0,2,3,c:\sources\zookeeper\3.4.14\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\FilterParser.java
3.4.14,org.apache.zookeeper.graph,JsonGenerator,5,0,6,6,162,21,0,0,0.5,1,7,c:\sources\zookeeper\3.4.14\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\JsonGenerator.java
3.4.14,org.apache.zookeeper.graph,Message,3,0,2,2,13,2,0,0,0.0,2,1,c:\sources\zookeeper\3.4.14\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\JsonGenerator.java
3.4.14,org.apache.zookeeper.graph,Log4JEntry,0,0,5,5,19,5,0,1,-1.0,3,1,c:\sources\zookeeper\3.4.14\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\Log4JEntry.java
3.4.14,org.apache.zookeeper.graph,Log4JSource,19,0,26,23,314,52,0,1,0.07692307692307693,3,8,c:\sources\zookeeper\3.4.14\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\Log4JSource.java
3.4.14,org.apache.zookeeper.graph,Log4JSourceIterator,9,0,9,8,150,27,0,1,0.2222222222222222,1,6,c:\sources\zookeeper\3.4.14\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\Log4JSource.java
