Project Name,Package Name,Type Name,Method Name,LOC,CC,PC
zookeeper-release-3.4.5,org.apache.zookeeper.util,FatJarMain,Cmd,5,1,3
zookeeper-release-3.4.5,org.apache.zookeeper.util,FatJarMain,main,46,8,1
zookeeper-release-3.4.5,org.apache.zookeeper.util,FatJarMain,doHelp,14,3,0
zookeeper-release-3.4.5,org.apache.zookeeper.util,Cmd,Cmd,5,1,3
zookeeper-release-3.4.5,org.apache.zookeeper.graph,FilterException,FilterException,3,1,1
zookeeper-release-3.4.5,org.apache.zookeeper.graph,FilterOp,FilterOp,4,1,0
zookeeper-release-3.4.5,org.apache.zookeeper.graph,FilterOp,newOp,10,8,1
zookeeper-release-3.4.5,org.apache.zookeeper.graph,FilterOp,addSubOp,3,1,1
zookeeper-release-3.4.5,org.apache.zookeeper.graph,FilterOp,addArg,3,1,1
zookeeper-release-3.4.5,org.apache.zookeeper.graph,FilterOp,matches,0,1,1
zookeeper-release-3.4.5,org.apache.zookeeper.graph,FilterOp,toString,10,3,0
zookeeper-release-3.4.5,org.apache.zookeeper.graph,FilterParser,FilterParser,3,1,1
zookeeper-release-3.4.5,org.apache.zookeeper.graph,FilterParser,readUntilSpace,13,3,0
zookeeper-release-3.4.5,org.apache.zookeeper.graph,FilterParser,readStringArg,22,5,0
zookeeper-release-3.4.5,org.apache.zookeeper.graph,FilterParser,readNumberArg,14,2,0
zookeeper-release-3.4.5,org.apache.zookeeper.graph,FilterParser,readSymbolArg,3,1,0
zookeeper-release-3.4.5,org.apache.zookeeper.graph,FilterParser,parse,34,9,0
zookeeper-release-3.4.5,org.apache.zookeeper.graph,FilterParser,main,8,2,1
zookeeper-release-3.4.5,org.apache.zookeeper.graph,JsonGenerator,Message,5,1,3
zookeeper-release-3.4.5,org.apache.zookeeper.graph,JsonGenerator,equals,3,1,1
zookeeper-release-3.4.5,org.apache.zookeeper.graph,JsonGenerator,txnEntry,11,1,1
zookeeper-release-3.4.5,org.apache.zookeeper.graph,JsonGenerator,JsonGenerator,123,16,1
zookeeper-release-3.4.5,org.apache.zookeeper.graph,JsonGenerator,toString,3,1,0
zookeeper-release-3.4.5,org.apache.zookeeper.graph,JsonGenerator,main,5,1,1
zookeeper-release-3.4.5,org.apache.zookeeper.graph,Message,Message,5,1,3
zookeeper-release-3.4.5,org.apache.zookeeper.graph,Message,equals,3,1,1
zookeeper-release-3.4.5,org.apache.zookeeper.graph,Log4JEntry,Log4JEntry,5,1,3
zookeeper-release-3.4.5,org.apache.zookeeper.graph,Log4JEntry,getEntry,3,1,0
zookeeper-release-3.4.5,org.apache.zookeeper.graph,Log4JEntry,toString,3,1,0
zookeeper-release-3.4.5,org.apache.zookeeper.graph,Log4JEntry,getNode,3,1,0
zookeeper-release-3.4.5,org.apache.zookeeper.graph,Log4JEntry,getType,3,1,0
zookeeper-release-3.4.5,org.apache.zookeeper.graph,Log4JSource,overlapsRange,3,1,2
zookeeper-release-3.4.5,org.apache.zookeeper.graph,Log4JSource,size,3,1,0
zookeeper-release-3.4.5,org.apache.zookeeper.graph,Log4JSource,getStartTime,3,1,0
zookeeper-release-3.4.5,org.apache.zookeeper.graph,Log4JSource,getEndTime,3,1,0
zookeeper-release-3.4.5,org.apache.zookeeper.graph,Log4JSource,getSkipList,3,1,0
zookeeper-release-3.4.5,org.apache.zookeeper.graph,Log4JSource,Log4JSourceIterator,3,1,3
zookeeper-release-3.4.5,org.apache.zookeeper.graph,Log4JSource,Log4JSourceIterator,29,3,4
zookeeper-release-3.4.5,org.apache.zookeeper.graph,Log4JSource,size,31,8,0
zookeeper-release-3.4.5,org.apache.zookeeper.graph,Log4JSource,readNextEntry,36,7,0
zookeeper-release-3.4.5,org.apache.zookeeper.graph,Log4JSource,hasNext,3,1,0
zookeeper-release-3.4.5,org.apache.zookeeper.graph,Log4JSource,next,21,4,0
zookeeper-release-3.4.5,org.apache.zookeeper.graph,Log4JSource,remove,3,1,0
zookeeper-release-3.4.5,org.apache.zookeeper.graph,Log4JSource,close,3,1,0
zookeeper-release-3.4.5,org.apache.zookeeper.graph,Log4JSource,toString,10,1,0
zookeeper-release-3.4.5,org.apache.zookeeper.graph,Log4JSource,iterator,9,1,2
zookeeper-release-3.4.5,org.apache.zookeeper.graph,Log4JSource,iterator,6,2,3
zookeeper-release-3.4.5,org.apache.zookeeper.graph,Log4JSource,iterator,3,1,0
zookeeper-release-3.4.5,org.apache.zookeeper.graph,Log4JSource,Log4JSource,6,1,1
zookeeper-release-3.4.5,org.apache.zookeeper.graph,Log4JSource,timestampFromText,12,1,2
zookeeper-release-3.4.5,org.apache.zookeeper.graph,Log4JSource,init,46,7,0
zookeeper-release-3.4.5,org.apache.zookeeper.graph,Log4JSource,toString,3,1,0
zookeeper-release-3.4.5,org.apache.zookeeper.graph,Log4JSource,main,37,2,1
zookeeper-release-3.4.5,org.apache.zookeeper.graph,Log4JSource,run,4,1,0
zookeeper-release-3.4.5,org.apache.zookeeper.graph,Log4JSource,run,4,1,0
zookeeper-release-3.4.5,org.apache.zookeeper.graph,Log4JSource,run,4,1,0
zookeeper-release-3.4.5,org.apache.zookeeper.graph,Log4JSource,getServerId,3,1,0
zookeeper-release-3.4.5,org.apache.zookeeper.graph,Log4JSourceIterator,Log4JSourceIterator,3,1,3
zookeeper-release-3.4.5,org.apache.zookeeper.graph,Log4JSourceIterator,Log4JSourceIterator,29,3,4
zookeeper-release-3.4.5,org.apache.zookeeper.graph,Log4JSourceIterator,size,31,8,0
zookeeper-release-3.4.5,org.apache.zookeeper.graph,Log4JSourceIterator,readNextEntry,36,7,0
zookeeper-release-3.4.5,org.apache.zookeeper.graph,Log4JSourceIterator,hasNext,3,1,0
zookeeper-release-3.4.5,org.apache.zookeeper.graph,Log4JSourceIterator,next,21,4,0
zookeeper-release-3.4.5,org.apache.zookeeper.graph,Log4JSourceIterator,remove,3,1,0
zookeeper-release-3.4.5,org.apache.zookeeper.graph,Log4JSourceIterator,close,3,1,0
zookeeper-release-3.4.5,org.apache.zookeeper.graph,Log4JSourceIterator,toString,10,1,0
zookeeper-release-3.4.5,org.apache.zookeeper.graph,LogEntry,LogEntry,4,1,1
zookeeper-release-3.4.5,org.apache.zookeeper.graph,LogEntry,getTimestamp,3,1,0
zookeeper-release-3.4.5,org.apache.zookeeper.graph,LogEntry,getType,0,1,0
zookeeper-release-3.4.5,org.apache.zookeeper.graph,LogEntry,setAttribute,3,1,2
zookeeper-release-3.4.5,org.apache.zookeeper.graph,LogEntry,getAttribute,3,1,1
zookeeper-release-3.4.5,org.apache.zookeeper.graph,LogIterator,size,0,1,0
zookeeper-release-3.4.5,org.apache.zookeeper.graph,LogServer,LogServer,10,1,1
zookeeper-release-3.4.5,org.apache.zookeeper.graph,LogServer,main,13,1,1
zookeeper-release-3.4.5,org.apache.zookeeper.graph,LogSkipList,Mark,5,1,3
zookeeper-release-3.4.5,org.apache.zookeeper.graph,LogSkipList,getTime,3,1,0
