@relation 'Efforts-5-Levels'

@attribute Class-Count numeric
@attribute LOC numeric
@attribute Smells-Rank {'Very Low',Low,Medium,High,'Very High'}
@attribute Effort-Rank {'Very Low',Low,Medium,High,'Very High'}

@data
5,713,Very Low,Very Low
5,2159,Very Low,Very Low
4,152,Very Low,Low
10,1019,Very Low,Low
37,2898,Very Low,Low
10,826,Very Low,Low
6,70,Low,Low
23,1093,Low,Low
31,3200,Very Low,Very Low
5,360,Low,Low
5,923,Low,Low
6,379,Very Low,Low
11,430,Low,Low
37,1828,Very Low,Low
6,238,Low,Low
10,401,Low,Medium
8,834,Low,Very Low
8,277,Low,Medium
24,3928,Low,Very Low
9,677,Low,Very Low
7,849,Low,Very Low
7,110,Medium,Medium
5,295,Medium,Medium
8,245,Medium,Medium
5,937,Medium,Medium
64,4780,Very Low,Very Low
16,1420,Medium,Very Low
31,3838,Very Low,Very Low
17,976,Medium,Medium
17,1136,Very Low,Medium
3,191,Medium,Medium
3,373,Medium,Medium
1,93,Medium,Medium
2,213,Medium,Medium
2,50,Medium,High
1,138,Medium,High
5,125,High,High
3,168,High,High
4,276,High,High
1,82,High,High
5,577,High,High
1,12,High,High
10,271,High,High
4,435,High,High
5,498,High,High
9,605,High,High
2,303,High,Very Low
10,479,High,Very Low
25,1352,Very High,Very High
2,14,Very High,Very High
21,1299,Very High,Very High
2,769,Very High,Very High
1,320,Very High,Very High
3,477,Very High,Very High
2,301,Very High,Very High
2,115,Very High,Very High
1,24,Very High,Very High
5,300,Very High,Very High
3,112,Very High,Very High
4,280,Very High,Very High
7,823,Very Low,Very Low
5,2304,Low,Very Low
4,152,Very Low,Very Low
10,1051,Low,Very Low
37,2914,Very Low,Very Low
10,826,Low,Very Low
6,70,Low,Very Low
23,1121,Low,Very Low
47,4875,Very Low,Very Low
5,302,Low,Very Low
9,307,Very Low,Very Low
22,1105,Very Low,Very Low
14,653,Very Low,Very Low
3,171,Low,Very Low
1,21,Low,Low
5,295,Low,Low
20,1576,Very Low,Low
18,1824,Very Low,Low
1,30,Low,Low
47,6218,Very Low,Low
6,541,Low,Low
36,2027,Very Low,Low
6,231,Low,Low
10,401,Low,Low
21,2816,Low,Low
3,948,Medium,Low
33,6433,Very Low,Very Low
12,1291,Very Low,Low
34,6317,Very Low,Very Low
5,972,Medium,Low
26,2226,Low,Low
8,129,Medium,Low
8,277,Medium,Low
6,1013,Very Low,Medium
63,4807,Very Low,Medium
1,81,Medium,Medium
20,1987,Medium,Medium
22,3133,Medium,Medium
22,1480,Low,Medium
15,1085,Low,Medium
1,259,Medium,Medium
3,360,Medium,Medium
2,213,Medium,Medium
5,125,Medium,Medium
3,168,Medium,Medium
4,274,Medium,Medium
5,535,Medium,Medium
10,271,Medium,Medium
5,493,Medium,Medium
23,851,Medium,Medium
5,949,High,High
5,166,High,High
1,12,High,High
21,1290,High,High
2,760,High,High
1,338,High,High
18,1646,High,High
19,1665,High,High
4,502,High,High
5,576,High,High
5,424,High,High
1,47,High,High
2,135,High,High
3,477,High,High
10,575,High,High
2,350,High,High
19,1037,High,High
10,722,Very High,Very High
14,1089,Very High,Very High
26,2357,Very High,Very High
25,1347,Very High,Very High
7,690,Very High,Very High
11,868,Very High,Very High
2,14,Very High,Very High
3,477,Very High,Very High
4,755,Very High,Very High
4,53,Very High,Very High
2,160,Very High,Very High
3,108,Very High,Very High
4,813,Very High,Very High
4,296,Very High,Very High
4,291,Very High,Very High
2,329,Very High,Very High
12,2578,Very High,Very High
1,638,Low,Very Low
7,831,Very Low,Very Low
5,2321,Low,Very Low
4,152,Very Low,Very Low
10,1051,Low,Very Low
37,2895,Very Low,Very Low
10,826,Low,Very Low
6,70,Low,Very Low
23,1121,Low,Very Low
49,5073,Very Low,Very Low
5,302,Low,Very Low
9,310,Very Low,Very Low
23,1157,Very Low,Low
15,668,Very Low,Low
3,171,Low,Low
1,21,Low,Low
5,295,Low,Low
5,620,Low,Low
20,1588,Very Low,Low
18,1855,Very Low,Low
1,30,Low,Low
47,6301,Very Low,Very Low
6,549,Very Low,Low
11,633,Low,Low
49,2974,Very Low,Low
6,238,Low,Low
14,728,Low,Low
22,3283,Very Low,Very Low
3,948,Medium,Low
33,6505,Very Low,Low
9,1242,Very Low,Low
36,6301,Very Low,Low
2,264,Medium,Medium
4,912,Medium,Medium
27,2458,Low,Medium
8,129,Medium,Medium
8,277,Medium,Medium
6,1019,Very Low,Medium
63,4840,Very Low,Medium
1,81,Medium,Medium
20,2102,Medium,Medium
22,3133,Medium,Very Low
22,1481,Low,Medium
15,1084,Low,Medium
1,265,Medium,Medium
3,360,Medium,Medium
2,213,Medium,Medium
3,3375,Medium,Medium
1,117,Medium,Medium
2,313,Medium,Medium
5,125,Medium,Medium
3,168,Medium,High
4,274,Medium,High
5,534,Medium,High
10,271,High,High
5,475,High,High
23,851,High,High
5,1025,High,High
5,166,High,High
1,12,High,High
21,1290,High,High
2,760,High,High
2,171,High,High
1,338,High,High
19,1689,High,High
20,1704,High,High
4,502,High,High
4,499,High,High
5,424,High,Very Low
1,47,High,High
2,135,High,Very High
2,350,High,Very High
19,1037,Very High,Very High
10,725,Very High,Very High
14,1089,Very High,Very High
26,2429,Very High,Very Low
25,1347,Very High,Very High
6,201,Very High,Very Low
7,724,Very High,Very High
11,868,Very High,Very High
2,14,Very High,Very High
3,477,Very High,Very High
4,755,Very High,Very High
4,53,Very High,Very High
2,160,Very High,Very High
3,108,Very High,Very High
4,1016,Very High,Very High
4,296,Very High,Very High
4,297,Very High,Very High
2,329,Very High,Very High
14,2740,Very High,Very High
27,1254,Very Low,Very Low
6,137,Very Low,Very Low
9,187,Low,Very Low
12,312,Low,Low
11,539,Low,Very Low
21,1265,Low,Very Low
42,3076,Very Low,Low
21,1219,Very Low,Low
11,787,Low,Low
9,672,Very Low,Low
17,624,Low,Low
11,927,Low,Low
44,1860,Very Low,Low
5,314,Low,Medium
37,1304,Medium,Medium
6,150,Medium,Medium
26,1260,Medium,Very Low
8,1056,Medium,Medium
25,2132,Medium,Medium
39,1771,Very Low,Medium
39,2327,Very Low,Medium
9,143,Medium,Medium
31,2775,Medium,High
14,752,Medium,High
17,659,High,High
13,2867,High,Very Low
37,3021,High,High
6,101,High,High
3,179,High,High
21,1416,High,High
16,881,High,High
11,747,High,Very High
4,180,Very High,Very High
20,1031,Very High,Very High
14,618,Very High,Very Low
13,881,Very High,Very High
1,27,Very High,Very High
6,134,Very High,Very High
4,246,Very High,Very High
2,85,Very High,Very High
2,153,Very High,Very High
51,2108,Very Low,Very Low
11,152,Very Low,Very Low
10,301,Very Low,Very Low
18,587,Very Low,Very Low
44,3386,Very Low,Very Low
2,196,Very Low,Very Low
27,1256,Low,Very Low
6,138,Low,Very Low
14,345,Low,Very Low
13,571,Low,Low
30,1796,Very Low,Low
8,303,Low,Low
18,1034,Very Low,Low
7,325,Low,Low
9,672,Very Low,Low
17,609,Low,Low
11,926,Low,Low
44,1837,Very Low,Low
5,297,Low,Low
37,1295,Low,Low
6,150,Low,Low
28,1238,Low,Low
10,675,Very Low,Medium
8,1098,Low,Medium
14,928,Medium,Medium
24,2101,Medium,Medium
39,1756,Very Low,Very Low
39,2399,Very Low,Medium
14,195,Medium,Medium
31,2793,Medium,Very Low
14,747,Medium,Medium
2,175,Medium,Medium
16,587,Medium,Very Low
14,2533,Medium,Medium
37,3022,Medium,Medium
4,246,Medium,Medium
6,105,Medium,Medium
28,454,Medium,Medium
11,791,Medium,High
1,39,High,High
2,150,High,High
3,56,High,High
26,1714,High,High
3,137,High,High
2,32,High,High
1,158,High,High
21,1388,High,High
5,120,High,High
4,120,High,High
1,8,High,High
1,8,High,High
10,945,High,Very High
3,179,Very High,Very High
16,881,Very High,Very High
11,747,Very High,Very High
4,180,Very High,Very High
21,1485,Very High,Very High
7,436,Very High,Very High
10,500,Very High,Very High
20,1031,Very High,Very High
16,709,Very High,Very High
13,878,Very High,Very High
6,134,Very High,Very High
4,192,Very High,Very High
2,85,Very High,Very High
2,157,Very High,Very Low
51,1853,Very Low,Low
11,147,Very Low,Low
10,293,Very Low,Low
16,490,Very Low,Low
44,3116,Very Low,Very Low
2,202,Low,Very Low
10,921,Low,Low
27,1193,Low,Very Low
6,139,Low,Low
14,330,Low,Low
32,1938,Very Low,Very Low
12,474,Low,Very Low
8,288,Low,Low
19,1032,Very Low,Low
8,229,Low,Low
9,671,Very Low,Low
17,602,Low,Low
11,904,Low,Very Low
43,1730,Very Low,Very Low
5,284,Low,Low
41,1371,Low,Medium
6,150,Low,Medium
25,1232,Medium,Very Low
10,663,Very Low,Medium
8,1043,Medium,Medium
14,894,Medium,Medium
24,1914,Medium,Medium
36,1459,Very Low,Very Low
39,2254,Very Low,Very Low
14,195,Medium,Medium
33,2661,Medium,Medium
14,687,Medium,Medium
2,157,Medium,Medium
11,269,Medium,Medium
15,2585,Medium,Very Low
38,2960,Medium,Medium
4,242,Medium,Medium
2,95,Medium,High
29,466,High,High
5,265,High,High
3,49,High,High
26,1677,High,High
3,130,High,High
2,32,High,High
21,1371,High,High
5,116,High,High
4,120,High,High
1,8,High,High
1,8,High,High
3,179,High,High
7,361,High,Very Low
16,829,Very High,Very High
11,716,Very High,Very High
4,175,Very High,Very High
21,1419,Very High,Very High
7,378,Very High,Very High
10,488,Very High,Very High
20,949,Very High,Very High
16,685,Very High,Very High
13,824,Very High,Very High
6,134,Very High,Very High
4,192,Very High,Very High
2,16,Very High,Very High
2,156,Very High,Very High
47,1606,Very Low,Very Low
11,147,Very Low,Very Low
9,275,Very Low,Very Low
14,387,Low,Very Low
49,3084,Low,Very Low
10,865,Low,Very Low
37,1637,Low,Very Low
6,139,Low,Very Low
14,336,Low,Very Low
13,483,Very Low,Low
33,1672,Very Low,Low
8,288,Low,Low
19,1068,Very Low,Low
8,482,Low,Low
9,292,Very Low,Low
9,671,Very Low,Low
20,794,Low,Low
11,914,Low,Low
47,1868,Very Low,Low
9,475,Very Low,Low
41,1316,Low,Low
6,150,Low,Low
24,1476,Low,Very Low
4,204,Medium,Medium
10,743,Very Low,Medium
8,993,Medium,Medium
22,935,Very Low,Very Low
15,1007,Medium,Medium
24,1967,Medium,Very Low
36,1526,Very Low,Medium
48,2769,Medium,Medium
9,137,Medium,Medium
20,286,Medium,Medium
33,2972,Medium,Medium
14,698,Medium,Medium
3,182,Medium,Medium
14,415,Medium,Medium
15,2702,Medium,Medium
39,3171,Medium,Very Low
2,95,Medium,Medium
29,466,High,High
5,265,High,High
3,43,High,High
26,1623,High,High
3,130,High,High
2,32,High,High
21,1382,High,High
5,116,High,High
4,120,High,High
3,168,High,High
1,8,High,High
1,8,High,High
3,185,High,High
16,878,Very High,Very High
21,995,Very High,Very High
11,722,Very High,Very High
21,1612,Very High,Very High
7,397,Very High,Very High
10,547,Very High,Very High
21,1063,Very High,Very High
15,625,Very High,Very High
13,842,Very High,Very High
6,134,Very High,Very High
4,242,Very High,Very High
2,16,Very High,Very High
2,28,Very High,Very High
2,156,Very High,Very High
