@relation 'Efforts-5-Levels-Normal-Distribution'

@attribute Class-Count numeric
@attribute LOC numeric
@attribute Smells-Rank {'Very Low',Low,Medium,High,'Very High'}
@attribute Effort-Rank {'Very Low',Low,Medium,High,'Very High'}

@data
5,713,Very Low,Low
5,2159,Low,Low
4,152,Low,Low
10,1019,Low,Low
37,2898,Very Low,Low
10,826,Low,Low
6,70,Low,Low
23,1093,Low,Low
31,3200,Very Low,Very Low
5,360,Low,Medium
5,923,Low,Medium
6,379,Very Low,Medium
11,430,Low,Medium
37,1828,Very Low,Medium
6,238,Low,Medium
10,401,Medium,Medium
8,834,Medium,Low
8,277,Medium,Medium
24,3928,Medium,Very Low
9,677,Medium,Very Low
7,849,Medium,Very Low
7,110,Medium,Medium
5,295,Medium,Medium
8,245,Medium,Medium
5,937,Medium,Medium
64,4780,Very Low,Low
16,1420,Medium,Low
31,3838,Low,Very Low
17,976,Medium,Medium
17,1136,Low,Medium
3,191,Medium,Medium
3,373,Medium,Medium
1,93,Medium,Medium
2,213,Medium,Medium
2,50,Medium,Medium
1,138,Medium,Medium
5,125,Medium,Medium
3,168,Medium,Medium
4,276,Medium,Medium
1,82,Medium,Medium
5,577,Medium,High
1,12,Medium,High
10,271,High,High
4,435,High,High
5,498,High,High
9,605,High,High
2,303,High,Very Low
10,479,High,Low
25,1352,High,High
2,14,High,High
21,1299,High,High
2,769,High,High
1,320,High,High
3,477,High,High
2,301,Very High,Very High
2,115,Very High,Very High
1,24,Very High,Very High
5,300,Very High,Very High
3,112,Very High,Very High
4,280,Very High,Very High
7,823,Very Low,Very Low
5,2304,Low,Very Low
4,152,Very Low,Very Low
10,1051,Low,Very Low
37,2914,Very Low,Very Low
10,826,Low,Low
6,70,Low,Low
23,1121,Low,Low
47,4875,Very Low,Low
5,302,Low,Low
9,307,Low,Low
22,1105,Low,Very Low
14,653,Very Low,Low
3,171,Medium,Low
1,21,Medium,Low
5,295,Medium,Low
20,1576,Low,Low
18,1824,Low,Low
1,30,Medium,Low
47,6218,Low,Low
6,541,Medium,Low
36,2027,Very Low,Low
6,231,Medium,Low
10,401,Medium,Medium
21,2816,Medium,Medium
3,948,Medium,Medium
33,6433,Low,Very Low
12,1291,Low,Medium
34,6317,Low,Very Low
5,972,Medium,Medium
26,2226,Low,Medium
8,129,Medium,Medium
8,277,Medium,Medium
6,1013,Very Low,Medium
63,4807,Very Low,Medium
1,81,Medium,Medium
20,1987,Medium,Medium
22,3133,Medium,Medium
22,1480,Low,Medium
15,1085,Low,Medium
1,259,Medium,Medium
3,360,Medium,Medium
2,213,Medium,Medium
5,125,Medium,Medium
3,168,Medium,Medium
4,274,Medium,Medium
5,535,Medium,Medium
10,271,Medium,Medium
5,493,Medium,Medium
23,851,Medium,Medium
5,949,Medium,Medium
5,166,Medium,Medium
1,12,Medium,Medium
21,1290,Medium,Medium
2,760,Medium,Medium
1,338,Medium,Medium
18,1646,Medium,Medium
19,1665,Medium,Medium
4,502,High,High
5,576,High,High
5,424,High,High
1,47,High,High
2,135,High,High
3,477,High,High
10,575,High,High
2,350,High,High
19,1037,High,High
10,722,High,High
14,1089,High,High
26,2357,High,High
25,1347,High,High
7,690,High,High
11,868,High,High
2,14,High,High
3,477,High,High
4,755,Very High,Very High
4,53,Very High,Very High
2,160,Very High,Very High
3,108,Very High,Very High
4,813,Very High,Very High
4,296,Very High,Very High
4,291,Very High,Very High
2,329,Very High,Very High
12,2578,Very High,Very High
1,638,Low,Very Low
