Project,Release,Package,Classes,Refactoring-LOC,Smells-Rank-3,Efforts-Rank-3,Smells-Rank-5,Efforts-Rank-5,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,FANIN,FANOUT,Ambiguous Interface,Cyclic Dependency,Dense Structure,Feature Concentration,God Component,Scattered Functionality,Unstable Dependency
atlas,0.7.1,org.apache.atlas.hive.bridge,5,0,High,High,Very High,High,21,9,55,33,713,88,0,0,12,19,,Packages(2): org.apache.atlas.hive.bridge;org.apache.atlas.hive.hook,,,,,Packages(2): org.apache.atlas.hive.model;org.apache.atlas.hive.hook
atlas,0.7.1,org.apache.atlas.hive.hook,5,0,High,High,High,High,50,5,203,121,2159,362,0,0,6,19,,,,,,,Packages(1): org.apache.atlas.hive
atlas,0.7.1,org.apache.atlas.authorize,4,0,High,High,High,High,15,0,25,25,152,34,0,0,8,6,,,,,,,Packages(1): org.apache.atlas.authorize.simple
atlas,0.7.1,org.apache.atlas.authorize.simple,10,0,High,High,High,High,37,10,42,31,1019,176,0,0,15,18,,,,LCC: 0.2,,,
atlas,0.7.1,org.apache.atlas.catalog,37,0,High,High,Very High,High,51,6,223,156,2898,282,20,29,140,128,,,,,classes: 37,,Packages(2): org.apache.atlas.catalog.query;org.apache.atlas.services
atlas,0.7.1,org.apache.atlas.catalog.definition,10,0,High,Medium,High,High,11,1,100,78,826,134,5,9,36,34,,,,,,,Packages(2): org.apache.atlas.catalog;org.apache.atlas.catalog.projection
atlas,0.7.1,org.apache.atlas.catalog.exception,6,0,High,Medium,High,High,5,0,11,11,70,11,4,4,4,0,,,,LCC: 0.33,,,
atlas,0.7.1,org.apache.atlas.catalog.query,23,0,High,Medium,High,High,34,1,130,72,1093,172,15,29,61,96,,,,,,,Packages(1): org.apache.atlas.repository.graph
atlas,0.7.1,org.apache.atlas,31,135,High,High,Very High,Very High,185,94,409,305,3200,481,1,1,208,135,,,,,classes: 31,,Packages(12): org.apache.atlas.repository.graph;org.apache.atlas.repository.typestore;org.apache.atlas.services;org.apache.atlas.discovery.graph;org.apache.atlas.discovery;org.apache.atlas.typesystem.types.cache;org.apache.atlas.repository.audit;org.apache.atlas.service;org.apache.atlas.web.service;org.apache.atlas.web.setup;org.apache.atlas.web.resources;org.apache.atlas.web.filters
atlas,0.7.1,org.apache.atlas.ha,5,0,High,Medium,High,Medium,34,16,41,40,360,64,0,0,29,12,,,,,,,Packages(1): org.apache.atlas
atlas,0.7.1,org.apache.atlas.service,5,0,Medium,Medium,High,Medium,20,1,63,49,923,86,0,0,5,35,,,,,,,Packages(1): org.apache.atlas.repository.typestore
atlas,0.7.1,org.apache.atlas.utils,6,0,High,Medium,Very High,Medium,12,1,39,32,379,75,0,0,42,5,,,,LCC: 1.0,,,Packages(1): org.apache.atlas
atlas,0.7.1,org.apache.atlas.repository.graphdb,11,0,Medium,Medium,High,Medium,0,0,65,2,430,65,2,2,2,3,,,,LCC: 0.73,,,
atlas,0.7.1,org.apache.atlas.notification,37,0,High,Medium,Very High,Medium,81,14,192,136,1828,254,7,11,77,100,,,,LCC: 0.27,classes: 37,,Packages(1): org.apache.atlas.kafka
atlas,0.7.1,org.apache.atlas.notification.entity,6,0,Medium,Medium,High,Medium,4,0,24,17,238,33,1,1,19,26,,,,,,,Packages(1): org.apache.atlas.notification
atlas,0.7.1,org.apache.atlas.notification.hook,10,0,Medium,Medium,Medium,Medium,26,3,66,51,401,76,5,6,24,24,,,,,,,Packages(2): org.apache.atlas.notification;org.apache.atlas.notification.entity
atlas,0.7.1,org.apache.atlas.discovery,8,18,Medium,High,Medium,High,24,3,89,43,834,108,1,1,9,39,,,,LCC: 0.5,,,
atlas,0.7.1,org.apache.atlas.repository,8,0,Medium,Medium,Medium,Medium,21,20,44,19,277,56,1,1,44,18,,,,LCC: 0.63,,,
atlas,0.7.1,org.apache.atlas.repository.graph,24,70,Medium,High,Medium,Very High,82,10,325,177,3928,666,5,5,75,197,,,,,,,Packages(1): org.apache.atlas.discovery.graph
atlas,0.7.1,org.apache.atlas.repository.typestore,9,105,Medium,High,Medium,Very High,29,2,54,28,677,127,1,1,13,52,,,,LCC: 0.33,,,
atlas,0.7.1,org.apache.atlas.services,7,115,Medium,High,Medium,Very High,20,0,95,42,849,133,2,2,29,50,,,,,,,Packages(1): org.apache.atlas.repository.typestore
atlas,0.7.1,org.apache.atlas.typesystem.exception,7,0,Medium,Medium,Medium,Medium,1,0,28,28,110,28,0,0,0,1,,,,LCC: 1.0,,,
atlas,0.7.1,com.thinkaurelius.titan.diskstorage.locking,5,0,Medium,Medium,Medium,Medium,22,0,24,22,295,57,0,0,10,7,,,,,,,Packages(1): com.thinkaurelius.titan.diskstorage.hbase
atlas,0.7.1,org.apache.atlas.typesystem,8,0,Medium,Medium,Medium,Medium,5,1,60,23,245,73,10,14,197,5,,,,,,,Packages(1): org.apache.atlas.typesystem.persistence
atlas,0.7.1,org.apache.atlas.typesystem.persistence,5,0,Medium,Medium,Medium,Medium,32,27,100,99,937,224,1,1,73,24,,Packages(2): org.apache.atlas.typesystem.types;org.apache.atlas.typesystem.persistence,,,,,
atlas,0.7.1,org.apache.atlas.typesystem.types,64,24,High,High,Very High,High,208,115,510,347,4780,978,36,71,580,340,,Packages(2): org.apache.atlas.typesystem.types;org.apache.atlas.typesystem.types.cache,,,classes: 64,,Packages(3): org.apache.atlas.typesystem.persistence;org.apache.atlas.typesystem.types.cache;org.apache.atlas.typesystem.types.utils
atlas,0.7.1,org.apache.atlas.web.filters,16,41,Medium,High,Medium,High,54,14,152,120,1420,271,1,1,17,30,,,,LCC: 0.44,,,
atlas,0.7.1,org.apache.atlas.web.resources,31,410,High,High,High,Very High,114,16,269,195,3838,373,10,11,19,132,,,,LCC: 0.32,classes: 31,,
atlas,0.7.1,org.apache.atlas.web.security,17,0,Medium,Medium,Medium,Medium,66,8,86,53,976,133,8,11,12,29,,,,LCC: 0.35,,,
atlas,0.7.1,org.apache.atlas.web.service,17,0,High,Medium,High,Medium,51,12,113,83,1136,137,2,2,33,57,,,,LCC: 0.24,,,Packages(3): org.apache.atlas.service;org.apache.atlas.kafka;org.apache.atlas.web.security
atlas,0.7.1,org.apache.atlas.web.util,3,0,Medium,Medium,Medium,Medium,7,2,18,16,191,35,0,0,25,6,,,,,,,Packages(1): org.apache.atlas
atlas,0.7.1,org.apache.atlas.falcon.hook,3,0,Medium,Medium,Medium,Medium,24,10,29,8,373,53,0,0,1,15,,,,,,,
atlas,0.7.1,org.apache.atlas.falcon.model,1,0,Medium,Medium,Medium,Medium,10,8,13,5,93,18,0,0,3,8,,,,,,,
atlas,0.7.1,org.apache.atlas.falcon.service,2,0,Medium,Medium,Medium,Medium,9,1,19,15,213,40,0,0,1,4,,,,,,,
atlas,0.7.1,org.apache.atlas.fs.model,2,0,Medium,Medium,Medium,Medium,4,1,4,4,50,6,0,0,0,4,,,,,,,
atlas,0.7.1,org.apache.atlas.hive.model,1,0,Medium,Medium,Medium,Medium,22,17,18,10,138,23,0,0,9,12,,,,,,,
atlas,0.7.1,org.apache.atlas.hive.rewrite,5,0,Medium,Medium,Medium,Medium,8,1,16,9,125,22,1,1,8,7,,,,,,,
atlas,0.7.1,org.apache.atlas.hive,3,0,Medium,Medium,Medium,Medium,13,1,23,2,168,31,0,0,3,10,,,,,,,
atlas,0.7.1,org.apache.atlas.sqoop.hook,4,0,Medium,Medium,Medium,Medium,15,6,25,9,276,42,0,0,3,18,,,,,,,
atlas,0.7.1,org.apache.atlas.sqoop.model,1,0,Medium,Medium,Medium,Medium,17,12,12,10,82,15,0,0,3,8,,,,,,,
atlas,0.7.1,org.apache.atlas.storm.hook,5,0,Medium,Medium,Medium,Low,17,5,44,20,577,108,0,0,4,16,,,,,,,
